 	j'	ai	déjà	circoncis	mon	enfant	</S>
a66	0.35941	0.174382	0.114696	0.0595914	0.114282	0.118294	0.0593453
a87	0.162039	0.132514	0.130716	0.153801	0.254395	0.125925	0.0406112
a10	0.353266	0.319834	0.197734	0.0843383	0.0247267	0.0120519	0.00804931
a87	0.35063	0.298639	0.217166	0.094514	0.0194187	0.0105134	0.00911918
a23	0.376384	0.290321	0.214698	0.081406	0.0200762	0.00958234	0.00753211
a62	0.373536	0.261325	0.199931	0.12554	0.0200125	0.0102315	0.00942479
a12	0.244173	0.217798	0.206663	0.223888	0.0415391	0.0338036	0.0321354
a96	0.238895	0.285336	0.238205	0.171149	0.0329035	0.0207488	0.012762
a0	0.121244	0.215192	0.267282	0.276771	0.0641495	0.0356826	0.0196786
a25	0.0799532	0.135016	0.215405	0.325257	0.134023	0.076633	0.033712
a56	0.0671809	0.0952719	0.15894	0.228981	0.187321	0.17897	0.0833339
a21	0.0974338	0.110703	0.143566	0.12814	0.192266	0.219512	0.10838
a12	0.0476926	0.046196	0.0605057	0.0620098	0.255948	0.353205	0.174443
a75	0.0149235	0.0119156	0.0145585	0.0159691	0.149828	0.427142	0.365663
a37	0.00767652	0.0067142	0.00958965	0.0111673	0.103036	0.457927	0.40389
a98	0.00442729	0.00282542	0.00312366	0.00368373	0.032895	0.240341	0.712704
a6	0.000851865	0.000653724	0.000932643	0.00249729	0.0160828	0.145201	0.833781
a37	0.000660449	0.000477562	0.000605578	0.00176869	0.0108382	0.0960338	0.889616
a36	0.00214562	0.00165294	0.00160584	0.0035994	0.0151517	0.0864529	0.889392
a26	0.035455	0.0248823	0.0210718	0.0253998	0.057832	0.142378	0.692981
a57	0.273058	0.138741	0.0783249	0.0416531	0.0569217	0.111745	0.299557
a87	0.401033	0.234549	0.105811	0.0474979	0.0439851	0.0617511	0.105373
a23	0.292118	0.228481	0.121788	0.056548	0.0693122	0.0954502	0.136303
a87	0.131847	0.0972509	0.0629267	0.0373055	0.0624861	0.152074	0.456109
</S>	0.0207057	0.0220694	0.0309726	0.0415089	0.0819328	0.233627	0.569183
