 	il	est	très	brun	</S>
a23	0.381411	0.21578	0.133945	0.137655	0.131209
a87	0.390884	0.204162	0.16092	0.135142	0.108892
a23	0.347774	0.205558	0.173899	0.154299	0.11847
a20	0.395326	0.219693	0.123513	0.117366	0.144101
a30	0.494433	0.255378	0.1184	0.0661068	0.0656825
a26	0.512691	0.333129	0.112874	0.0260087	0.0152975
a38	0.437536	0.315539	0.144583	0.0563433	0.0459988
a26	0.407035	0.318863	0.162919	0.0614021	0.0497813
a24	0.406856	0.30622	0.158956	0.0658453	0.0621227
a25	0.347547	0.274725	0.175768	0.107593	0.0943671
a38	0.203745	0.264188	0.229314	0.164632	0.138121
a25	0.232715	0.278091	0.212195	0.147425	0.129574
a56	0.120261	0.185353	0.200415	0.22128	0.272691
a94	0.105498	0.147929	0.162856	0.235607	0.34811
a43	0.0746607	0.0929868	0.121848	0.2632	0.447305
a26	0.0231231	0.0308076	0.0662834	0.271661	0.608125
a76	0.0175574	0.0231491	0.0516697	0.258461	0.649163
a41	0.00379853	0.00579886	0.0223935	0.270422	0.697588
a75	0.00455783	0.0081415	0.0330977	0.308747	0.645456
a41	0.00456214	0.00759945	0.0274523	0.285947	0.67444
a35	0.00436118	0.00764643	0.0303763	0.320938	0.636678
a61	0.0055681	0.00879458	0.0289118	0.258328	0.698397
a62	0.00650319	0.00936309	0.0267354	0.21953	0.737869
a83	0.00886149	0.0129982	0.033937	0.230999	0.713204
a9	0.0158271	0.0230654	0.0545511	0.265328	0.641228
a87	0.0398884	0.040373	0.0628382	0.234935	0.621965
</S>	0.035439	0.0324587	0.0598996	0.25177	0.620433
