 	mon	neveu-ci	est	un	touche-à-tout	</S>
a87	0.305493	0.329859	0.216991	0.097473	0.0341235	0.0160605
a23	0.284767	0.168463	0.142837	0.158954	0.155997	0.0889829
a87	0.325923	0.165311	0.102276	0.0933962	0.135303	0.177791
a23	0.324676	0.167399	0.111367	0.108395	0.131457	0.156705
a54	0.251535	0.138578	0.0991237	0.120728	0.17831	0.211726
a47	0.544712	0.170468	0.0900391	0.0521018	0.0600188	0.0826596
a44	0.501679	0.164192	0.0903137	0.0643244	0.0740098	0.105481
a90	0.415795	0.206295	0.128469	0.0923303	0.0777771	0.0793335
a92	0.33596	0.1972	0.15952	0.103421	0.093622	0.110277
a85	0.370368	0.208787	0.170197	0.0984455	0.0726428	0.0795587
a47	0.248799	0.178899	0.177922	0.139463	0.121111	0.133806
a37	0.30175	0.235191	0.170181	0.106403	0.083702	0.102772
a85	0.282701	0.352647	0.188472	0.0810631	0.0449773	0.0501394
a15	0.259697	0.312124	0.182385	0.0940479	0.0686672	0.0830788
a85	0.187093	0.299152	0.188965	0.1165	0.0918524	0.116438
a37	0.17564	0.214981	0.164352	0.115069	0.144131	0.185828
a21	0.166902	0.276796	0.207892	0.139716	0.0921789	0.116514
a61	0.171774	0.225933	0.191867	0.148231	0.121842	0.140353
a18	0.0964636	0.147177	0.153603	0.187203	0.187325	0.228227
a66	0.0517199	0.0922614	0.0995658	0.170397	0.263539	0.322517
a11	0.0171726	0.0401095	0.0632934	0.149212	0.362785	0.367427
a70	0.00721196	0.0186952	0.0301274	0.0939224	0.382132	0.467911
a66	0.0048194	0.0110572	0.0165448	0.0588284	0.361515	0.547235
a9	0.0034503	0.00789306	0.0135021	0.0465143	0.309189	0.619452
a83	0.0185032	0.0232007	0.0306271	0.0827698	0.298203	0.546696
a9	0.00932904	0.00955462	0.01563	0.0518864	0.300704	0.612896
a99	0.0089096	0.0101128	0.0164359	0.0617633	0.292989	0.60979
a87	0.0311215	0.0300159	0.0397875	0.100295	0.282879	0.515901
a23	0.0721409	0.0794563	0.0902739	0.154418	0.261849	0.341861
a87	0.0450864	0.0390203	0.0478923	0.108113	0.280332	0.479557
a23	0.0171232	0.0300725	0.041001	0.0823094	0.254239	0.575255
a87	0.0214233	0.0384801	0.0576471	0.108644	0.276173	0.497632
a30	0.0157644	0.0245521	0.0359591	0.0780301	0.265605	0.580089
</S>	0.0386916	0.0520304	0.0662095	0.105479	0.227325	0.510265
