 	le	silure	m'	a	piqué	dans	le	ruisseau	vouma	</S>
a66	0.175207	0.212705	0.204261	0.130078	0.0850812	0.0504892	0.0470221	0.0411595	0.0285786	0.0254187
a87	0.175964	0.194859	0.209574	0.175884	0.116515	0.0611388	0.0317683	0.0170744	0.00876936	0.00845255
a23	0.260467	0.308654	0.214573	0.135452	0.0484091	0.0124233	0.00712555	0.00517847	0.00335793	0.00435938
a83	0.31408	0.310059	0.169072	0.104639	0.0495527	0.0143356	0.008791	0.00836562	0.00841232	0.0126926
a70	0.248244	0.264059	0.204175	0.129447	0.0581228	0.0194576	0.0138633	0.0138433	0.022407	0.0263802
a90	0.260595	0.232558	0.211085	0.144024	0.0897041	0.0307788	0.0143597	0.00845055	0.00445403	0.00399015
a98	0.236605	0.219969	0.208477	0.140319	0.0960477	0.0444316	0.0239655	0.0147234	0.00826558	0.00719721
a92	0.045511	0.0511321	0.114891	0.151403	0.173678	0.178079	0.134132	0.0833717	0.0389056	0.0288968
a85	0.065327	0.0702175	0.137638	0.169808	0.199741	0.15997	0.0962174	0.0496751	0.0267131	0.0246934
a6	0.0271119	0.0239468	0.0595297	0.117391	0.17942	0.21315	0.155783	0.105174	0.0668873	0.0516072
a37	0.0643079	0.0735104	0.0853276	0.102741	0.126728	0.175967	0.151877	0.095508	0.0672376	0.056795
a21	0.0555885	0.0741998	0.0810513	0.101344	0.122228	0.16871	0.137048	0.0932708	0.0789764	0.0875828
a61	0.033071	0.0413783	0.0446788	0.0596454	0.0757212	0.140445	0.169549	0.156158	0.137538	0.141816
a75	0.0186635	0.019456	0.0199708	0.0277701	0.0363002	0.0986653	0.197541	0.227736	0.177007	0.176891
a85	0.00389074	0.00347915	0.00257803	0.00419614	0.0058403	0.0467423	0.156221	0.233752	0.258915	0.284385
a6	0.00252354	0.00242934	0.00169863	0.00312953	0.00509394	0.0406011	0.132216	0.220761	0.262202	0.329345
a75	0.00173753	0.0017794	0.00110931	0.00194335	0.00292886	0.0195205	0.074754	0.187589	0.327171	0.381467
a79	0.000913948	0.000779709	0.000565846	0.000975422	0.00132925	0.0115966	0.0638004	0.17851	0.339494	0.402035
a44	0.000621387	0.000524654	0.000272878	0.000441062	0.000524489	0.00448932	0.0299022	0.0955257	0.314251	0.553447
a93	0.000479968	0.000401384	0.000147226	0.000212781	0.000213711	0.00155543	0.0154828	0.0794147	0.325629	0.576463
a44	0.000543163	0.000436501	0.000182045	0.000222557	0.000178125	0.00109078	0.0102496	0.0576916	0.293893	0.635513
a54	0.000296316	0.000265986	0.000137004	0.000199883	0.000160417	0.000826644	0.00646841	0.039246	0.263665	0.688734
a7	0.000100475	6.99844e-05	5.23772e-05	9.77514e-05	9.20035e-05	0.000510733	0.00386611	0.0273121	0.242298	0.7256
a84	0.000300895	0.000278503	0.000174366	0.000295413	0.000265164	0.00127931	0.00734531	0.0358226	0.237896	0.716343
a57	0.0200966	0.015613	0.0107799	0.0136749	0.0112101	0.0168476	0.0304057	0.0583655	0.212271	0.610735
a87	0.221913	0.177862	0.102503	0.0735664	0.0363523	0.030204	0.0379406	0.0517481	0.0929289	0.174981
a23	0.210262	0.197053	0.157465	0.144478	0.0907078	0.0473662	0.0346322	0.0342391	0.0376207	0.0461757
a87	0.0793955	0.0873236	0.0689208	0.0703809	0.0401961	0.0392475	0.0603315	0.109508	0.184995	0.259702
</S>	0.011937	0.0115211	0.0128874	0.0218916	0.0189969	0.0347519	0.0766913	0.13491	0.241941	0.434471
