 	c'	est	ma	grand-mère	qui	m'	a	élévé	</S>
a23	0.264104	0.147589	0.130662	0.0935222	0.108744	0.109989	0.0909194	0.037897	0.0165738
a87	0.183016	0.090854	0.0749801	0.0551629	0.128672	0.191081	0.181715	0.0665671	0.0279515
a23	0.172021	0.131112	0.103076	0.0701579	0.112586	0.152363	0.135117	0.0762674	0.0472987
a40	0.229068	0.157503	0.0999207	0.0631278	0.0881436	0.130721	0.136448	0.068315	0.0267529
a7	0.441567	0.224939	0.105547	0.0585567	0.0577167	0.04958	0.0300541	0.0219978	0.0100415
a73	0.308499	0.214881	0.138366	0.0905461	0.075968	0.0619311	0.0437481	0.0446833	0.0213771
a44	0.202808	0.182231	0.147775	0.109293	0.0818129	0.0697979	0.0606596	0.0781196	0.0675035
a93	0.168478	0.160696	0.135099	0.100622	0.0749525	0.0661358	0.0614982	0.105096	0.127423
a44	0.099258	0.112341	0.114061	0.0984321	0.0740409	0.0684195	0.0667369	0.144569	0.222142
a34	0.0917154	0.109643	0.121869	0.106318	0.0791444	0.0762487	0.0723444	0.147581	0.195136
a90	0.0765552	0.0934248	0.117838	0.105951	0.0854381	0.0847032	0.0783977	0.156905	0.200788
a54	0.0710753	0.0840383	0.104813	0.103524	0.083946	0.0825537	0.0821044	0.173097	0.214849
a79	0.0527764	0.0632954	0.0959734	0.106911	0.0884637	0.104648	0.1127	0.17686	0.198372
a56	0.0416683	0.0537072	0.0915636	0.106867	0.0822213	0.0933011	0.0997969	0.181755	0.249119
a96	0.0216156	0.027587	0.0600571	0.105417	0.10194	0.127292	0.11617	0.19187	0.248051
a88	0.0106168	0.0129867	0.0286796	0.0661914	0.074409	0.119098	0.114008	0.215099	0.358911
a0	0.00556647	0.00643206	0.014793	0.0430356	0.0605095	0.115848	0.11995	0.24035	0.393516
a54	0.00302853	0.00302192	0.00566112	0.0167051	0.0247217	0.0604781	0.0834426	0.252631	0.55031
a37	0.00568098	0.00569263	0.0106236	0.0298956	0.033079	0.0769111	0.114422	0.222036	0.501659
a70	0.0045423	0.00394893	0.00624053	0.0179334	0.0235879	0.0570528	0.0934954	0.220385	0.572814
a11	0.00103454	0.000946317	0.00168205	0.00656685	0.0112774	0.0326102	0.0608885	0.187322	0.697672
a26	0.00135292	0.00110594	0.00163733	0.00542386	0.00823881	0.0275828	0.0780872	0.197751	0.67882
a82	0.00787724	0.0053052	0.00635671	0.0191688	0.0234818	0.056448	0.115039	0.158843	0.607481
a57	0.0571085	0.0310074	0.0256541	0.0385774	0.0455397	0.0903254	0.154655	0.121608	0.435524
a10	0.108834	0.064207	0.0529984	0.0664936	0.0783918	0.145555	0.223987	0.114357	0.145177
a87	0.100891	0.0666705	0.0627367	0.0867721	0.103191	0.175306	0.215512	0.0998128	0.0891083
a23	0.0832487	0.0650177	0.0751599	0.105644	0.121591	0.167657	0.195799	0.0908232	0.095059
a87	0.0721442	0.047114	0.0514899	0.104754	0.118072	0.187272	0.20797	0.11786	0.0933237
</S>	0.0727156	0.0463257	0.0570405	0.119283	0.130097	0.192516	0.220457	0.100528	0.0610376
