 	il	a	allumé	son	briquet	pour	mettre	feu	à	la	brousse	</S>
a23	0.258338	0.163509	0.148484	0.0893329	0.0654666	0.0353141	0.0366221	0.0328446	0.0307034	0.0354261	0.0456215	0.058338
a87	0.091158	0.0855305	0.0947844	0.0815227	0.082021	0.0821404	0.083821	0.067557	0.0647418	0.0768023	0.0880009	0.10192
a10	0.0550375	0.0617988	0.0749976	0.0796783	0.0802521	0.0865894	0.0876959	0.0833113	0.0806056	0.0958171	0.0989929	0.115223
a87	0.0884561	0.0754709	0.0816062	0.0739464	0.0775705	0.0827719	0.0699701	0.0563826	0.0618482	0.0825523	0.105733	0.143692
a10	0.11065	0.0951511	0.0875601	0.0765438	0.0772239	0.0846247	0.0638962	0.0503155	0.0557737	0.0745884	0.0914181	0.132254
a87	0.111601	0.114651	0.117711	0.10049	0.0906077	0.0729389	0.0558546	0.0379472	0.0432656	0.0590214	0.0799098	0.116002
a23	0.177073	0.163076	0.142852	0.0981725	0.0742468	0.0647921	0.0476263	0.0368406	0.036593	0.043935	0.0486475	0.066146
a20	0.0949577	0.129588	0.144504	0.147798	0.112447	0.0786689	0.0623835	0.0338556	0.0331665	0.0392391	0.051083	0.0723078
a30	0.417898	0.197926	0.134483	0.0925357	0.0702386	0.0330423	0.0187562	0.00903163	0.00650655	0.00635356	0.00586964	0.0073579
a35	0.30999	0.199846	0.158829	0.118062	0.0928203	0.0458776	0.0269728	0.0154226	0.00992679	0.00864319	0.00654624	0.00706392
a24	0.238903	0.168133	0.149518	0.130693	0.115178	0.0665884	0.0448493	0.0299187	0.0187803	0.0158294	0.011401	0.0102083
a83	0.162897	0.139167	0.128493	0.130786	0.123916	0.0960314	0.077343	0.0585787	0.033262	0.0234974	0.0141396	0.0118886
a35	0.108431	0.119393	0.122156	0.139848	0.138765	0.108817	0.0900863	0.0655812	0.0376775	0.0290614	0.0211019	0.0190816
a14	0.0783224	0.0972975	0.111582	0.137537	0.154193	0.122668	0.103109	0.0784246	0.0454822	0.0325288	0.0208836	0.0179721
a35	0.0512326	0.0778003	0.108722	0.142312	0.175118	0.126487	0.110777	0.0823383	0.0507707	0.0354907	0.0212843	0.0176679
a24	0.0285508	0.0491327	0.0926993	0.153613	0.179259	0.139441	0.127843	0.0853215	0.0531496	0.0380017	0.0268637	0.0261247
a43	0.0374005	0.0623717	0.104493	0.154051	0.181389	0.131951	0.116946	0.0805375	0.0500843	0.0337607	0.0243412	0.0226735
a75	0.0122095	0.0261086	0.0651396	0.15239	0.193897	0.154604	0.139429	0.0866147	0.0619714	0.0427525	0.0314783	0.0334057
a14	0.022486	0.0398555	0.0771944	0.126123	0.164184	0.138591	0.135649	0.09788	0.0693472	0.0492403	0.0406669	0.0387824
a35	0.0312776	0.0475955	0.0754531	0.0999801	0.147127	0.124665	0.117463	0.0931827	0.0791613	0.0634957	0.0593777	0.0612209
a76	0.0162031	0.0246162	0.0457215	0.0761348	0.125798	0.137996	0.146957	0.110623	0.0913475	0.0720453	0.0715995	0.0809571
a94	0.0200629	0.026981	0.0479519	0.0737037	0.107731	0.128324	0.12758	0.0939391	0.0833107	0.0769474	0.0959609	0.117507
a35	0.00920868	0.0136572	0.0271401	0.0542456	0.0997112	0.127169	0.144106	0.110862	0.100445	0.0863919	0.101886	0.125178
a85	0.00565056	0.0091016	0.0229889	0.0552342	0.100916	0.124403	0.149399	0.109051	0.0992672	0.083915	0.101962	0.138112
a14	0.00483933	0.00745352	0.019093	0.0504171	0.104769	0.132977	0.144702	0.0964425	0.0937723	0.0834114	0.109489	0.152634
a73	0.010754	0.0146022	0.0322887	0.072574	0.132991	0.141034	0.136754	0.0848602	0.0853549	0.0756055	0.0892975	0.123884
a76	0.00601478	0.00854955	0.0207456	0.052696	0.0902389	0.0935211	0.115846	0.083112	0.0902948	0.0889779	0.134168	0.215835
a73	0.00885744	0.0110897	0.0228513	0.051632	0.0872875	0.0988448	0.110178	0.0867105	0.100491	0.0957515	0.12387	0.202437
a35	0.00498229	0.00681721	0.0155772	0.03923	0.0666261	0.075826	0.0946689	0.0764636	0.0934895	0.0995878	0.155464	0.271267
a14	0.00575873	0.00797382	0.0173956	0.0448979	0.0794481	0.0818251	0.0934049	0.0780167	0.0953643	0.100022	0.144424	0.251469
a35	0.00808966	0.00983137	0.0199956	0.0493867	0.0871277	0.0873986	0.0950652	0.0744682	0.0927629	0.0970538	0.136886	0.241934
a24	0.00474364	0.00666761	0.0140243	0.0389877	0.0785114	0.0775307	0.0832596	0.071273	0.0931381	0.10129	0.155759	0.274815
a41	0.00215163	0.00306556	0.00692825	0.0251645	0.0673658	0.0679417	0.0727887	0.0588075	0.0748219	0.087477	0.18403	0.349458
a14	0.00308726	0.0043904	0.00903949	0.0291643	0.076268	0.0704289	0.0692793	0.055029	0.0763602	0.0939239	0.185796	0.327233
a30	0.00370989	0.00516003	0.0100409	0.0299443	0.076044	0.0724433	0.0704528	0.0590218	0.0824352	0.0999689	0.179256	0.311523
a57	0.00170343	0.00244985	0.00633427	0.0211419	0.0465286	0.0437755	0.0479904	0.0440624	0.0677356	0.0934369	0.221016	0.403825
a87	0.00656554	0.00773929	0.0144523	0.0328791	0.0601893	0.0516063	0.051574	0.0480775	0.0730408	0.101491	0.215393	0.336992
a23	0.00548855	0.00608893	0.0138513	0.0273964	0.0507104	0.0595431	0.0636565	0.0535356	0.0815139	0.112252	0.19668	0.329284
a87	0.00868669	0.0109452	0.020569	0.0308991	0.0484818	0.0593199	0.0712173	0.0673915	0.0985812	0.129339	0.189129	0.265441
a23	0.00515864	0.00662747	0.0162107	0.0309718	0.0556131	0.0682171	0.0632901	0.0479775	0.0754434	0.105506	0.195748	0.329236
a24	0.0095073	0.0131871	0.0249824	0.0361106	0.0551695	0.0673208	0.0892338	0.0901508	0.119165	0.133146	0.164666	0.197361
a32	0.00299818	0.0042211	0.0103176	0.0238177	0.0412462	0.0583997	0.0532684	0.0473103	0.0729243	0.106797	0.203084	0.375616
a25	0.00219424	0.00284774	0.00709031	0.0197511	0.0367156	0.0575701	0.0611655	0.0561715	0.0799681	0.108889	0.208019	0.359618
a38	0.00077965	0.00111106	0.00270129	0.00669837	0.013247	0.0220001	0.0294912	0.0350454	0.059807	0.102424	0.258894	0.467801
