 	je	pêche	les	poissons	dans	l'	étang	</S>
a66	0.289532	0.202738	0.139444	0.117472	0.111545	0.0737961	0.0388733	0.0266011
a87	0.329824	0.226008	0.127601	0.117632	0.0847726	0.0514048	0.0332011	0.0295558
a23	0.419039	0.321659	0.140211	0.0576303	0.0178142	0.0109916	0.0133649	0.01929
a3	0.422846	0.282894	0.111618	0.0556978	0.0294081	0.0253723	0.0319062	0.0402573
a97	0.398246	0.282439	0.143158	0.0712338	0.0321852	0.0231334	0.0231869	0.0264182
a87	0.413152	0.258112	0.124655	0.0777073	0.0420974	0.0283193	0.0261328	0.0298237
a23	0.434418	0.262285	0.118642	0.0674552	0.0318802	0.0246178	0.0267911	0.0339111
a83	0.36613	0.228248	0.116191	0.0741548	0.0558674	0.0474093	0.0515819	0.0604181
a75	0.267511	0.234752	0.206559	0.119823	0.0632329	0.0413537	0.0376072	0.0291604
a5	0.184128	0.18325	0.243584	0.196307	0.096727	0.0448524	0.0307962	0.0203556
a21	0.100107	0.137094	0.257852	0.237976	0.125184	0.0638821	0.0454982	0.0324064
a12	0.0696351	0.0976575	0.219349	0.312189	0.170429	0.0647809	0.0383465	0.027612
a34	0.0687032	0.0865927	0.184463	0.293325	0.188108	0.0836733	0.0527141	0.0424208
a92	0.0610816	0.0767549	0.15818	0.285414	0.215347	0.0943323	0.0564668	0.0524236
a98	0.0406013	0.0534376	0.111166	0.237946	0.216029	0.130478	0.103757	0.106584
a47	0.0247396	0.0283961	0.0505237	0.127124	0.211103	0.196314	0.182532	0.179268
a0	0.0148502	0.0120537	0.0178193	0.0459474	0.121793	0.158946	0.234916	0.393674
a61	0.014155	0.00855125	0.00920673	0.0175717	0.0743639	0.154568	0.265449	0.456134
a0	0.0130145	0.00773815	0.00792528	0.0133378	0.0593145	0.15657	0.287066	0.455034
a62	0.00355666	0.00192884	0.00172267	0.00285153	0.0155767	0.0698972	0.250893	0.653574
a88	0.00308696	0.00182776	0.00162664	0.00271501	0.0127406	0.0636893	0.254393	0.65992
a71	0.000888908	0.000526919	0.000537434	0.00109787	0.00673327	0.0414647	0.21018	0.738571
a11	0.00855033	0.00575381	0.00582557	0.00859651	0.0271005	0.0823611	0.227392	0.63442
a93	0.0146663	0.00905719	0.010431	0.0158914	0.0361601	0.0890544	0.213756	0.610984
a96	0.000465551	0.000272959	0.000310383	0.000864619	0.0065567	0.0406334	0.211563	0.739333
a13	0.00053544	0.000317828	0.000399585	0.00114205	0.00784262	0.042249	0.209638	0.737876
a71	0.00146649	0.000985504	0.00147082	0.00344294	0.0157381	0.063656	0.225451	0.687789
a9	0.00445756	0.00297234	0.00386681	0.00682634	0.0200478	0.0684759	0.221213	0.672141
a10	0.091525	0.0464737	0.0313945	0.0345759	0.0553986	0.106052	0.205048	0.429533
a87	0.288142	0.153828	0.0660395	0.0473008	0.04702	0.0696736	0.118921	0.209075
a23	0.329374	0.204482	0.0892251	0.0529071	0.0387159	0.0488239	0.0818708	0.154601
a87	0.0933472	0.0535692	0.0306066	0.0230292	0.0316612	0.0645151	0.20201	0.501262
</S>	0.0135084	0.00884098	0.00613655	0.00771306	0.0166401	0.0510345	0.225474	0.670653
