 	la	route	est	boueuse	</S>
a23	0.44183	0.191732	0.165913	0.10578	0.0947452
a87	0.435706	0.210418	0.184718	0.10436	0.0647976
a23	0.526508	0.215543	0.151057	0.0694436	0.0374485
a87	0.497022	0.188203	0.158011	0.0878579	0.0689069
a23	0.421906	0.211297	0.184141	0.0990302	0.0836264
a53	0.370788	0.212363	0.206342	0.114617	0.0958902
a20	0.319739	0.209726	0.164889	0.158494	0.147151
a73	0.329975	0.263684	0.188481	0.135355	0.0825044
a84	0.353432	0.279168	0.187006	0.114338	0.0660563
a30	0.171425	0.214091	0.220082	0.196267	0.198135
a14	0.191237	0.193229	0.1955	0.190942	0.229091
a35	0.271488	0.204027	0.179409	0.177281	0.167795
a26	0.224594	0.196752	0.192187	0.19706	0.189406
a35	0.212548	0.208253	0.199901	0.192635	0.186663
a90	0.164194	0.180166	0.187506	0.222644	0.24549
a96	0.161352	0.172574	0.19475	0.209561	0.261762
a70	0.11202	0.143948	0.185299	0.227963	0.33077
a62	0.0592519	0.0932255	0.152128	0.252476	0.442918
a26	0.036861	0.0610368	0.121235	0.253671	0.527197
a96	0.0503813	0.0764923	0.156077	0.244674	0.472375
a54	0.0341723	0.05341	0.121434	0.259725	0.531259
a44	0.0359806	0.0511704	0.108116	0.243257	0.561477
a26	0.024184	0.0371851	0.0905162	0.214185	0.63393
a57	0.034229	0.0485614	0.109355	0.228762	0.579093
a87	0.075755	0.0867312	0.147649	0.214443	0.475422
</S>	0.0859001	0.0891852	0.161683	0.242676	0.420555
