 	j'	avais	traversé	le	fleuve	en	pirogue	aujourd'	hui	je	vais	traverser	à	la	nage	</S>
a15	0.13221	0.12911	0.121817	0.0794617	0.0734441	0.0776675	0.0702774	0.0551283	0.0502168	0.0489443	0.0459972	0.0426836	0.0336124	0.0187594	0.0123323	0.00833812
a66	0.194377	0.107147	0.102008	0.0551688	0.0433871	0.0442159	0.0469115	0.0375318	0.0402886	0.0626627	0.0652728	0.0712228	0.0543948	0.0401356	0.0176374	0.0176382
a87	0.364764	0.161014	0.109005	0.0624339	0.0504095	0.0492377	0.0351439	0.0231349	0.0230465	0.0239847	0.019877	0.016842	0.0118401	0.00982044	0.0192364	0.0202095
a23	0.312457	0.16042	0.116301	0.0707118	0.0495719	0.0484639	0.037366	0.0288304	0.028666	0.0323963	0.0284702	0.026919	0.0199764	0.013808	0.0134981	0.0121444
a87	0.255786	0.133012	0.126319	0.0823833	0.0586449	0.0504434	0.0405655	0.0343844	0.034685	0.0356148	0.0297739	0.0275914	0.020878	0.0207212	0.0223253	0.026872
a23	0.220181	0.122819	0.135736	0.0950954	0.0696641	0.05712	0.045559	0.0387399	0.0365176	0.0390286	0.0343687	0.0310639	0.0237542	0.020317	0.0142486	0.015787
a13	0.23887	0.104428	0.11636	0.0755175	0.0489358	0.0436264	0.0418122	0.0412502	0.0401131	0.0438473	0.040113	0.0322063	0.0257477	0.0337732	0.0311494	0.0422497
a66	0.17725	0.127419	0.136389	0.0833914	0.0534265	0.0483996	0.0430731	0.0387422	0.0368538	0.0373109	0.0354001	0.0287096	0.0250263	0.0355541	0.0328135	0.0602416
a54	0.282668	0.189949	0.170785	0.0801833	0.0407178	0.0278022	0.0226007	0.0173397	0.0159783	0.0168287	0.0168201	0.0154134	0.0156515	0.0282465	0.0263911	0.032625
a30	0.208085	0.136245	0.14542	0.0822149	0.0507632	0.0429094	0.0376922	0.0285407	0.0260632	0.0251702	0.0206124	0.0171751	0.0168916	0.039912	0.0505533	0.071752
a85	0.159688	0.127284	0.150201	0.100944	0.0687359	0.059095	0.0470174	0.03198	0.0281294	0.0257179	0.0209047	0.0160402	0.0163775	0.0334891	0.053172	0.0612238
a5	0.0915197	0.107586	0.129709	0.113974	0.0978537	0.0859225	0.0622293	0.0447009	0.0400247	0.0325697	0.0264741	0.0203108	0.0194876	0.033419	0.0504419	0.0437768
a36	0.113975	0.126431	0.144871	0.132709	0.11436	0.0943132	0.0617768	0.0415872	0.034242	0.0275432	0.0223807	0.0182591	0.015759	0.0171373	0.0184752	0.0161809
a24	0.0582831	0.0798714	0.105519	0.119045	0.125093	0.111989	0.0799488	0.0570488	0.0515704	0.0426736	0.0387686	0.0331797	0.0284908	0.0267249	0.0215182	0.0202757
a12	0.0204353	0.0371895	0.0564762	0.09798	0.145474	0.167505	0.127725	0.0802011	0.0696992	0.0505894	0.0414208	0.0309637	0.0232472	0.0190705	0.0149918	0.0170326
a5	0.0116473	0.0231132	0.0394038	0.0810123	0.141767	0.183042	0.149573	0.0921137	0.0782893	0.0577793	0.0453467	0.0309211	0.0207012	0.0153494	0.013421	0.0165201
a75	0.00656537	0.0117878	0.0230567	0.0502492	0.104801	0.157605	0.151457	0.108218	0.101631	0.070232	0.0612761	0.0470979	0.0384918	0.0286303	0.0195485	0.0193528
a85	0.00289478	0.00630105	0.014553	0.028751	0.0612722	0.110178	0.143098	0.127751	0.132058	0.0931331	0.0790185	0.0548113	0.0458909	0.0348206	0.0292061	0.0362617
a5	0.00359292	0.00748177	0.0159231	0.0308291	0.0610808	0.104504	0.129829	0.117962	0.126849	0.0927037	0.0837321	0.0583101	0.0507188	0.030792	0.0364802	0.0492117
a21	0.00304516	0.00621188	0.0126172	0.0230156	0.0488221	0.0965289	0.137616	0.128193	0.132754	0.1007	0.0892603	0.0692843	0.0608476	0.0337258	0.0278736	0.0295047
a12	0.00481396	0.00793185	0.013441	0.0229032	0.0475474	0.0943945	0.141624	0.123907	0.118805	0.0984499	0.0906206	0.0767243	0.0678161	0.0355651	0.0305161	0.02494
a18	0.00284857	0.0053061	0.010853	0.0270943	0.0627998	0.117993	0.16474	0.141936	0.130866	0.0986298	0.0722698	0.0487454	0.0393475	0.0210485	0.0256449	0.0298776
a35	0.00625671	0.0077354	0.0168487	0.0342807	0.0572005	0.111047	0.149415	0.140542	0.132372	0.110133	0.0721711	0.0393298	0.0254932	0.0132275	0.026773	0.0571747
a25	0.00208254	0.00286912	0.00633911	0.0172942	0.0416222	0.0996573	0.15238	0.149453	0.146666	0.103995	0.0693292	0.0372735	0.0325188	0.0197816	0.0337588	0.0849805
a56	0.00561084	0.0055355	0.00992865	0.0226285	0.0442927	0.10177	0.146079	0.15032	0.148185	0.100407	0.0594414	0.0313921	0.0262564	0.0163775	0.0414944	0.0902807
a75	0.0031323	0.00376832	0.0065285	0.016861	0.0414204	0.0924454	0.128407	0.137761	0.139678	0.0943969	0.0668565	0.0431288	0.0473748	0.0353946	0.0509193	0.0919271
