 	en	ville	il	y	a	de	belles	filles	</S>
a85	0.319079	0.132095	0.100915	0.0990989	0.0788995	0.0660031	0.079855	0.0708463	0.0532084
a87	0.197843	0.0835642	0.0848157	0.128351	0.114222	0.11164	0.145854	0.0739783	0.0597323
a79	0.11501	0.0534859	0.0524955	0.0611327	0.0949461	0.126812	0.211243	0.152049	0.132826
a20	0.212262	0.0604696	0.0427473	0.0547259	0.0611871	0.0815914	0.117367	0.177268	0.192381
a56	0.269965	0.106714	0.0806253	0.0652692	0.0634243	0.0801368	0.0746414	0.124163	0.135061
a44	0.499272	0.215323	0.0936924	0.052552	0.0198568	0.0224336	0.0240229	0.0322785	0.0405689
a98	0.27211	0.184968	0.112066	0.0783439	0.035457	0.0486856	0.0751943	0.0817701	0.111405
a85	0.151571	0.120287	0.120831	0.125197	0.0840043	0.0875544	0.10297	0.0893078	0.118277
a92	0.148775	0.124477	0.128384	0.119627	0.0930924	0.0945565	0.106039	0.0895626	0.0954871
a37	0.104907	0.0930675	0.119819	0.109057	0.0989148	0.113301	0.138734	0.108251	0.113948
a24	0.0564532	0.0547298	0.0812022	0.115762	0.124015	0.157274	0.224468	0.0975824	0.0885136
a31	0.0308159	0.0293993	0.0402131	0.063815	0.101826	0.151259	0.300375	0.140058	0.142239
a62	0.0198689	0.022348	0.0377463	0.069404	0.123242	0.157841	0.273202	0.15959	0.136759
a83	0.00895641	0.00950133	0.0151327	0.0309507	0.0775198	0.120556	0.307916	0.178539	0.250928
a18	0.00679112	0.00652263	0.0111105	0.0215409	0.0671952	0.109804	0.284022	0.183231	0.309783
a38	0.00312158	0.00265224	0.00535752	0.00962954	0.0406271	0.0741633	0.205684	0.175359	0.483405
a90	0.00132024	0.00120986	0.00299337	0.00564848	0.0299542	0.0576253	0.155017	0.185051	0.561181
a25	0.00191904	0.00193761	0.00474294	0.00845863	0.0377374	0.0683658	0.1522	0.196721	0.527918
a44	0.000609167	0.000647814	0.00214095	0.00361001	0.0243381	0.0490322	0.127829	0.191366	0.600426
a54	0.000460472	0.00041665	0.00120469	0.0025111	0.0188585	0.042413	0.10969	0.140613	0.683833
a47	0.00117048	0.000997572	0.00235126	0.00426361	0.0241651	0.0477846	0.106599	0.138435	0.674233
a85	0.000656726	0.000516736	0.00153375	0.00258849	0.0179151	0.0377087	0.104067	0.153531	0.681482
a61	0.00136844	0.00110494	0.0025895	0.00502277	0.0240188	0.0500455	0.154887	0.13564	0.625323
a83	0.00118545	0.000973624	0.00269932	0.0047315	0.0268791	0.0530119	0.199199	0.167986	0.543334
a9	0.00100915	0.000817629	0.00216609	0.00377466	0.0228604	0.0479798	0.154436	0.166734	0.600222
a87	0.00384607	0.00281813	0.00646849	0.00953855	0.0416924	0.0761681	0.203491	0.212068	0.443909
a97	0.0117616	0.00791402	0.0142603	0.0283985	0.0799237	0.116155	0.293544	0.208035	0.240008
a87	0.0110343	0.00767882	0.0139492	0.0277376	0.0782645	0.119851	0.275922	0.207793	0.257771
a97	0.0078883	0.00626125	0.0123907	0.0226485	0.0809059	0.126364	0.251841	0.207713	0.283988
</S>	0.0105565	0.00766768	0.0142535	0.0261119	0.0764769	0.124716	0.258975	0.190779	0.290463
