 	la	morelle	est	amère	</S>
a66	0.449628	0.180579	0.149853	0.139766	0.0801729
a87	0.259635	0.241597	0.227092	0.176641	0.0950353
a97	0.41114	0.321525	0.125983	0.0857261	0.0556256
a83	0.387255	0.321598	0.128043	0.106764	0.0563413
a34	0.530791	0.273399	0.0841085	0.0579007	0.0538005
a21	0.558983	0.296061	0.0791792	0.0382929	0.0274841
a47	0.415371	0.356039	0.134196	0.0547726	0.0396215
a21	0.306279	0.331732	0.193196	0.0888566	0.0799363
a12	0.241669	0.314423	0.219342	0.120702	0.103865
a61	0.220303	0.274623	0.222695	0.158679	0.1237
a12	0.155165	0.208372	0.23326	0.23643	0.166773
a21	0.119886	0.166255	0.227522	0.286785	0.199552
a5	0.0697439	0.115397	0.207135	0.334937	0.272787
a36	0.0515594	0.0937035	0.203539	0.327638	0.323559
a5	0.0316345	0.044309	0.130487	0.301605	0.491965
a18	0.0271542	0.035991	0.106828	0.300599	0.529428
a25	0.0134492	0.0111492	0.0393714	0.251457	0.684574
a97	0.0147514	0.0167358	0.049245	0.272089	0.647179
a3	0.0386581	0.0427439	0.0679551	0.333237	0.517405
a97	0.107786	0.0920146	0.0960598	0.298919	0.40522
a30	0.107092	0.0976297	0.116775	0.312776	0.365727
</S>	0.085262	0.0896588	0.140995	0.262316	0.421769
