 	le	chien	a	des	plaies	aux	oreilles	</S>
a66	0.177479	0.144193	0.157864	0.232231	0.235047	0.0382639	0.00986711	0.00505612
a87	0.27588	0.146835	0.107629	0.123479	0.1653	0.0670296	0.0652029	0.0486451
a23	0.28929	0.206254	0.173296	0.16038	0.10243	0.0303026	0.0195048	0.018543
a18	0.297558	0.221781	0.168414	0.150649	0.0857857	0.0329007	0.023237	0.0196737
a38	0.241435	0.168706	0.17994	0.171629	0.116227	0.0483454	0.0451011	0.0286162
a98	0.194323	0.148756	0.206074	0.235031	0.132704	0.0398569	0.0275113	0.0157435
a92	0.16085	0.130402	0.189587	0.232877	0.180474	0.0559131	0.0326103	0.0172861
a75	0.141768	0.151989	0.208256	0.228241	0.161872	0.0589386	0.0305168	0.0184184
a5	0.150705	0.153875	0.216315	0.225024	0.154298	0.0586339	0.0248805	0.0162685
a75	0.164532	0.152768	0.213566	0.235471	0.148244	0.0467249	0.0231963	0.0154976
a85	0.130158	0.133987	0.208734	0.245392	0.156226	0.0676049	0.0324895	0.0254098
a47	0.096319	0.104775	0.157546	0.221953	0.179542	0.116148	0.065515	0.0582025
a36	0.0685464	0.0908196	0.132629	0.222696	0.192396	0.0981613	0.087195	0.107557
a90	0.0614358	0.0897535	0.117075	0.187083	0.1971	0.0912617	0.096626	0.159665
a25	0.0381524	0.0593675	0.0799791	0.142976	0.194101	0.135186	0.138105	0.212134
a98	0.0248398	0.0347678	0.0443856	0.0839706	0.128375	0.134695	0.179623	0.369344
a92	0.0164404	0.0269033	0.0390086	0.0740923	0.104474	0.154081	0.227585	0.357416
a98	0.0120593	0.0199243	0.0286589	0.0604898	0.10177	0.177458	0.262393	0.337247
a85	0.00922175	0.0163058	0.0281149	0.0670731	0.098415	0.16442	0.253563	0.362886
a6	0.00478249	0.00780884	0.0126141	0.0311305	0.0598025	0.144523	0.310344	0.428995
a36	0.00591625	0.00801978	0.0098991	0.0209952	0.037827	0.115663	0.293465	0.508214
a0	0.00310694	0.00253383	0.00208832	0.00291331	0.00717225	0.0335423	0.170426	0.778217
a62	0.00151307	0.00100092	0.000721393	0.000893597	0.00306749	0.0257687	0.190815	0.77622
a88	0.00106353	0.000819261	0.000828425	0.0012956	0.00561507	0.0406046	0.240913	0.70886
a71	0.000811488	0.000615307	0.000627046	0.000897673	0.00361934	0.0338803	0.25994	0.699609
a9	0.0160989	0.010562	0.00784942	0.00675204	0.012846	0.0547147	0.246004	0.645172
a99	0.0554454	0.0329793	0.0264325	0.0237419	0.0296827	0.0675359	0.210889	0.553294
a87	0.181071	0.106907	0.076549	0.0622563	0.061381	0.0995921	0.157171	0.255072
a23	0.157171	0.0970737	0.0739718	0.0727033	0.0874902	0.121424	0.167081	0.223086
a87	0.0534125	0.0266173	0.0150291	0.0114601	0.0172645	0.0626571	0.214978	0.598581
</S>	0.0131307	0.00742057	0.00534043	0.00684172	0.0121817	0.0462945	0.204713	0.704077
