 	les	gens	se	rassemblèrent	autour	du	cadavre	</S>
a10	0.235421	0.183843	0.0917365	0.053244	0.0774295	0.118426	0.111446	0.128455
a87	0.2965	0.134831	0.1177	0.104625	0.0889783	0.0831938	0.0874533	0.086718
a23	0.316682	0.146376	0.124066	0.0965549	0.0842332	0.0793891	0.0789706	0.0737278
a54	0.261182	0.144404	0.120678	0.0797734	0.0815968	0.11532	0.118908	0.0781372
a73	0.396076	0.243207	0.125731	0.09929	0.0447825	0.0272074	0.0293579	0.0343483
a44	0.379223	0.252285	0.147528	0.123427	0.0548124	0.0210391	0.0134809	0.00820464
a94	0.273515	0.217524	0.172835	0.171942	0.0824238	0.0354849	0.026655	0.0196211
a38	0.171194	0.175249	0.19126	0.209358	0.114973	0.054545	0.0435123	0.0399078
a41	0.160315	0.162981	0.184266	0.207878	0.119929	0.059556	0.0504752	0.0545997
a94	0.146078	0.154037	0.173488	0.201757	0.136154	0.0683148	0.0583263	0.061844
a38	0.126147	0.124624	0.13851	0.171039	0.142757	0.0901033	0.0977844	0.109036
a12	0.110352	0.110803	0.129237	0.166179	0.153504	0.103526	0.11119	0.11521
a70	0.0760418	0.0823377	0.124915	0.156142	0.166933	0.141007	0.131214	0.121409
a13	0.0627137	0.0635153	0.0836989	0.109505	0.156274	0.167445	0.193264	0.163584
a9	0.0659421	0.0594127	0.0784016	0.105938	0.164371	0.182764	0.198561	0.144611
a50	0.0864191	0.0731811	0.0972981	0.115922	0.156972	0.159859	0.182266	0.128083
a83	0.104978	0.0844412	0.0915109	0.0937619	0.112448	0.133384	0.188478	0.190999
a25	0.0831747	0.0692454	0.072183	0.0813972	0.0925838	0.126334	0.211594	0.263489
a87	0.0570038	0.0463125	0.0493307	0.0569337	0.0705516	0.116146	0.266952	0.336769
</S>	0.0283684	0.0293912	0.0433295	0.0491463	0.0722126	0.127608	0.282531	0.367413
