 	l'	enfant	est	debout	dans	la	rue	</S>
a66	0.349646	0.258826	0.149131	0.0697065	0.0351236	0.0592611	0.0545441	0.0237623
a87	0.260073	0.20023	0.170471	0.170757	0.073012	0.0566675	0.0481375	0.0206521
a23	0.432634	0.293348	0.148147	0.0646209	0.0190737	0.0151415	0.0147525	0.0122832
a87	0.321083	0.277577	0.187847	0.124298	0.03419	0.021619	0.0179241	0.0154617
a23	0.358567	0.285847	0.178569	0.102958	0.0300281	0.01787	0.0138913	0.0122697
a83	0.368671	0.235724	0.13875	0.110546	0.042253	0.0316724	0.0342464	0.0381375
a54	0.268416	0.224526	0.187686	0.103902	0.0416265	0.0480767	0.0662476	0.0595197
a6	0.164744	0.195129	0.20892	0.126819	0.0914545	0.0908297	0.0697699	0.0523343
a92	0.0750502	0.103852	0.178771	0.188546	0.177614	0.133025	0.0816801	0.0614612
a12	0.0672826	0.0925397	0.160146	0.186887	0.204876	0.144577	0.0879156	0.0557763
a18	0.0569212	0.0681357	0.10529	0.25523	0.285859	0.130808	0.0579389	0.0398156
a21	0.0282502	0.0356151	0.0645149	0.182964	0.31923	0.211486	0.0821631	0.0757774
a12	0.0447306	0.0502257	0.0690217	0.152914	0.237484	0.216551	0.137467	0.0916053
a31	0.0323922	0.0352243	0.0528034	0.126596	0.215016	0.252131	0.177895	0.107942
a62	0.0240717	0.0241376	0.0347104	0.082881	0.167944	0.263251	0.262214	0.14079
a34	0.0194627	0.0189173	0.0247654	0.0471065	0.099154	0.191567	0.319976	0.279051
a90	0.01237	0.0117963	0.0156692	0.0274935	0.0719024	0.188143	0.346454	0.326171
a56	0.00745962	0.00636906	0.00643311	0.007703	0.0309948	0.151015	0.373075	0.416951
a94	0.00408627	0.00350442	0.00383143	0.00549294	0.0221362	0.114829	0.326027	0.520093
a4	0.00169295	0.00138401	0.0014291	0.00165205	0.0067731	0.0575115	0.265705	0.663853
a58	0.00113479	0.000893387	0.000778499	0.000657527	0.00226319	0.0256556	0.204829	0.763788
a82	0.00194654	0.001618	0.00153482	0.00113852	0.00281378	0.0246612	0.233391	0.732896
a10	0.0603911	0.0415186	0.0353362	0.0239909	0.0305246	0.0715286	0.237562	0.499148
a87	0.238044	0.198964	0.119746	0.0468212	0.0254525	0.0414638	0.110117	0.219392
a23	0.28996	0.258352	0.17631	0.0711289	0.0264388	0.0269217	0.0652042	0.0856834
a10	0.169196	0.135856	0.0860167	0.0347756	0.0201833	0.0431355	0.167917	0.342921
a87	0.0493343	0.0348061	0.0261465	0.0216992	0.0326389	0.0905964	0.235888	0.50889
a23	0.0500023	0.0390712	0.0287925	0.0179925	0.0242234	0.0701271	0.207863	0.561928
a87	0.105463	0.0978872	0.0858194	0.0425985	0.0298384	0.0650862	0.190783	0.382524
</S>	0.0367051	0.0293999	0.025479	0.0180659	0.0337933	0.0960463	0.235984	0.524526
