 	il	est	brave	au	combat	</S>
a10	0.207957	0.143195	0.10696	0.129673	0.182347	0.229869
a53	0.233905	0.181587	0.12507	0.12944	0.127825	0.202172
a15	0.154464	0.149903	0.224558	0.176284	0.135222	0.159569
a85	0.310188	0.219076	0.242473	0.12506	0.051645	0.0515585
a36	0.571465	0.265147	0.109329	0.0309568	0.0115881	0.0115137
a75	0.441663	0.336329	0.142694	0.0379526	0.0194419	0.0219189
a98	0.338204	0.316224	0.18351	0.0776009	0.0442597	0.0402008
a41	0.209018	0.255771	0.237436	0.131698	0.0892265	0.0768513
a37	0.144132	0.173316	0.236647	0.191941	0.132669	0.121296
a40	0.0962624	0.16435	0.251963	0.206392	0.144078	0.136955
a85	0.0516558	0.100458	0.183094	0.23249	0.228662	0.203641
a36	0.040749	0.0595089	0.101339	0.188729	0.327679	0.281995
a85	0.0140715	0.0242277	0.0576141	0.091736	0.302188	0.510163
a0	0.00624585	0.0120436	0.0344726	0.0716867	0.309584	0.565967
a11	0.00296844	0.00604269	0.0191949	0.0617452	0.274275	0.635773
a75	0.00136173	0.00292709	0.0131763	0.0584616	0.232972	0.691101
a41	0.00302118	0.00508533	0.0147663	0.0545247	0.280418	0.642185
a27	0.00201253	0.0033663	0.0120201	0.0538125	0.259718	0.669071
a61	0.00124794	0.00249657	0.0135935	0.0636193	0.200581	0.718462
a12	0.00208325	0.00433946	0.0142209	0.0535497	0.191036	0.73477
a75	0.00282482	0.00478218	0.0129328	0.0403988	0.189332	0.749729
a73	0.00211611	0.0036276	0.016899	0.0606313	0.228542	0.688184
a2	0.00278179	0.0055354	0.024227	0.0803156	0.233637	0.653503
a57	0.019794	0.0264175	0.0694464	0.142744	0.257681	0.483916
a10	0.0841022	0.107127	0.112223	0.149573	0.23243	0.314545
a87	0.086534	0.097027	0.0933075	0.142598	0.255938	0.324595
a10	0.0952945	0.116661	0.111999	0.171851	0.252296	0.251899
</S>	0.0672508	0.0821562	0.0979511	0.166533	0.269025	0.317083
