 	cette	marmite	est	devenue	propre	depuis	que	je	l'	ai	bien	lavée	</S>
a66	0.137269	0.144675	0.182193	0.158132	0.136726	0.053451	0.048303	0.0445046	0.0387594	0.0235725	0.0124084	0.012754	0.0072506
a87	0.331609	0.194651	0.124131	0.0453063	0.030899	0.0244528	0.0373186	0.044639	0.0326993	0.0261841	0.0246141	0.034598	0.0488976
a97	0.209537	0.160951	0.115233	0.102053	0.134561	0.0614773	0.0411341	0.0382548	0.0319413	0.0224069	0.0198099	0.0268833	0.0357585
a99	0.191284	0.167028	0.102372	0.100075	0.200987	0.0595576	0.0420687	0.0335553	0.0251243	0.0206333	0.0147872	0.0166993	0.0258286
a38	0.267842	0.230715	0.123183	0.133311	0.108275	0.0244703	0.0152916	0.0151536	0.0161955	0.0152497	0.0155292	0.015588	0.0191966
a62	0.344586	0.271005	0.141901	0.119439	0.0402228	0.00889819	0.00578578	0.00657618	0.00964114	0.0103507	0.0131955	0.0141458	0.0142534
a12	0.290426	0.283152	0.173621	0.155888	0.0613291	0.015084	0.005578	0.00377966	0.00333037	0.002263	0.00217404	0.00186117	0.00151318
a96	0.199229	0.254539	0.182385	0.186228	0.100548	0.0370046	0.0129831	0.00760646	0.00624727	0.00398093	0.00392359	0.00297938	0.00234531
a62	0.142765	0.195824	0.152887	0.182911	0.156899	0.0762235	0.0299641	0.0167231	0.0135642	0.00965525	0.00948238	0.00772599	0.00537559
a21	0.0962467	0.131201	0.131295	0.161151	0.183581	0.138076	0.0619786	0.0297954	0.0215101	0.0135228	0.0127946	0.0116109	0.00723715
a12	0.0644427	0.0871312	0.103628	0.120909	0.191325	0.17732	0.101393	0.0554245	0.0374272	0.0195559	0.0160842	0.0152907	0.0100693
a56	0.0403966	0.0637135	0.0782667	0.0980142	0.186158	0.183637	0.12625	0.0819419	0.058673	0.0293559	0.0207778	0.0193169	0.0134987
a96	0.0211799	0.039073	0.0616555	0.0835748	0.197106	0.187587	0.137685	0.0941298	0.0683642	0.0358988	0.0274213	0.0257107	0.0206139
a90	0.0130427	0.0236314	0.0410297	0.0597301	0.163298	0.189135	0.16141	0.124312	0.0888903	0.0460147	0.0322801	0.0319483	0.025278
a98	0.00745696	0.0120982	0.0242218	0.0410407	0.154209	0.19085	0.167807	0.119801	0.08699	0.0540902	0.0526572	0.0486408	0.0401377
a15	0.00489803	0.00853452	0.0190995	0.0352589	0.105892	0.143011	0.144669	0.125101	0.10498	0.0721647	0.0771924	0.081089	0.0781096
a79	0.0126758	0.0170777	0.0292654	0.04869	0.125847	0.122811	0.11418	0.108892	0.0980867	0.0649802	0.0769887	0.0784938	0.102012
a75	0.00756747	0.00809874	0.0121027	0.0212929	0.0750253	0.101766	0.116764	0.13373	0.130645	0.0913856	0.0988434	0.0921804	0.110599
a6	0.00501067	0.00544441	0.00907662	0.017233	0.0636526	0.0906965	0.0913755	0.0975342	0.103199	0.0901106	0.129817	0.124242	0.172607
a36	0.00671551	0.00665998	0.0093083	0.0163202	0.0471629	0.0802663	0.089327	0.106399	0.118085	0.0963362	0.124492	0.115862	0.183066
a11	0.00999916	0.00890071	0.0100566	0.0149437	0.0388771	0.0672938	0.0807186	0.101102	0.125012	0.103129	0.112621	0.12093	0.206416
a75	0.00323185	0.00250931	0.0029023	0.00472265	0.0143967	0.0383618	0.0601408	0.0828262	0.106429	0.108923	0.134537	0.151744	0.289275
a5	0.000749924	0.00076361	0.00123737	0.00247727	0.0124453	0.042467	0.058626	0.0714596	0.10344	0.116474	0.167962	0.149441	0.272457
a18	0.00100149	0.00090702	0.00135696	0.00245775	0.0121658	0.0404546	0.0596155	0.0718417	0.090708	0.111427	0.177324	0.173016	0.257724
a47	0.00058492	0.000445242	0.000461177	0.000636436	0.0021278	0.00663578	0.0127701	0.0198848	0.0342567	0.0598635	0.144273	0.217063	0.500998
a31	0.00157593	0.00124558	0.00133129	0.00187559	0.00629621	0.0172259	0.0287446	0.0368064	0.0574786	0.0919803	0.155664	0.209069	0.390707
a0	0.000647169	0.00054077	0.000672199	0.000898285	0.00397539	0.0120819	0.0199587	0.0259368	0.0403033	0.0686981	0.137107	0.202478	0.486702
a61	0.000474381	0.000385606	0.000400901	0.000377123	0.000923574	0.00258919	0.0055745	0.010537	0.0237304	0.0555773	0.127096	0.23087	0.541464
a0	0.000273414	0.000240846	0.000271774	0.000265438	0.000848817	0.0028475	0.00638856	0.0112415	0.0262711	0.063035	0.13465	0.218533	0.535133
a62	0.000153095	0.000139531	0.000169742	0.000163293	0.000583614	0.00212966	0.00474435	0.00909364	0.0217413	0.0551784	0.127229	0.208494	0.57018
a90	0.000205122	0.000182285	0.000219176	0.000215585	0.000788775	0.00258496	0.00508537	0.00835921	0.0167488	0.0448049	0.1015	0.2075	0.611806
a69	7.33692e-05	7.83065e-05	0.000107579	0.000142923	0.000734857	0.00296478	0.00643923	0.00985014	0.020959	0.0523684	0.127614	0.203705	0.574963
a4	0.000104123	0.00011898	0.000174176	0.000244765	0.00144319	0.00473699	0.00872431	0.0117732	0.02134	0.0494371	0.117308	0.197612	0.586983
a11	0.000249808	0.000229046	0.000287529	0.000289959	0.000639158	0.00245551	0.00697782	0.0137484	0.0278045	0.0674729	0.148233	0.229852	0.50176
a18	0.000848447	0.000625196	0.000579568	0.000424663	0.000479643	0.00210952	0.00572936	0.0124053	0.0314359	0.0838669	0.151882	0.258087	0.451527
a71	0.00210045	0.00142762	0.00147017	0.00104399	0.00105702	0.00419823	0.00771614	0.0120832	0.0214973	0.0558013	0.122847	0.270387	0.49837
a3	0.0114288	0.0069206	0.00669534	0.00445818	0.00429152	0.0140102	0.0195118	0.0263277	0.0349446	0.0659521	0.123713	0.244284	0.437462
a97	0.129192	0.0534806	0.0391866	0.0235151	0.0174852	0.0366346	0.0436931	0.0516497	0.0522581	0.0707019	0.0948599	0.144767	0.242576
a87	0.162343	0.0687222	0.0393634	0.0216469	0.0176565	0.0265418	0.0403155	0.0496003	0.0504126	0.0709788	0.0767789	0.108287	0.267354
a97	0.0609937	0.0361325	0.02417	0.0146478	0.0184127	0.0294663	0.0519441	0.0692601	0.0643302	0.0827956	0.0934369	0.137645	0.316765
a87	0.0403078	0.0286017	0.0211113	0.0148778	0.0402881	0.0567931	0.0751668	0.0862697	0.0674222	0.0746546	0.0845193	0.141416	0.268572
a97	0.0223144	0.0181189	0.0164402	0.0154391	0.0407329	0.0522932	0.0637584	0.0669137	0.0540345	0.0653327	0.0908569	0.177959	0.315806
a99	0.0183535	0.0160887	0.0154868	0.014782	0.0328224	0.042777	0.0592811	0.0658205	0.054033	0.0667212	0.0880108	0.177541	0.348282
a97	0.01449	0.0127394	0.0124536	0.0109606	0.0192541	0.0301677	0.0483029	0.0688791	0.0670896	0.079937	0.106829	0.154164	0.374732
</S>	0.0171033	0.0152354	0.0133484	0.0119845	0.0209572	0.0278815	0.0466957	0.0652463	0.0609291	0.0755829	0.0980836	0.156086	0.390866
