 	tu	parles	trop	bas	je	n'	entends	pas	</S>
a23	0.455401	0.125772	0.0844522	0.107328	0.0944349	0.0525573	0.0320798	0.0240607	0.0239135
a93	0.561191	0.163213	0.0956003	0.0589573	0.0427511	0.0192093	0.0133776	0.0192928	0.0264077
a90	0.506716	0.269476	0.0753275	0.0442325	0.0266824	0.0166578	0.015726	0.0182023	0.02698
a44	0.433071	0.408453	0.0804494	0.0296996	0.013528	0.00777655	0.00767215	0.00803786	0.0113132
a94	0.307919	0.450122	0.118357	0.0498109	0.0265901	0.0131585	0.0107548	0.010386	0.0129021
a11	0.22655	0.411362	0.151028	0.0798846	0.0497671	0.0255866	0.0182467	0.0167778	0.020797
a93	0.159063	0.299793	0.203426	0.123678	0.0820024	0.0423783	0.0299501	0.0269992	0.0327101
a90	0.109446	0.230288	0.244481	0.15117	0.0920991	0.0491266	0.0385272	0.0390616	0.0457992
a38	0.109143	0.163131	0.201551	0.155104	0.115181	0.0830208	0.0591005	0.0545125	0.0592559
a93	0.0779253	0.0872563	0.186141	0.173212	0.136941	0.106319	0.081002	0.0741962	0.0770071
a44	0.0527478	0.0634671	0.162621	0.169074	0.138829	0.126946	0.107699	0.0912996	0.0873172
a11	0.0310973	0.0296138	0.0887582	0.156352	0.162217	0.159035	0.136451	0.120144	0.116331
a24	0.0232199	0.0172603	0.0485629	0.133125	0.19401	0.175384	0.127599	0.128284	0.152554
a88	0.0115237	0.0100213	0.0268802	0.0894591	0.174089	0.238775	0.168246	0.132726	0.148278
a31	0.00734764	0.00569531	0.0165869	0.0723377	0.161755	0.267628	0.211496	0.134775	0.122378
a88	0.00682455	0.00570931	0.0163721	0.0589478	0.130943	0.248198	0.220274	0.166017	0.146714
a62	0.00629109	0.00393372	0.0113779	0.0389209	0.0895524	0.191734	0.227854	0.214518	0.215818
a70	0.00298345	0.00229617	0.0055148	0.0170368	0.0450152	0.127092	0.221011	0.289758	0.289293
a93	0.0028345	0.00181632	0.00527048	0.0146318	0.0342477	0.0951989	0.19322	0.311927	0.340853
a70	0.001036	0.00104938	0.00415979	0.0128465	0.0276366	0.089927	0.175692	0.322285	0.365368
a93	0.000506891	0.0004042	0.00166212	0.0055717	0.0144055	0.0489202	0.117209	0.33322	0.4781
a70	0.00037143	0.000268316	0.00119523	0.00472658	0.0142092	0.0482417	0.112885	0.326282	0.49182
a98	0.00039478	0.000313654	0.00149453	0.00536963	0.0144542	0.0476054	0.11255	0.322866	0.494951
a79	0.000242548	0.000194297	0.00102522	0.00332955	0.00884677	0.0312813	0.0993751	0.343901	0.511804
a36	0.00023993	0.000183479	0.00103484	0.00400062	0.0103942	0.0315673	0.0932135	0.328977	0.530389
a27	0.00033903	0.000235962	0.00119229	0.00501886	0.0119248	0.0363819	0.0990547	0.33191	0.513942
a54	0.00600436	0.00387603	0.00694643	0.0136625	0.0225929	0.0698438	0.159525	0.29724	0.420309
a36	0.00207371	0.00113079	0.00247729	0.00799029	0.019214	0.0524052	0.112342	0.298071	0.504295
a2	0.000785674	0.000666085	0.00197353	0.00547695	0.0124472	0.0435333	0.106496	0.337307	0.491314
a30	0.0133733	0.00755035	0.0105529	0.0166502	0.0235779	0.0607481	0.136673	0.286855	0.444019
a10	0.0957	0.0388862	0.0287894	0.0337036	0.0464629	0.0891351	0.162294	0.237486	0.267542
</S>	0.0829728	0.0384778	0.0284178	0.0387896	0.0586344	0.117985	0.200334	0.233775	0.200614
