 	ses	favoris	lui	donnent	l'	aspect	d'	une	personne	âgée	</S>
a66	0.0559534	0.0395102	0.0456831	0.117922	0.222341	0.298067	0.134013	0.056434	0.0163756	0.00817551	0.00552662
a87	0.279671	0.110018	0.0677834	0.141203	0.171418	0.109527	0.0450993	0.0384401	0.016247	0.0132866	0.00730735
a23	0.247653	0.253191	0.0688699	0.0884154	0.0977006	0.0668278	0.0525641	0.0693818	0.0302351	0.0167828	0.00837882
a83	0.305207	0.361804	0.0832929	0.0684416	0.0417905	0.0235017	0.0204523	0.0266873	0.0230099	0.0237431	0.0220706
a9	0.253689	0.302734	0.0822275	0.0779546	0.0546486	0.0326395	0.0443219	0.0555083	0.0394049	0.0321145	0.024758
a54	0.230829	0.205856	0.0928879	0.06251	0.0633388	0.0528026	0.0851597	0.0964014	0.0581428	0.0329128	0.0191587
a79	0.20538	0.103375	0.0883176	0.0780499	0.0921462	0.0703967	0.0725828	0.0912963	0.0983962	0.0662148	0.0338451
a7	0.149537	0.0809627	0.10909	0.103108	0.133985	0.114834	0.0961071	0.0786145	0.0681161	0.0458131	0.0198323
a54	0.0978368	0.0967966	0.152418	0.114509	0.0845759	0.0657938	0.083825	0.0706383	0.0730521	0.0948092	0.0657454
a79	0.067434	0.0624617	0.113204	0.101629	0.0805467	0.072369	0.121608	0.0946091	0.102196	0.110289	0.0736533
a37	0.0795315	0.0548903	0.146787	0.134741	0.10427	0.111679	0.129193	0.0666604	0.0457753	0.0631272	0.0633452
a92	0.0877247	0.0621401	0.121696	0.125134	0.107125	0.121031	0.110897	0.048921	0.036977	0.079632	0.0987225
a12	0.0398946	0.0203021	0.058749	0.0833919	0.084029	0.106792	0.0977154	0.0696341	0.0792515	0.169926	0.190314
a96	0.030258	0.016846	0.0450471	0.0895993	0.087316	0.140512	0.120919	0.0769929	0.0633367	0.127542	0.201631
a18	0.0279113	0.0113123	0.0289035	0.0536134	0.0507812	0.0848883	0.12696	0.094356	0.0806956	0.166422	0.274157
a75	0.00935296	0.00499935	0.00843518	0.00907403	0.0139355	0.0210245	0.0488061	0.0707217	0.13487	0.325792	0.352989
a92	0.00570678	0.00171571	0.00298434	0.0043216	0.00520214	0.0139304	0.0440006	0.0639188	0.104738	0.259129	0.494352
a56	0.0020997	0.000643818	0.00129214	0.0025159	0.00269578	0.0071554	0.0223707	0.0455213	0.0959104	0.252597	0.567198
a90	0.00118505	0.000342236	0.000689068	0.000897765	0.000879087	0.00214621	0.00864017	0.0224973	0.0692255	0.275705	0.617792
a92	0.000783298	0.000226157	0.000487256	0.000629203	0.000668598	0.00161888	0.00722831	0.0207561	0.0647165	0.267498	0.635388
a47	0.000215681	5.40837e-05	0.000112503	0.000152244	0.00015607	0.000360993	0.00180384	0.00613915	0.0325848	0.229506	0.728914
a79	0.000117462	3.38848e-05	6.76749e-05	7.2041e-05	7.43154e-05	0.000178446	0.00130021	0.00471542	0.0303899	0.230053	0.732997
a37	0.000154111	3.44181e-05	6.1599e-05	5.87098e-05	5.86303e-05	0.000113168	0.000821311	0.00420612	0.029415	0.216811	0.748266
a26	0.00043037	9.30732e-05	0.000168412	0.000123853	0.000159425	0.000201654	0.00167185	0.00918835	0.0585753	0.255599	0.673788
a57	0.0028595	0.000797162	0.00103111	0.000736457	0.000899603	0.00131785	0.0090059	0.0193434	0.0458521	0.165959	0.752198
a97	0.0706817	0.0192805	0.0115597	0.0129132	0.0149032	0.0194564	0.0263541	0.0340804	0.0646966	0.18051	0.545564
a87	0.200128	0.103965	0.0510289	0.064438	0.0627274	0.062115	0.066424	0.0717116	0.0750604	0.098438	0.143963
a23	0.145394	0.0990747	0.0569482	0.0624666	0.0489354	0.0420631	0.0486354	0.0650909	0.0784302	0.141272	0.211689
a99	0.0355777	0.0195905	0.0152094	0.0104743	0.00539865	0.00409602	0.00470275	0.0144846	0.0482925	0.249556	0.592618
a97	0.0224244	0.0128486	0.0130481	0.0114921	0.0049927	0.0044322	0.00685566	0.021671	0.0612529	0.251483	0.589499
</S>	0.0261303	0.016544	0.0190469	0.0246055	0.0126317	0.0094362	0.0104266	0.0234583	0.0551064	0.208286	0.594329
