 	quelle	est	celui	qui	boude	contre	moi	parmi	vous	</S>
a84	0.293936	0.179804	0.165805	0.113668	0.0742863	0.0614347	0.0583496	0.030747	0.0126153	0.00935334
a57	0.291737	0.15874	0.112313	0.100354	0.0845479	0.112894	0.0812605	0.0366656	0.0139502	0.00753673
a10	0.278512	0.193345	0.173598	0.149545	0.115533	0.0576295	0.0140584	0.0067657	0.00617111	0.00484199
a87	0.237996	0.17941	0.176409	0.178385	0.15234	0.0547374	0.0111585	0.00379469	0.00299085	0.00277758
a23	0.231445	0.169912	0.170271	0.186879	0.157885	0.0550231	0.0146647	0.00564743	0.00424043	0.00403376
a93	0.161246	0.129343	0.149469	0.189154	0.225063	0.0864306	0.0262421	0.0132637	0.00982046	0.00996815
a56	0.244262	0.190539	0.202397	0.184182	0.116825	0.0417651	0.0107735	0.00465812	0.00253454	0.00206428
a75	0.185541	0.166493	0.189514	0.215932	0.151194	0.062112	0.0170578	0.00624064	0.00335126	0.0025636
a98	0.101949	0.115842	0.169314	0.256655	0.209159	0.0987093	0.028005	0.0105903	0.00554221	0.00423493
a92	0.0897645	0.100644	0.128226	0.209847	0.189738	0.125553	0.0744404	0.0425697	0.0234774	0.0157409
a85	0.0671135	0.0776686	0.107736	0.202439	0.216756	0.153354	0.0834859	0.0477427	0.0280403	0.0156639
a75	0.0412565	0.048135	0.0675645	0.131912	0.156608	0.133402	0.119641	0.127697	0.11223	0.0615543
a5	0.0507726	0.0576722	0.0825587	0.130499	0.146831	0.130341	0.118831	0.135833	0.0981964	0.0484651
a12	0.0381909	0.0465984	0.0643965	0.0973933	0.123928	0.136398	0.149837	0.150554	0.125114	0.0675896
a96	0.0266443	0.0385776	0.0549227	0.084909	0.123437	0.137918	0.158958	0.151242	0.133031	0.0903606
a75	0.0112824	0.0148704	0.0173828	0.0242024	0.0443101	0.0707929	0.150181	0.226501	0.242544	0.197934
a5	0.0037312	0.00521591	0.0060945	0.00883436	0.0190792	0.0392838	0.114213	0.211209	0.299054	0.293285
a36	0.00381793	0.00467988	0.00490209	0.00593323	0.00990457	0.0203624	0.0830633	0.17463	0.291646	0.401061
a27	0.00639572	0.00606497	0.00557024	0.00303093	0.00308908	0.0072956	0.030637	0.117552	0.284804	0.53556
a82	0.0567411	0.045054	0.0385741	0.0247486	0.0198489	0.0312355	0.0516216	0.108541	0.238664	0.384971
a87	0.158888	0.0978467	0.110859	0.109831	0.107119	0.084416	0.056387	0.0631897	0.0958784	0.115585
a23	0.212384	0.14537	0.119322	0.116048	0.115536	0.123213	0.0703988	0.0441391	0.0309427	0.022646
a87	0.095569	0.0687414	0.0667708	0.0613065	0.0665091	0.0776873	0.0849788	0.115225	0.169927	0.193285
a23	0.038385	0.0239498	0.0209169	0.0214888	0.0264001	0.0320824	0.0490466	0.103419	0.274706	0.409605
a99	0.0223337	0.0173377	0.0187934	0.0216283	0.0351006	0.0623754	0.0893299	0.155925	0.277949	0.299227
a38	0.0325	0.0284427	0.0317551	0.0461969	0.0725537	0.0949661	0.103264	0.151801	0.22773	0.210791
</S>	0.0276929	0.0237912	0.0251263	0.0424044	0.0671474	0.087713	0.102081	0.159229	0.24319	0.221625
