 	les	gorilles	sont	en	train	de	lécher	le	miel	</S>
a66	0.194327	0.117359	0.130458	0.164281	0.176438	0.147191	0.0498746	0.00815718	0.00524598	0.00666752
a87	0.486368	0.13213	0.127308	0.0855272	0.0744651	0.0501929	0.0200393	0.00715578	0.00638704	0.010427
a23	0.382521	0.284174	0.158478	0.0860463	0.0411431	0.0198518	0.00843889	0.00388472	0.00509506	0.010367
a87	0.293225	0.37082	0.192188	0.0786937	0.0260012	0.00928005	0.0020785	0.00260682	0.00602192	0.0190841
a10	0.291809	0.38833	0.178108	0.0758842	0.0316228	0.0157012	0.00355172	0.00262782	0.00397708	0.00838854
a87	0.355458	0.352195	0.149882	0.0658479	0.0302814	0.0168497	0.00517155	0.00421055	0.00654307	0.0135614
a23	0.404201	0.303946	0.127539	0.0653889	0.0401002	0.0271044	0.00841773	0.00481804	0.00637548	0.0121087
a18	0.334391	0.294339	0.145199	0.0768338	0.0412105	0.0278342	0.0143141	0.0121786	0.0181607	0.0355384
a83	0.271083	0.263199	0.151247	0.0965702	0.0574046	0.0417678	0.0258464	0.0200554	0.0262558	0.0465705
a93	0.21844	0.274351	0.185802	0.125849	0.0700853	0.0538933	0.0246966	0.0134166	0.0131541	0.020312
a90	0.153255	0.234246	0.208005	0.154106	0.105947	0.0838052	0.0264172	0.0108749	0.00993793	0.0134054
a44	0.130771	0.175631	0.159105	0.144709	0.125091	0.122711	0.0505861	0.0255894	0.0252	0.0406064
a62	0.0869405	0.142362	0.150326	0.150383	0.127209	0.134597	0.0734214	0.0384195	0.0380884	0.0582537
a47	0.106934	0.138214	0.15523	0.15381	0.135214	0.136752	0.0624927	0.0338706	0.0324795	0.0450019
a62	0.0881523	0.0987234	0.128164	0.1466	0.152818	0.175121	0.0920444	0.0426921	0.0336836	0.0420026
a21	0.0565522	0.0601406	0.092218	0.12751	0.177018	0.225618	0.130394	0.0415705	0.0344226	0.0545561
a85	0.0342574	0.0359847	0.0569757	0.0914903	0.163614	0.256088	0.183088	0.0648576	0.0481435	0.0655006
a79	0.0156435	0.0181381	0.0306942	0.0535484	0.0968102	0.174724	0.191812	0.154206	0.12709	0.137333
a56	0.0159569	0.0177209	0.0311472	0.0544767	0.102168	0.147322	0.147451	0.158804	0.151065	0.173888
a75	0.020443	0.0181565	0.0265433	0.0431422	0.0989362	0.174295	0.170053	0.164743	0.132884	0.150803
a85	0.00364133	0.00308148	0.00523297	0.00785534	0.0180111	0.0364949	0.0708867	0.209857	0.287386	0.357554
a92	0.00168405	0.00164824	0.00291086	0.00401787	0.00844932	0.0191753	0.0539506	0.20981	0.325504	0.372849
a37	0.0018275	0.00190195	0.00307906	0.00394674	0.00700213	0.0127714	0.0348638	0.148863	0.328144	0.4576
a43	0.00199602	0.00141429	0.00179363	0.00181209	0.00270747	0.0041371	0.0178622	0.088851	0.274072	0.605354
a31	0.00127698	0.000805058	0.000977547	0.000936405	0.00130282	0.00180519	0.0115903	0.0701844	0.26585	0.645271
a62	0.001166	0.000722249	0.000971053	0.00110577	0.00166444	0.00276921	0.0233456	0.0968413	0.306241	0.565173
a88	0.00145449	0.000966637	0.00182049	0.00217912	0.00274992	0.0037833	0.0309056	0.120052	0.317949	0.518139
a9	0.00086201	0.000618909	0.00129567	0.00147392	0.00189328	0.00275008	0.0264207	0.120982	0.32862	0.515083
a87	0.0178034	0.011155	0.0192823	0.0203289	0.0196663	0.021055	0.0783528	0.1484	0.271794	0.392162
a23	0.118913	0.054123	0.0440645	0.0415015	0.0491703	0.0707403	0.174911	0.151687	0.146086	0.148804
a87	0.035629	0.0117694	0.00974504	0.00751378	0.0112928	0.0236758	0.0901989	0.199676	0.274047	0.336453
</S>	0.00867986	0.00335063	0.00295871	0.00284826	0.0064526	0.0154654	0.0573764	0.157472	0.267607	0.477789
