 	okoumou	est	en	train	de	clôturer	sa	parcelle	</S>
a66	0.36784	0.0983711	0.0612553	0.0846787	0.0970838	0.0934263	0.0864323	0.0623785	0.048534
a87	0.390637	0.127794	0.078887	0.0654079	0.0807696	0.0700733	0.0672148	0.061996	0.0572204
a30	0.480449	0.178399	0.0822977	0.0444019	0.0417971	0.0424871	0.0378631	0.0444374	0.0478679
a93	0.521061	0.17227	0.0797791	0.0448748	0.0417491	0.038192	0.031566	0.0353519	0.0351557
a13	0.626368	0.213614	0.0796794	0.0248666	0.0129792	0.00882836	0.00822064	0.0114863	0.0139569
a9	0.468057	0.289254	0.128107	0.0535257	0.0247642	0.0118812	0.00787536	0.00798418	0.00855125
a53	0.281796	0.254511	0.172168	0.100069	0.0596627	0.0396958	0.0303286	0.0291571	0.0326116
a93	0.208117	0.269514	0.240781	0.123002	0.0573211	0.0333855	0.0226614	0.0214237	0.0237954
a90	0.146557	0.249093	0.262784	0.146376	0.0753789	0.0442452	0.0276881	0.023403	0.0244735
a44	0.10591	0.176088	0.20874	0.171939	0.122886	0.0821333	0.0510015	0.0400721	0.0412289
a53	0.0543493	0.0976574	0.149383	0.176735	0.161979	0.125343	0.0854839	0.0713384	0.0777305
a90	0.0365411	0.0633707	0.114596	0.183792	0.194795	0.157981	0.104182	0.0732616	0.07148
a25	0.0256206	0.0416372	0.0801773	0.170556	0.204808	0.184142	0.127825	0.0850317	0.0802026
a98	0.0172541	0.0296259	0.056977	0.132783	0.184857	0.193663	0.161279	0.111863	0.111699
a79	0.0135568	0.0254821	0.0501883	0.109257	0.154944	0.178367	0.174843	0.140054	0.153307
a44	0.00991779	0.0166618	0.031754	0.0797707	0.127807	0.17669	0.202237	0.17217	0.182992
a98	0.00453057	0.00590579	0.0105054	0.0343435	0.072182	0.139071	0.209521	0.230083	0.293858
a79	0.00364408	0.0062144	0.0114317	0.027178	0.0532086	0.107012	0.201372	0.249751	0.340188
a56	0.00352926	0.00524781	0.00884256	0.0231625	0.0458112	0.0938569	0.18258	0.260347	0.376623
a70	0.00198796	0.00244788	0.00401075	0.0107561	0.0247507	0.0593998	0.150498	0.275158	0.470991
a75	0.00105065	0.000990166	0.00145014	0.00421871	0.0125966	0.0389038	0.10502	0.266526	0.569244
a96	0.00051892	0.000579268	0.00088574	0.00265515	0.00822209	0.0300651	0.0885977	0.245862	0.622614
a43	0.00120058	0.00113007	0.00155112	0.00439504	0.0134152	0.0446255	0.109432	0.259717	0.564533
a11	0.00209849	0.00188868	0.00238346	0.00571185	0.0146192	0.0407394	0.102988	0.233155	0.596417
a70	0.01807	0.0120853	0.0115297	0.0159999	0.026811	0.0610268	0.116923	0.218493	0.519061
a99	0.00653636	0.00540333	0.00612962	0.00992545	0.0193431	0.0499716	0.110252	0.237581	0.554857
a9	0.0225945	0.0135767	0.0127892	0.0166839	0.0256302	0.055073	0.120821	0.2435	0.489332
a10	0.0956702	0.0355278	0.0285966	0.0312603	0.0448579	0.0664908	0.112442	0.200735	0.384419
a87	0.131783	0.0485886	0.0304089	0.0289748	0.0432018	0.0602257	0.0944493	0.198034	0.364334
</S>	0.0673792	0.0303792	0.0236132	0.0237275	0.0351801	0.0556276	0.117484	0.261671	0.384939
