 	c'	est	ma	fils	aîné	</S>
a23	0.338562	0.206894	0.154042	0.086304	0.0951594	0.119039
a41	0.229386	0.159142	0.12736	0.124308	0.167202	0.192602
a32	0.361162	0.269916	0.160995	0.0751199	0.0639036	0.0689025
a26	0.533232	0.301521	0.11602	0.0342772	0.00913542	0.00581438
a35	0.448361	0.296818	0.165518	0.0530734	0.0200793	0.0161494
a30	0.439171	0.29646	0.174049	0.0602324	0.0184325	0.0116551
a35	0.29808	0.288822	0.252755	0.103813	0.0332057	0.0233256
a14	0.256202	0.273019	0.269391	0.133837	0.0424532	0.0250979
a35	0.280793	0.268015	0.23778	0.128462	0.0523011	0.03265
a14	0.199273	0.226948	0.271199	0.178316	0.07744	0.0468224
a41	0.119232	0.168863	0.27693	0.213706	0.130355	0.0909133
a24	0.0846083	0.118594	0.237484	0.232047	0.188509	0.138758
a71	0.0809119	0.0935998	0.157614	0.201043	0.238307	0.228525
a38	0.0412553	0.0487468	0.0907834	0.1614	0.317459	0.340356
a98	0.0308367	0.0374526	0.0746587	0.144754	0.334264	0.378034
a14	0.0168425	0.0220384	0.0488446	0.10642	0.329906	0.475948
a73	0.0166588	0.0236323	0.0481916	0.0928303	0.318649	0.500038
a57	0.00852713	0.0123087	0.0264999	0.0644109	0.325104	0.563149
a10	0.00423464	0.0062251	0.0145153	0.0445449	0.330627	0.599853
a38	0.00351925	0.00483772	0.0114971	0.0484381	0.320626	0.611082
a41	0.00223722	0.00292262	0.00747585	0.0329182	0.320909	0.633537
a44	0.00519047	0.00737109	0.0155711	0.0531617	0.2888	0.629906
a57	0.00259787	0.00420705	0.00948863	0.0339817	0.240671	0.709053
a90	0.00202259	0.00341204	0.0102589	0.0496382	0.293907	0.640761
a35	0.00202074	0.00287139	0.00593196	0.0242625	0.236886	0.728027
a32	0.00483849	0.00583357	0.00953288	0.0315005	0.224313	0.723981
a90	0.00736166	0.00854507	0.0138982	0.0451975	0.245617	0.67938
a9	0.00322292	0.0040496	0.00715651	0.0277566	0.23059	0.727224
a87	0.0185788	0.0216999	0.0361166	0.0980854	0.30053	0.524989
</S>	0.0821569	0.0753321	0.0868649	0.112554	0.241951	0.40114
