 	les	mauvaises	herbes	ont	envahi	toute	la	cour	</S>
a66	0.317364	0.185237	0.126255	0.10005	0.0780217	0.0696091	0.0548677	0.0383086	0.0302867
a87	0.377421	0.181697	0.124553	0.083439	0.0626437	0.0657796	0.0471728	0.029188	0.0281065
a97	0.21864	0.16038	0.161547	0.138626	0.0918557	0.0754167	0.0592317	0.0444008	0.0499026
a3	0.208195	0.175954	0.202384	0.168567	0.0996587	0.0576094	0.0350936	0.0243037	0.0282349
a99	0.224219	0.16974	0.171462	0.157071	0.111171	0.0722928	0.0413755	0.0253729	0.0272966
a83	0.260351	0.226928	0.217539	0.130749	0.0623666	0.0389958	0.024446	0.0194857	0.0191394
a11	0.26327	0.250392	0.202688	0.128015	0.0540996	0.0311648	0.0207042	0.0240406	0.0256262
a96	0.200615	0.240984	0.211148	0.172137	0.0810681	0.0351385	0.0214043	0.0191767	0.018329
a56	0.159965	0.232171	0.22449	0.192227	0.0988233	0.0376169	0.0215253	0.0172407	0.0159406
a62	0.147036	0.214947	0.224914	0.199241	0.103747	0.0417175	0.0252495	0.0219393	0.0212082
a83	0.112599	0.178565	0.223182	0.243699	0.135922	0.0445844	0.0243385	0.0194949	0.0176146
a75	0.0826247	0.120752	0.175353	0.252156	0.186624	0.0767027	0.0439836	0.0327947	0.0290089
a25	0.0594881	0.0797653	0.118075	0.156456	0.191053	0.142738	0.108924	0.0749593	0.0685417
a92	0.0647028	0.0727136	0.0936363	0.122412	0.188651	0.16973	0.131722	0.0836568	0.0727752
a21	0.0539619	0.0357692	0.0537914	0.0761444	0.143973	0.198714	0.186742	0.134651	0.116252
a92	0.0325519	0.0213968	0.0348993	0.0616975	0.119362	0.180131	0.221375	0.17692	0.151667
a12	0.0111922	0.00775991	0.0143559	0.0311457	0.0794794	0.160576	0.253033	0.237465	0.204993
a21	0.00736916	0.00508467	0.00755094	0.0155475	0.046891	0.113951	0.222242	0.293694	0.28767
a47	0.00371721	0.00270569	0.0045452	0.0109829	0.039795	0.0998313	0.221672	0.305206	0.311545
a31	0.00483133	0.00332375	0.00505797	0.00862238	0.0228849	0.0688975	0.17848	0.322401	0.385501
a0	0.00172942	0.00144403	0.00218778	0.0042917	0.0131045	0.0482076	0.147911	0.305225	0.475899
a94	0.00163909	0.00142924	0.00162844	0.00347408	0.00909122	0.0397688	0.12687	0.273205	0.542894
a38	0.00143838	0.00111499	0.00129537	0.002219	0.0053731	0.0276585	0.103545	0.26936	0.587995
a82	0.00231765	0.00196833	0.0023646	0.00352805	0.00798838	0.0388961	0.126719	0.280289	0.535929
a9	0.0671788	0.0301628	0.0252632	0.0314385	0.0477763	0.0952628	0.147183	0.214546	0.341189
a3	0.193122	0.0846814	0.0611278	0.0550028	0.0706982	0.132154	0.149719	0.122921	0.130573
a97	0.113741	0.0614259	0.0447612	0.0364847	0.047317	0.108049	0.171472	0.194054	0.222695
</S>	0.0582551	0.0356382	0.0290169	0.023386	0.0333345	0.103212	0.19966	0.245279	0.272218
