 	il	a	cassé	son	assiette	</S>
a23	0.323986	0.251943	0.121128	0.0748919	0.0849245	0.143127
a85	0.455601	0.265866	0.119323	0.0707769	0.0448535	0.0435801
a87	0.364373	0.268669	0.135478	0.0856587	0.0616639	0.0841577
a23	0.311549	0.272117	0.18022	0.104241	0.0646467	0.067226
a20	0.196816	0.206491	0.18951	0.143183	0.120161	0.143838
a7	0.313048	0.298859	0.213232	0.0986579	0.0421399	0.0340627
a94	0.32792	0.313968	0.215231	0.0869814	0.0326132	0.0232864
a24	0.303752	0.298863	0.22022	0.100454	0.0438374	0.0328733
a32	0.273344	0.262518	0.216165	0.130951	0.066983	0.0500392
a71	0.225777	0.267102	0.253428	0.149482	0.0628359	0.0413747
a53	0.151853	0.196941	0.250914	0.213534	0.111534	0.0752236
a90	0.183475	0.231458	0.254528	0.17696	0.0887216	0.0648576
a94	0.117296	0.143838	0.196395	0.225867	0.179238	0.137365
a73	0.072252	0.0852116	0.13255	0.22222	0.239559	0.248208
a32	0.0836861	0.0895123	0.121317	0.202746	0.231838	0.2709
a75	0.0464354	0.0493572	0.0766972	0.15583	0.270629	0.401051
a73	0.0246429	0.0283704	0.0547855	0.127394	0.268633	0.496174
a94	0.0145755	0.0177581	0.0385917	0.102121	0.261449	0.565505
a24	0.0212532	0.0244506	0.0451432	0.0912531	0.217455	0.600444
a98	0.0142037	0.0169847	0.0372905	0.0814639	0.205327	0.64473
a73	0.0176064	0.0218544	0.0474642	0.0986855	0.229956	0.584433
a94	0.0209876	0.0227151	0.0411746	0.0852857	0.207306	0.622531
a98	0.0128122	0.0132064	0.0279374	0.0720562	0.18522	0.688768
a73	0.0151403	0.0197707	0.0391392	0.0940868	0.224932	0.606931
a84	0.00901632	0.0114908	0.0225476	0.0595229	0.201386	0.696036
a57	0.0102179	0.0105146	0.0153153	0.0433111	0.172702	0.747939
a87	0.0218841	0.0259452	0.0339685	0.0713941	0.198081	0.648727
</S>	0.0177514	0.0210765	0.0303478	0.0693283	0.220631	0.640865
