 	il	peut	rester	il	ne	me	dérange	aucunement	</S>
a23	0.281353	0.212855	0.169252	0.0902853	0.0644548	0.0516605	0.0437002	0.0261611	0.0602773
a85	0.185121	0.234137	0.274453	0.12871	0.0576631	0.0364308	0.023067	0.0257516	0.0346653
a87	0.168677	0.225379	0.305495	0.116111	0.0478069	0.0333735	0.0274063	0.0351832	0.0405685
a23	0.130144	0.190285	0.278048	0.164296	0.0818046	0.0505595	0.0405256	0.034987	0.0293501
a38	0.14745	0.189125	0.268187	0.102054	0.0506702	0.035084	0.0374603	0.0667237	0.103246
a30	0.348818	0.288153	0.245873	0.0510957	0.0170447	0.0101977	0.00950779	0.0101742	0.0191358
a41	0.382695	0.297314	0.21949	0.0520467	0.0194065	0.0119066	0.00768738	0.00432816	0.00512479
a37	0.281149	0.254199	0.240756	0.0973539	0.0512313	0.0336291	0.0209623	0.0101634	0.0105569
a21	0.225075	0.224643	0.231016	0.117649	0.0760218	0.0591049	0.0392769	0.015958	0.0112559
a94	0.171337	0.18358	0.213189	0.153705	0.11692	0.08877	0.0539629	0.0125685	0.00596932
a90	0.132778	0.171909	0.21243	0.165687	0.135513	0.0976548	0.0602788	0.0160587	0.00769007
a38	0.114676	0.154359	0.200731	0.161384	0.136919	0.106309	0.0752179	0.0330319	0.0173734
a10	0.123405	0.154153	0.206833	0.156575	0.135814	0.0992117	0.0714489	0.0332047	0.0193546
a94	0.0771942	0.122654	0.198204	0.175937	0.169315	0.12466	0.0772604	0.0351342	0.0196407
a84	0.0646527	0.106711	0.187618	0.184359	0.180999	0.130916	0.0810648	0.0400907	0.0235895
a57	0.0319131	0.0572851	0.131304	0.169198	0.205757	0.161033	0.0964119	0.0813235	0.0657739
a87	0.0534064	0.0767098	0.110303	0.132471	0.159831	0.151147	0.132276	0.104861	0.0789949
a23	0.0930134	0.135524	0.152134	0.139434	0.125692	0.102174	0.0856361	0.0804529	0.0859395
a20	0.055213	0.0855202	0.104031	0.11254	0.123231	0.103512	0.0905543	0.137084	0.188315
a73	0.13177	0.147425	0.187909	0.117567	0.0954197	0.075937	0.0614768	0.0715652	0.11093
a44	0.0947033	0.117263	0.151824	0.141854	0.144347	0.125393	0.110067	0.0613468	0.0532009
a26	0.0527438	0.0774139	0.148736	0.155119	0.16549	0.141307	0.113333	0.0795743	0.066284
a62	0.0403151	0.0654164	0.139709	0.140629	0.148507	0.125408	0.116184	0.114714	0.109119
a0	0.0572906	0.0697631	0.116107	0.128161	0.141985	0.122721	0.11942	0.123642	0.12091
a11	0.0592241	0.0614	0.0832154	0.093977	0.124749	0.122713	0.121262	0.143139	0.19032
a75	0.0657264	0.0685493	0.088429	0.0973854	0.126246	0.122086	0.118834	0.135778	0.176966
a41	0.072988	0.0652017	0.0742095	0.0681648	0.0969723	0.117656	0.109331	0.144733	0.250743
a94	0.0545852	0.0507871	0.059064	0.050321	0.0697511	0.0845332	0.0862719	0.168205	0.376481
a96	0.0601148	0.0562121	0.0709805	0.0644258	0.0802761	0.0957295	0.0926812	0.161614	0.317966
a24	0.0885384	0.0744315	0.0918677	0.0763106	0.0866874	0.0997127	0.0987063	0.149544	0.234202
a41	0.0588843	0.0457294	0.051133	0.049438	0.0655912	0.0792022	0.0934164	0.183267	0.373338
a94	0.0451038	0.040456	0.0476049	0.0465629	0.0607775	0.0672033	0.0789161	0.184081	0.429295
a76	0.0431352	0.0386293	0.0477803	0.0485357	0.0621537	0.0650859	0.0761057	0.182515	0.436059
a41	0.0726848	0.0671528	0.0832523	0.0680643	0.0773182	0.0744248	0.0712057	0.148098	0.337799
a32	0.0238217	0.0234397	0.0312314	0.0362321	0.0578282	0.0693341	0.0795844	0.198417	0.480112
a75	0.0182256	0.0166984	0.0185756	0.0215673	0.034743	0.0373562	0.0516715	0.179886	0.621276
a41	0.0211641	0.0195824	0.0266898	0.0406744	0.0696188	0.0801791	0.0992299	0.215204	0.427658
a94	0.0112646	0.0108696	0.0171148	0.0337544	0.0642103	0.0824873	0.104334	0.216327	0.459637
a75	0.00957239	0.00976946	0.0146515	0.0259576	0.0484849	0.0528418	0.0684039	0.199673	0.570646
a85	0.0236586	0.0231892	0.0317183	0.0446717	0.0680751	0.0813065	0.0877831	0.187835	0.451762
a41	0.0193248	0.0176115	0.0240463	0.039005	0.0599148	0.0687534	0.0727619	0.165216	0.533366
a36	0.0144278	0.0128921	0.0157356	0.0282889	0.0495647	0.0536279	0.0704211	0.168106	0.586935
a11	0.010545	0.0106279	0.0129012	0.0252345	0.047464	0.0468665	0.0696047	0.191752	0.585004
a75	0.010566	0.0104707	0.0103971	0.0155766	0.0277331	0.0256963	0.0431492	0.166487	0.689924
a14	0.019862	0.0190247	0.0212322	0.0307941	0.0491706	0.048847	0.0605542	0.159763	0.590752
a73	0.0134174	0.0120531	0.0127221	0.0173993	0.0290198	0.0274398	0.0396475	0.144668	0.703633
a84	0.013394	0.0113263	0.010266	0.0139151	0.0230532	0.0236502	0.0368947	0.150411	0.717089
a57	0.00987383	0.00773068	0.00516372	0.00843777	0.0153539	0.015789	0.0294799	0.163374	0.744797
a87	0.00513885	0.00377652	0.00176999	0.00218095	0.00405524	0.00465829	0.010373	0.130832	0.837215
</S>	0.00831963	0.00587692	0.00263242	0.004304	0.00944536	0.0105376	0.0222213	0.179695	0.756968
