 	ils	sont	allés	à	la	chasse	</S>
a10	0.322466	0.246055	0.238517	0.0784021	0.0553336	0.0346577	0.0245686
a87	0.170409	0.151041	0.195024	0.141813	0.118798	0.111209	0.111707
a23	0.250692	0.188219	0.163741	0.12324	0.103693	0.0892294	0.0811848
a99	0.224169	0.182091	0.220084	0.129995	0.0990392	0.0768914	0.0677299
a38	0.365357	0.257919	0.220841	0.0688062	0.0369756	0.025682	0.0244181
a30	0.406973	0.25771	0.210847	0.0572573	0.030982	0.0194638	0.0167677
a57	0.321656	0.271709	0.237803	0.0906401	0.0402544	0.021675	0.0162628
a40	0.202497	0.195545	0.233636	0.142867	0.094784	0.0673159	0.0633558
a30	0.250266	0.245106	0.250776	0.123425	0.0639434	0.0369517	0.0295326
a35	0.312583	0.280764	0.220378	0.108102	0.0452357	0.0196213	0.0133155
a66	0.322224	0.27804	0.204863	0.105903	0.0469121	0.0236241	0.0184339
a98	0.244712	0.26318	0.235397	0.13161	0.0634222	0.0340275	0.0276509
a66	0.175064	0.219809	0.240861	0.159224	0.0973212	0.0583273	0.0493929
a9	0.0907026	0.120203	0.190784	0.196926	0.172193	0.123425	0.105767
a38	0.0273006	0.0406094	0.101469	0.168208	0.188834	0.220886	0.252693
a76	0.0294273	0.0548724	0.128481	0.194051	0.209594	0.190272	0.193301
a30	0.0609702	0.0830788	0.135716	0.14824	0.164077	0.186658	0.22126
a57	0.0345343	0.0519447	0.0857296	0.123183	0.180485	0.240908	0.283215
a87	0.00469027	0.0069378	0.0205748	0.0651454	0.15123	0.305555	0.445867
a23	0.00432262	0.00887424	0.0196236	0.0646249	0.170853	0.340455	0.391247
a53	0.00879277	0.0148847	0.0295462	0.0810219	0.159131	0.283598	0.423025
a4	0.0185249	0.025305	0.052373	0.0771539	0.127121	0.238004	0.461518
a9	0.0093421	0.0118244	0.0252855	0.0537552	0.131027	0.267801	0.500965
a87	0.00172033	0.00342865	0.012395	0.0506274	0.124345	0.266028	0.541456
a23	0.0124641	0.0140952	0.018144	0.0644722	0.141471	0.286999	0.462354
a11	0.0825654	0.0757762	0.0595783	0.104422	0.158383	0.235992	0.283283
a62	0.0231661	0.0275983	0.0405751	0.0830515	0.114148	0.221449	0.490012
a21	0.0157867	0.027188	0.0464435	0.10516	0.164666	0.23622	0.404537
a41	0.0179076	0.0249948	0.0431401	0.0907902	0.157756	0.242269	0.423142
a73	0.00302111	0.00521306	0.0123791	0.0453429	0.117873	0.263693	0.552478
a2	0.000762232	0.00145525	0.00582111	0.0291957	0.0830981	0.224121	0.655546
a57	0.00516631	0.00560211	0.00739717	0.0218117	0.0570003	0.213335	0.689688
a87	0.0343407	0.0296733	0.0239118	0.0527199	0.0959718	0.241406	0.521977
</S>	0.0384589	0.035413	0.0395431	0.0991048	0.147931	0.244657	0.394892
