 	le	bébé	pleure	désespérément	</S>
a66	0.385642	0.381215	0.138517	0.0559495	0.0386765
a87	0.541014	0.318402	0.0841564	0.0389167	0.0175105
a38	0.557835	0.31925	0.0755169	0.0303385	0.0170596
a3	0.526631	0.306269	0.0847362	0.0565933	0.0257707
a97	0.558644	0.278876	0.0774837	0.0593822	0.0256149
a87	0.505112	0.272372	0.0883576	0.0910698	0.0430878
a23	0.557093	0.272582	0.082656	0.0641444	0.0235244
a87	0.384532	0.223386	0.195058	0.131672	0.065353
a97	0.512789	0.22492	0.118142	0.0977903	0.0463589
a87	0.497923	0.243837	0.0902405	0.109954	0.0580453
a23	0.55203	0.251071	0.0818539	0.0768434	0.0382018
a79	0.38079	0.223318	0.183422	0.138894	0.0735755
a99	0.336095	0.327556	0.197536	0.0863658	0.052447
a70	0.269517	0.335036	0.196979	0.112933	0.0855351
a94	0.277835	0.343671	0.175103	0.0993078	0.104084
a44	0.272662	0.371944	0.161245	0.0898567	0.104292
a4	0.195348	0.290429	0.168797	0.146575	0.198851
a13	0.150466	0.225422	0.175645	0.197204	0.251262
a4	0.109323	0.178734	0.180663	0.22329	0.30799
a13	0.0756536	0.136114	0.185921	0.26884	0.333471
a99	0.0439503	0.0851709	0.163413	0.304792	0.402674
a93	0.0338229	0.0644426	0.16335	0.287752	0.450632
a70	0.0241939	0.0534084	0.155396	0.332546	0.434455
a99	0.0118494	0.0275694	0.124439	0.312237	0.523906
a50	0.00698326	0.0133668	0.0870499	0.336184	0.556416
a90	0.0064446	0.00969174	0.0605101	0.393443	0.529911
a12	0.00232905	0.00525493	0.0630146	0.333075	0.596327
a94	0.00203531	0.00353393	0.0351546	0.280479	0.678798
a98	0.00126078	0.00230155	0.0277825	0.260339	0.708316
a50	0.00152109	0.00273062	0.0273238	0.276248	0.692177
a98	0.0014793	0.00173276	0.0188749	0.284539	0.693374
a83	0.00111305	0.00202081	0.0267207	0.303891	0.666254
a94	0.000859163	0.00122561	0.0158751	0.254217	0.727823
a98	0.00130695	0.00186096	0.018063	0.27363	0.705139
a50	0.000667779	0.00116786	0.0180947	0.293702	0.686368
a88	0.00143114	0.0015641	0.0117399	0.270135	0.715129
a83	0.00110722	0.00154881	0.0151728	0.304604	0.677568
a66	0.00280382	0.00364417	0.0233677	0.306015	0.66417
a38	0.00744054	0.00789705	0.0364233	0.353829	0.59441
a26	0.00955546	0.0091068	0.0386205	0.340973	0.601744
a9	0.056097	0.0348212	0.0735631	0.325959	0.50956
a10	0.095486	0.0663016	0.106113	0.304447	0.427653
a97	0.0969373	0.0809243	0.113585	0.275291	0.433262
a87	0.145983	0.125664	0.170476	0.274455	0.283421
a23	0.13489	0.142753	0.215262	0.267894	0.239201
a97	0.0985574	0.115897	0.191178	0.26421	0.330158
a87	0.114545	0.129938	0.268732	0.240531	0.246254
a23	0.0798586	0.11386	0.223759	0.264347	0.318174
a87	0.0890392	0.120565	0.224495	0.251669	0.314232
</S>	0.0964767	0.103839	0.222027	0.234932	0.342725
