 	il	m'	a	donné	un	panier	de	safous	bien	mûrs	</S>
a66	0.25006	0.166104	0.130457	0.110305	0.0942036	0.0829922	0.0724584	0.0407079	0.0253448	0.0160883	0.0112784
a87	0.297338	0.145692	0.0874683	0.0617159	0.0510043	0.0615681	0.083995	0.0750852	0.0603453	0.0458298	0.0299576
a23	0.31911	0.190476	0.130986	0.101003	0.0665575	0.0420615	0.0352261	0.0326312	0.0275207	0.0311615	0.0232663
a87	0.23586	0.168285	0.141228	0.14352	0.100788	0.0614506	0.0483006	0.0367911	0.0254767	0.0195927	0.0187072
a23	0.243011	0.172975	0.141743	0.142169	0.100317	0.0639879	0.0486768	0.0320359	0.021887	0.0162718	0.0169245
a87	0.174609	0.141178	0.138211	0.148076	0.104276	0.0716624	0.0642777	0.0523609	0.0393956	0.03391	0.0320436
a23	0.177744	0.1453	0.145875	0.161047	0.120885	0.0842631	0.0652714	0.0423399	0.0259196	0.0170198	0.0143351
a87	0.144979	0.137668	0.154293	0.168917	0.11942	0.085746	0.0723828	0.0488621	0.0306379	0.0213728	0.0157211
a23	0.151263	0.139456	0.155582	0.17587	0.130826	0.0891983	0.0657986	0.0404631	0.0244098	0.0150401	0.0120934
a30	0.141952	0.136281	0.15586	0.170347	0.118956	0.0918352	0.0784929	0.0494036	0.0275542	0.0168477	0.0124696
a53	0.152886	0.157825	0.173891	0.177896	0.126284	0.0878982	0.0602383	0.0295219	0.0165457	0.0100035	0.00701019
a15	0.164997	0.182196	0.176797	0.1732	0.108991	0.0683241	0.0549084	0.0307116	0.0186372	0.0136997	0.00753911
a20	0.0990823	0.121883	0.132844	0.136526	0.107617	0.101593	0.122968	0.0791264	0.044229	0.0373679	0.0167643
a75	0.0784011	0.121	0.151273	0.157801	0.134486	0.115964	0.107215	0.0572076	0.0343093	0.0283707	0.0139723
a5	0.0659914	0.0976297	0.117688	0.12136	0.109652	0.114265	0.134277	0.0862598	0.0618654	0.0625849	0.0284265
a75	0.120461	0.140601	0.142902	0.138378	0.109614	0.0917409	0.0928686	0.0609314	0.0397672	0.0409336	0.021801
a98	0.0599323	0.0723494	0.0911576	0.103947	0.100264	0.105314	0.140078	0.107686	0.0827459	0.091728	0.0447989
a6	0.0469078	0.0516294	0.0645442	0.0751112	0.0814675	0.0839428	0.11192	0.118664	0.122471	0.145105	0.098236
a25	0.0719106	0.0648727	0.0756089	0.0804363	0.0814009	0.0889247	0.118392	0.115381	0.102753	0.107021	0.093299
a92	0.0204574	0.0194103	0.0254664	0.0302883	0.0375118	0.0500644	0.0884372	0.147485	0.169393	0.205895	0.20559
a98	0.0267634	0.0214087	0.0267925	0.0311841	0.0390876	0.0500166	0.089995	0.157693	0.184438	0.206494	0.166127
a85	0.0178824	0.0142212	0.0175786	0.0216033	0.0320404	0.048342	0.0738452	0.128034	0.175555	0.215708	0.25519
a6	0.00958071	0.00712795	0.00925229	0.0120845	0.0182841	0.0294883	0.0494426	0.0879204	0.141439	0.248143	0.387237
a36	0.0101863	0.00666774	0.00664888	0.00804876	0.0146865	0.0263653	0.0453339	0.0947751	0.161191	0.229677	0.396419
a0	0.0134789	0.00765967	0.00537937	0.00437972	0.00485403	0.0101408	0.0245679	0.0924074	0.172942	0.171003	0.493188
a61	0.0202331	0.0138143	0.0117105	0.00884514	0.00926188	0.0169821	0.0283428	0.0758484	0.134991	0.242523	0.437447
a88	0.00599551	0.00389412	0.0036948	0.0036707	0.00534887	0.0138098	0.0303855	0.0880427	0.146982	0.174144	0.524032
a71	0.00906572	0.00567091	0.00494762	0.00448265	0.00568224	0.0148041	0.0299509	0.0749879	0.127709	0.219706	0.502993
a9	0.0546168	0.039498	0.0399529	0.0337252	0.0334736	0.0529534	0.0573276	0.0761387	0.10641	0.162401	0.343504
a10	0.182262	0.110127	0.101768	0.0737061	0.0601444	0.0641755	0.0638816	0.0741026	0.0783356	0.0750729	0.116424
a87	0.162731	0.100374	0.0822205	0.06168	0.0476215	0.0547748	0.0661102	0.0958014	0.107345	0.0978658	0.123477
a23	0.12248	0.0778231	0.0676064	0.0571262	0.0508056	0.0602958	0.0739087	0.109138	0.126557	0.122387	0.131872
a97	0.0426658	0.0258464	0.0184249	0.0140754	0.011812	0.0131492	0.0219393	0.06615	0.133855	0.165407	0.486675
a99	0.0248323	0.0164765	0.0154149	0.0142865	0.014486	0.0164823	0.0267522	0.0549855	0.0973458	0.225688	0.49325
a87	0.018906	0.0123166	0.0120479	0.0116216	0.0119537	0.0145322	0.0289634	0.0698473	0.123238	0.205843	0.49073
a23	0.012223	0.00856447	0.00793721	0.0070637	0.00795318	0.0100256	0.020077	0.0539069	0.110635	0.258713	0.502901
a99	0.0206007	0.0136801	0.0130324	0.0117834	0.0128437	0.0169656	0.0369141	0.0860541	0.141473	0.220496	0.426157
a87	0.0190984	0.0156528	0.0148521	0.0116388	0.0118195	0.0164731	0.0340433	0.0822893	0.141739	0.242633	0.409761
</S>	0.0118441	0.00935161	0.00852915	0.00655769	0.00653434	0.00929456	0.0231534	0.0713885	0.14188	0.277889	0.433578
