 	il	avait	si	peur	d'	être	en	retard	qu'	il	arriva	en	avance	</S>
a99	0.163595	0.113808	0.0954454	0.100629	0.0813174	0.0764541	0.0752889	0.109491	0.0431204	0.0292543	0.0231677	0.0237836	0.0293218	0.0353235
a53	0.155186	0.0840147	0.046248	0.0509808	0.0658638	0.0632953	0.0671663	0.0948275	0.0528189	0.0493525	0.054473	0.0654579	0.0782459	0.0720694
a20	0.271515	0.120726	0.0510007	0.0412884	0.0512487	0.0488883	0.0583105	0.10007	0.0380699	0.0307876	0.0353813	0.0393224	0.052534	0.0608576
a94	0.445488	0.165593	0.0457027	0.0282178	0.0337797	0.0361081	0.0437253	0.0737056	0.0306646	0.0226378	0.0211892	0.0158888	0.0176662	0.0196332
a20	0.310814	0.165443	0.0644954	0.0442754	0.0487818	0.0506114	0.0570619	0.0863016	0.0459798	0.0302072	0.0234154	0.0174135	0.022644	0.0325561
a58	0.186621	0.13824	0.0938426	0.0791874	0.0730792	0.0682762	0.0677531	0.0850265	0.0554338	0.0396222	0.0293558	0.02184	0.0261583	0.0355637
a57	0.174598	0.148816	0.106917	0.0904122	0.0727463	0.064464	0.0615687	0.0765796	0.0495412	0.0350325	0.0272704	0.0227006	0.0279553	0.0413988
a94	0.107167	0.104163	0.104391	0.104945	0.0852138	0.075611	0.0740677	0.0902035	0.0661946	0.0460954	0.0348942	0.0289387	0.0335528	0.0445621
a24	0.0746669	0.0829623	0.0988894	0.105016	0.0863082	0.0788936	0.0783625	0.0895812	0.0695729	0.0520351	0.0428514	0.0373327	0.0433266	0.0602015
a75	0.0823358	0.0886542	0.0936057	0.115073	0.0995782	0.0870285	0.083303	0.0838795	0.0600169	0.0445051	0.0379657	0.0340487	0.0381294	0.0518763
a73	0.053376	0.0652684	0.0820509	0.10195	0.0901879	0.0843611	0.0845106	0.0837948	0.0716001	0.0607719	0.0597573	0.0518249	0.051676	0.0588702
a44	0.0550581	0.0665273	0.0973893	0.112232	0.0914728	0.0827126	0.0788355	0.0816097	0.0603752	0.0523654	0.0537715	0.0466982	0.0504275	0.0705243
a90	0.0468027	0.0458039	0.0755748	0.0997262	0.09026	0.085482	0.0849775	0.0993572	0.0692341	0.0607323	0.0639453	0.0528803	0.0554647	0.069759
a38	0.0380402	0.026724	0.0386519	0.0561745	0.0579129	0.059579	0.0662975	0.0765739	0.0683076	0.0695325	0.0913339	0.102654	0.114027	0.134191
a11	0.033851	0.0256203	0.0342857	0.0539714	0.0608853	0.0634985	0.069367	0.0714971	0.0622015	0.064441	0.0887693	0.109241	0.120493	0.141878
a94	0.0427147	0.0306454	0.0392886	0.0572034	0.066672	0.073833	0.0852913	0.100306	0.0765358	0.0738575	0.0871398	0.0855779	0.0852753	0.0956594
a98	0.0525457	0.0295199	0.0272481	0.0373079	0.0449431	0.0538005	0.0683361	0.0820115	0.0777282	0.0812408	0.0998462	0.112094	0.114121	0.119257
a73	0.0218512	0.0164795	0.0204883	0.0309956	0.0409372	0.0491798	0.0611625	0.0677697	0.070409	0.0834214	0.114018	0.139782	0.139839	0.143667
a84	0.0179586	0.0141916	0.0213746	0.0297796	0.0375291	0.0453287	0.055198	0.0581423	0.0666021	0.0876825	0.122164	0.144848	0.146273	0.152929
a38	0.0127678	0.00841584	0.0122409	0.02101	0.0389425	0.0550825	0.078081	0.0667887	0.0980166	0.116088	0.131515	0.133924	0.119428	0.1077
a93	0.0263812	0.0147025	0.0137133	0.0183534	0.0275268	0.0340322	0.0497855	0.0439841	0.0736509	0.103052	0.12496	0.156139	0.152878	0.160842
a12	0.0148226	0.00897907	0.01003	0.0136204	0.0182938	0.022074	0.0316834	0.0372969	0.0563583	0.0803679	0.112613	0.169284	0.192428	0.232149
a96	0.0147452	0.00941998	0.0108399	0.0138653	0.0192363	0.0226439	0.0307793	0.0314736	0.05347	0.0804093	0.113833	0.172109	0.195584	0.231591
a13	0.0315891	0.0166491	0.0151221	0.0177266	0.0236142	0.0302379	0.0416956	0.0436653	0.0713056	0.0949615	0.120116	0.147258	0.157958	0.188101
a54	0.0317625	0.0175435	0.0164089	0.0201062	0.0293439	0.039425	0.0543173	0.0516937	0.0839304	0.103601	0.120985	0.136481	0.140841	0.153561
a73	0.0145758	0.0107025	0.012007	0.0170693	0.0207309	0.0216002	0.0274745	0.0321149	0.0395175	0.059387	0.088307	0.174647	0.20875	0.273117
a84	0.00685335	0.00486895	0.0065746	0.0111175	0.0182146	0.0227353	0.0309584	0.0336299	0.0453122	0.0665718	0.0919749	0.164621	0.199063	0.297504
a57	0.00402192	0.00295208	0.00362399	0.00503651	0.00881493	0.0124935	0.0189988	0.0124985	0.0408449	0.0714474	0.0955947	0.199045	0.225222	0.299406
a87	0.00971018	0.00580159	0.00559411	0.00662855	0.00914008	0.0108445	0.0141973	0.0107582	0.0239969	0.0400171	0.0573838	0.164106	0.220015	0.421807
a97	0.00850041	0.00626977	0.00692284	0.00904252	0.0127834	0.01535	0.0181507	0.0158246	0.0174132	0.0240362	0.0383731	0.104633	0.188823	0.533877
a40	0.0188533	0.0117639	0.0104084	0.0134861	0.0250188	0.028277	0.0317585	0.0309816	0.0270873	0.0316657	0.0471965	0.109141	0.201874	0.412488
a73	0.0105898	0.00553075	0.00347978	0.00376396	0.00535327	0.00612365	0.00741405	0.010579	0.0112204	0.0165644	0.0263633	0.085505	0.184393	0.62312
