 	la	voiture	est	garée	dans	notre	parcelle	</S>
a66	0.242296	0.17663	0.19108	0.155234	0.108272	0.0580513	0.0377567	0.0306797
a87	0.250738	0.184181	0.180208	0.115875	0.0940526	0.0609877	0.0610917	0.0528656
a79	0.274224	0.259536	0.170758	0.0946561	0.0609595	0.0436124	0.0525251	0.0437281
a69	0.277984	0.199516	0.160428	0.100039	0.0795657	0.0519405	0.0695522	0.0609739
a58	0.349736	0.303883	0.171996	0.0678049	0.0407114	0.0221734	0.021654	0.0220415
a90	0.272507	0.302664	0.186395	0.0966898	0.0583134	0.033371	0.0268074	0.0232523
a94	0.197398	0.259617	0.209388	0.132903	0.0817523	0.0481066	0.0374152	0.0334196
a61	0.160446	0.229237	0.20394	0.147315	0.0990713	0.0633031	0.0531077	0.0435796
a93	0.179918	0.20468	0.201269	0.154039	0.0985827	0.061073	0.05329	0.0471482
a44	0.180277	0.190194	0.210319	0.170153	0.105584	0.0568395	0.047587	0.0390463
a96	0.125684	0.130081	0.180537	0.186522	0.134943	0.0925043	0.0795615	0.0701673
a88	0.0919961	0.0759729	0.127205	0.16918	0.155066	0.132273	0.122276	0.12603
a11	0.0446476	0.0300855	0.0506671	0.109906	0.161777	0.187644	0.1916	0.223672
a0	0.0417472	0.0301136	0.0454782	0.0837781	0.136453	0.188945	0.222123	0.251361
a47	0.0192829	0.012362	0.0201692	0.0494316	0.11754	0.20643	0.253463	0.321321
a43	0.0120412	0.00811489	0.0123593	0.0321309	0.0867497	0.205498	0.276399	0.366708
a11	0.0041481	0.00271723	0.00416509	0.0113946	0.0405399	0.145184	0.297631	0.494221
a66	0.00527779	0.00399682	0.0052558	0.0127234	0.0379388	0.12507	0.273573	0.536164
a75	0.0185723	0.0122661	0.0145151	0.0260885	0.0588644	0.154585	0.224376	0.490733
a37	0.000814472	0.000537431	0.000836042	0.0035	0.0213042	0.107399	0.281319	0.58429
a18	0.00387458	0.00206568	0.00252521	0.00663758	0.0260481	0.130939	0.259174	0.568736
a0	0.0525487	0.026199	0.0230712	0.0372455	0.0782716	0.17572	0.219674	0.387271
a9	0.144299	0.0803986	0.0651048	0.0724251	0.1036	0.155262	0.158122	0.220789
a10	0.239863	0.139561	0.0979455	0.0895274	0.104006	0.114615	0.104112	0.11037
a87	0.174211	0.105473	0.0786652	0.0790464	0.103206	0.126098	0.15398	0.17932
a23	0.110776	0.071364	0.0560965	0.0653156	0.101121	0.155201	0.193265	0.24686
a87	0.0494539	0.0338684	0.0329477	0.051653	0.101719	0.184762	0.235317	0.310279
</S>	0.0167601	0.0139137	0.0196644	0.0419312	0.102521	0.17855	0.269698	0.356962
