 	c'	est	toi	qui	lèche	les	assiettes	dans	cette	maison	</S>
a85	0.293044	0.260003	0.186652	0.125587	0.0496727	0.0293702	0.0159086	0.00802462	0.00799136	0.0103863	0.0133596
a66	0.336275	0.125275	0.0657413	0.0506683	0.0337886	0.0592131	0.0989626	0.0572174	0.0578473	0.0605165	0.0544952
a87	0.319533	0.157981	0.128996	0.122947	0.0728941	0.0431767	0.0305051	0.0216124	0.0215729	0.0305052	0.0502773
a23	0.398877	0.203536	0.126382	0.0959177	0.0538451	0.0246925	0.0176852	0.0117479	0.0131737	0.0208038	0.0333396
a79	0.295437	0.163279	0.0850345	0.0573263	0.0417848	0.0433775	0.0445686	0.0414416	0.050902	0.0727017	0.104148
a37	0.159754	0.120565	0.110508	0.11135	0.150786	0.118058	0.091112	0.0403724	0.0274759	0.0312552	0.0387649
a5	0.0790061	0.103871	0.112983	0.124537	0.184523	0.178389	0.141252	0.0303226	0.0137844	0.0137294	0.0176024
a85	0.0602857	0.0756987	0.087985	0.10326	0.170939	0.22514	0.155245	0.0432913	0.0232463	0.024717	0.0301921
a6	0.0283411	0.03609	0.0528247	0.0810019	0.156639	0.288413	0.219417	0.0599178	0.0248846	0.0224463	0.0300244
a0	0.0380166	0.0396963	0.0601122	0.0865162	0.167807	0.292945	0.163644	0.0578123	0.0298365	0.0288817	0.0347317
a75	0.0428504	0.0335651	0.0626949	0.0974126	0.172299	0.218576	0.132099	0.0690916	0.0491012	0.0557018	0.0666081
a6	0.0144829	0.0111129	0.0193487	0.0327346	0.0937771	0.225104	0.222942	0.1435	0.0836856	0.0709196	0.0823935
a5	0.0142007	0.0103829	0.0180095	0.0304813	0.0924696	0.166924	0.177301	0.161776	0.107078	0.100692	0.120685
a61	0.0209342	0.0152732	0.0264745	0.043589	0.0994852	0.120714	0.133603	0.159781	0.122035	0.115809	0.142303
a43	0.0142219	0.0105109	0.0140116	0.0180185	0.0430957	0.0555079	0.0779419	0.1763	0.189475	0.175484	0.225433
a75	0.0145288	0.0124606	0.0165799	0.0203099	0.0422303	0.056336	0.0595615	0.126174	0.200278	0.204075	0.247466
a5	0.00143315	0.00103083	0.00122108	0.00166205	0.00465884	0.013661	0.0320115	0.123377	0.25138	0.264914	0.30465
a61	0.00434633	0.00365866	0.00444108	0.00529055	0.0109724	0.019369	0.0375979	0.0992481	0.212096	0.271147	0.331833
a47	0.00220918	0.00190842	0.00226676	0.00268966	0.00551533	0.01036	0.0195554	0.0590578	0.152437	0.297821	0.446179
a96	0.0013626	0.00114849	0.00143584	0.00176569	0.00350949	0.00537637	0.011718	0.0465037	0.138345	0.30192	0.486914
a62	0.00103967	0.000838597	0.00100696	0.00124949	0.00272297	0.0040612	0.0103637	0.0427442	0.124704	0.290082	0.521187
a88	0.00058884	0.000506611	0.000591099	0.000705795	0.00136521	0.00273622	0.00799858	0.0329999	0.114962	0.30788	0.529665
a71	0.000399603	0.000325308	0.000374084	0.000480128	0.000983142	0.00208068	0.00593977	0.0231009	0.105659	0.314937	0.54572
a9	0.00371353	0.00260426	0.00281602	0.00383953	0.00694948	0.0106574	0.0228895	0.0611433	0.14502	0.280105	0.460262
a87	0.0378861	0.0212442	0.021363	0.0286836	0.0462166	0.0352016	0.044195	0.0806715	0.140292	0.219306	0.324941
a23	0.249304	0.107596	0.0861869	0.099773	0.107247	0.060096	0.047146	0.0490617	0.0533077	0.0645171	0.0757652
a87	0.201182	0.0928444	0.0766183	0.084911	0.0766309	0.0472014	0.0401122	0.045735	0.0578662	0.106278	0.17062
</S>	0.0116345	0.00567236	0.00592016	0.00944847	0.0145652	0.0177844	0.0210914	0.0368556	0.0932408	0.282638	0.501149
