 	ils	sont	en	quête	de	champignons	</S>
a66	0.279731	0.278368	0.286526	0.0774289	0.0375434	0.0218588	0.0185442
a87	0.29068	0.205095	0.24748	0.118066	0.0646432	0.0371383	0.0368975
a23	0.454299	0.275014	0.144061	0.0439371	0.0246441	0.0259502	0.0320938
a99	0.35711	0.294731	0.152135	0.049249	0.0409335	0.0467944	0.0590473
a54	0.246812	0.268006	0.205782	0.0664556	0.050934	0.0681249	0.0938853
a47	0.15993	0.225609	0.234863	0.0913539	0.0871886	0.0974624	0.103594
a85	0.127843	0.208491	0.328209	0.172171	0.0916226	0.0370062	0.0346568
a37	0.172025	0.240466	0.326419	0.137873	0.062789	0.0285745	0.0318537
a56	0.196381	0.233479	0.274735	0.152833	0.0630873	0.0368403	0.0426434
a96	0.21536	0.236864	0.310014	0.131832	0.0408306	0.0306673	0.0344311
a34	0.166994	0.185448	0.253015	0.171086	0.0688621	0.0684865	0.0861094
a96	0.171446	0.16008	0.204643	0.151705	0.097956	0.0956706	0.118499
a21	0.0449898	0.0331844	0.0444371	0.0802471	0.149368	0.275291	0.372482
a85	0.0289936	0.0223214	0.0239841	0.0782818	0.173607	0.293267	0.379545
a47	0.00872691	0.00634073	0.00690125	0.0315986	0.137435	0.346515	0.462482
a36	0.00141922	0.000933117	0.00117019	0.0110718	0.0770516	0.330233	0.578121
a37	0.00179672	0.00106986	0.00117091	0.00389616	0.0272249	0.245645	0.719197
a66	0.00120413	0.000773475	0.00110544	0.00505764	0.0308608	0.23687	0.724129
a13	0.00491087	0.00372954	0.00438051	0.00961897	0.0499126	0.263913	0.663535
a71	0.0571524	0.0439919	0.0330247	0.0412607	0.113379	0.267249	0.443943
a9	0.216971	0.16417	0.0891715	0.0401551	0.0723322	0.160986	0.256214
a10	0.382505	0.259381	0.168518	0.0409433	0.038014	0.0485755	0.0620634
a87	0.328706	0.238973	0.183586	0.0613557	0.043518	0.0622541	0.0816065
a23	0.217043	0.156403	0.142648	0.0707516	0.0633615	0.145964	0.20383
a87	0.112424	0.0761211	0.0638932	0.0312573	0.0539551	0.224847	0.437503
</S>	0.0298607	0.0246741	0.0247704	0.0211923	0.0501401	0.232865	0.616498
