 	il	baissa	la	tête	</S>
a87	0.365624	0.158945	0.121863	0.155582	0.197985
a23	0.243041	0.187335	0.14868	0.164839	0.256105
a79	0.421828	0.112787	0.0962147	0.134141	0.235028
a20	0.261585	0.170085	0.153636	0.187286	0.227408
a14	0.608064	0.193944	0.0711923	0.0647701	0.0620294
a0	0.78272	0.109357	0.0360662	0.0344375	0.0374195
a32	0.692656	0.129968	0.0490738	0.0515799	0.0767231
a75	0.595606	0.21389	0.0651922	0.0551508	0.0701612
a56	0.600765	0.177243	0.0679334	0.0667378	0.0873213
a35	0.456102	0.251424	0.0906277	0.090327	0.11152
a43	0.331222	0.300593	0.112186	0.112227	0.143772
a0	0.2012	0.349111	0.151678	0.139877	0.158134
a75	0.13774	0.320321	0.194813	0.172638	0.174488
a35	0.0835237	0.176931	0.187502	0.250102	0.301942
a41	0.110906	0.19066	0.195605	0.231037	0.271793
a35	0.0529435	0.113064	0.208169	0.287566	0.338258
a24	0.056645	0.111355	0.196003	0.276748	0.359249
a41	0.0284386	0.0796693	0.143544	0.271426	0.476923
a85	0.0131246	0.0352303	0.155045	0.307491	0.489109
a14	0.0117737	0.036106	0.165399	0.326086	0.460635
a35	0.0153382	0.0389579	0.16219	0.330446	0.453068
a57	0.0176722	0.0438999	0.158064	0.314077	0.466287
a10	0.00237126	0.0130669	0.0688694	0.23752	0.678173
a11	0.0016243	0.00845036	0.0517586	0.222926	0.715241
a62	0.00286422	0.0128986	0.0576365	0.220363	0.706238
a83	0.0100778	0.022399	0.073356	0.22991	0.664257
a9	0.00842002	0.0224522	0.0644408	0.214452	0.690235
a99	0.011755	0.0385103	0.10178	0.234496	0.613459
a87	0.0147219	0.0344977	0.0951204	0.236845	0.618815
</S>	0.0328853	0.0443218	0.112269	0.247648	0.562876
