 	qui	passera	toute	la	journée	à	s'	amuser	</S>
a66	0.319956	0.239065	0.227871	0.0880805	0.0282035	0.0198413	0.0219361	0.0229722	0.0320739
a87	0.398939	0.137071	0.223217	0.1259	0.0296	0.021509	0.0236795	0.0181702	0.0219143
a23	0.425328	0.170285	0.211127	0.100047	0.0220482	0.0144154	0.0196891	0.0174003	0.0196608
a79	0.250166	0.114622	0.231169	0.117995	0.0270145	0.0289321	0.0750951	0.0697823	0.0852237
a69	0.299106	0.158475	0.243691	0.133999	0.032713	0.0239032	0.0308702	0.0296244	0.0476178
a44	0.173158	0.237008	0.259943	0.195107	0.0711245	0.026123	0.0173823	0.00992849	0.0102251
a54	0.142543	0.20143	0.243676	0.212434	0.0788284	0.0318497	0.028515	0.0271702	0.0335536
a47	0.0608123	0.118713	0.159214	0.171694	0.14744	0.0901149	0.070963	0.0753324	0.105716
a37	0.0415337	0.0939647	0.171637	0.202982	0.118501	0.0870479	0.0697418	0.0903044	0.124287
a56	0.0788402	0.117808	0.171054	0.193718	0.111158	0.0733617	0.068252	0.0846275	0.101182
a47	0.0923456	0.12766	0.17003	0.18692	0.149713	0.105853	0.0635281	0.0501912	0.0537598
a34	0.0730731	0.0899833	0.114155	0.158453	0.171264	0.146248	0.0899805	0.0720902	0.0847535
a96	0.0447507	0.0573423	0.0776265	0.117589	0.180533	0.19675	0.127484	0.0967515	0.101173
a0	0.0232631	0.0325113	0.0628452	0.105608	0.210516	0.220532	0.130675	0.102802	0.111247
a24	0.0169344	0.02486	0.0393975	0.0489825	0.138296	0.215629	0.173876	0.155007	0.187018
a50	0.00883105	0.0137426	0.0181728	0.0307296	0.106089	0.211988	0.23434	0.186103	0.190004
a62	0.00367369	0.005506	0.00987964	0.0178498	0.0694265	0.165304	0.245967	0.241842	0.240552
a21	0.00278109	0.00437162	0.00861661	0.0150766	0.053089	0.134017	0.235649	0.278878	0.267522
a61	0.0044579	0.00609934	0.00839399	0.0142986	0.043204	0.113215	0.220238	0.306044	0.284049
a12	0.0017881	0.00222796	0.00248031	0.00455791	0.018204	0.0532934	0.141093	0.341643	0.434712
a47	0.00102482	0.00134424	0.00151291	0.00191666	0.00692895	0.0259731	0.101403	0.34133	0.518566
a62	0.000841688	0.00122977	0.00143664	0.00177861	0.00648751	0.0270374	0.109755	0.324086	0.527348
a0	0.000590869	0.000775632	0.000934186	0.00125511	0.00613818	0.0314152	0.136865	0.3338	0.488226
a75	0.00239379	0.00257908	0.0015965	0.00184987	0.00692461	0.0340151	0.122289	0.263405	0.564946
a85	0.000548751	0.000747204	0.000610422	0.00107491	0.00612278	0.0314177	0.111311	0.284576	0.563591
a37	0.000750181	0.000942777	0.000754908	0.0014519	0.00647281	0.0312199	0.0974255	0.325601	0.535381
a6	0.000806204	0.000918038	0.000578433	0.000978221	0.00384258	0.018409	0.0803849	0.274552	0.619531
a36	0.00103199	0.00117893	0.000840507	0.00157443	0.00495734	0.0194654	0.0765221	0.265613	0.628816
a26	0.0198735	0.020614	0.00791782	0.0102846	0.0195333	0.0407901	0.105345	0.268219	0.507423
a57	0.18749	0.0967122	0.052428	0.0477562	0.0518971	0.0571495	0.0969277	0.165075	0.244564
a87	0.375051	0.123295	0.0853065	0.0660579	0.0395764	0.0356307	0.063209	0.095843	0.11603
a23	0.261489	0.159073	0.107227	0.0930607	0.052719	0.0419357	0.0768041	0.0898788	0.117814
a87	0.180309	0.098688	0.0709358	0.0600824	0.0339793	0.0417091	0.113795	0.170322	0.23018
</S>	0.021632	0.0116519	0.0123654	0.0225869	0.0205883	0.0504035	0.164912	0.303223	0.392637
