 	le	peroquet	a	un	bec	tordu	</S>
a66	0.437248	0.275842	0.117899	0.071336	0.0531246	0.0307356	0.0138158
a87	0.653121	0.104316	0.0525569	0.0532733	0.0517233	0.03972	0.0452893
a23	0.597331	0.23926	0.0612984	0.0336415	0.0198043	0.0198384	0.0288274
a30	0.571339	0.188297	0.0633756	0.0318484	0.0233148	0.0436491	0.0781757
a4	0.493437	0.229111	0.110024	0.0535901	0.0315207	0.0387289	0.0435887
a11	0.44084	0.184712	0.14309	0.0984647	0.06433	0.0384074	0.0301568
a93	0.282271	0.188118	0.200145	0.141689	0.0772389	0.0672412	0.0432967
a4	0.158096	0.187149	0.248673	0.236417	0.0929969	0.0496081	0.0270604
a54	0.127499	0.148957	0.192532	0.273467	0.145012	0.0747669	0.0377663
a47	0.0597843	0.116835	0.147187	0.201468	0.228529	0.151233	0.094963
a36	0.149132	0.162677	0.153128	0.146757	0.135723	0.134699	0.117884
a56	0.151511	0.223411	0.204771	0.18546	0.102799	0.0732933	0.0587548
a93	0.203499	0.253155	0.204875	0.175149	0.0947143	0.0414478	0.0271599
a4	0.126009	0.258477	0.200416	0.191817	0.126037	0.0578809	0.0393634
a11	0.067479	0.219351	0.173464	0.186016	0.156214	0.116729	0.0807468
a93	0.0496426	0.173631	0.140655	0.18047	0.20941	0.145446	0.100746
a4	0.0395169	0.154674	0.115356	0.141043	0.19549	0.199001	0.154919
a93	0.0305757	0.104727	0.0782166	0.102194	0.192479	0.263285	0.228523
a56	0.02111	0.0656684	0.0473983	0.0686214	0.171408	0.314613	0.31118
a98	0.0128105	0.0344733	0.025936	0.0432014	0.131275	0.331436	0.420868
a79	0.0050502	0.0225418	0.0151342	0.0255364	0.0909738	0.363132	0.477632
a7	0.00301351	0.0128638	0.0089356	0.0175451	0.0685455	0.31231	0.576786
a90	0.0036736	0.00765771	0.0051733	0.0104004	0.042975	0.233436	0.696684
a25	0.00656674	0.0112884	0.00656297	0.0121047	0.0568861	0.277187	0.629404
a69	0.00401644	0.00503145	0.00291081	0.00689751	0.038063	0.199125	0.743956
a58	0.00460632	0.00591732	0.00312508	0.00704502	0.0375543	0.203971	0.737781
a57	0.00332925	0.00424149	0.00280022	0.00841729	0.0504028	0.23279	0.698019
a3	0.0673486	0.0355846	0.029669	0.0586132	0.124125	0.249797	0.434862
a99	0.239151	0.142156	0.0660372	0.0653348	0.0895932	0.156731	0.240997
a87	0.233579	0.128393	0.045008	0.0455756	0.0703993	0.143741	0.333304
a23	0.258552	0.183585	0.0575059	0.0537095	0.0800387	0.142748	0.22386
a87	0.142352	0.0925977	0.0438556	0.0468477	0.0792423	0.193593	0.401512
</S>	0.0263036	0.0275155	0.0132419	0.0253324	0.0763958	0.227973	0.603238
