 	cet	étang	a	des	têtards	rouges	</S>
a66	0.420199	0.194697	0.089725	0.0658337	0.0739724	0.0835057	0.0720676
a87	0.289923	0.153192	0.202839	0.194234	0.068778	0.0453124	0.0457205
a23	0.524087	0.289532	0.0913698	0.0368182	0.0170675	0.0159265	0.0251992
a50	0.476212	0.302274	0.0883105	0.0254418	0.0200757	0.0317961	0.0558904
a83	0.531814	0.29894	0.0857814	0.0212395	0.0104237	0.0158328	0.0359691
a75	0.542764	0.27023	0.115596	0.0353927	0.0149784	0.00933231	0.0117069
a56	0.326261	0.288737	0.240944	0.0819191	0.0354926	0.014778	0.0118684
a21	0.178173	0.34484	0.268598	0.116338	0.0529834	0.0230142	0.0160538
a85	0.139429	0.299768	0.289118	0.163329	0.0657188	0.0250549	0.0175823
a6	0.0741553	0.122942	0.172219	0.265665	0.159058	0.112353	0.0936075
a5	0.109269	0.0731863	0.0855526	0.150921	0.238744	0.197618	0.144708
a12	0.0440999	0.0334871	0.0484174	0.107205	0.220311	0.27381	0.27267
a96	0.0147	0.00911565	0.0151402	0.0536897	0.193863	0.327617	0.385874
a18	0.00454183	0.00204799	0.00320317	0.01268	0.113284	0.349088	0.515155
a88	0.00319367	0.00160371	0.0022628	0.00510442	0.0320635	0.210382	0.74539
a71	0.00306506	0.00150878	0.00274329	0.00597479	0.0338499	0.231795	0.721064
a9	0.00875389	0.0056533	0.00740321	0.0125039	0.0451947	0.247645	0.672846
a3	0.150749	0.059714	0.0321179	0.0356189	0.0883931	0.23138	0.402027
a99	0.405434	0.186503	0.0912285	0.0511258	0.0602976	0.0907705	0.114641
a87	0.253042	0.202616	0.111788	0.0689783	0.063744	0.110682	0.189149
a23	0.216816	0.145992	0.0790594	0.0526225	0.0785281	0.151504	0.275478
a99	0.0396931	0.030305	0.0227386	0.0360523	0.129965	0.24965	0.491596
a97	0.0344766	0.0386322	0.0351085	0.0693097	0.172067	0.233593	0.416813
</S>	0.0224317	0.0249169	0.0308831	0.0838435	0.170588	0.235502	0.431834
