 	la	hache	d'	otsengué	est	émoussée	</S>
a66	0.279645	0.233437	0.180558	0.126169	0.076555	0.0636357	0.0400003
a87	0.277585	0.233144	0.159554	0.103191	0.0797365	0.0825692	0.0642194
a10	0.50754	0.189222	0.0630825	0.0464322	0.054295	0.0679979	0.0714307
a90	0.497315	0.183247	0.064307	0.0504486	0.0587988	0.0687247	0.0771589
a4	0.473395	0.210494	0.091876	0.0524143	0.0572353	0.0528966	0.061689
a44	0.313828	0.232462	0.141434	0.0881589	0.100224	0.0673022	0.0565922
a15	0.246	0.223568	0.164718	0.106625	0.103103	0.0795687	0.0764172
a92	0.116709	0.185702	0.195762	0.13871	0.129977	0.104882	0.128258
a25	0.131761	0.2003	0.215042	0.155893	0.109351	0.0848408	0.102814
a79	0.156045	0.189957	0.189969	0.12458	0.0925404	0.0997723	0.147137
a69	0.11014	0.131351	0.14677	0.126986	0.115113	0.148195	0.221445
a32	0.119229	0.115932	0.13388	0.124468	0.108196	0.157546	0.240749
a21	0.0737522	0.0589032	0.0908677	0.116815	0.109961	0.213566	0.336134
a61	0.0506418	0.0391351	0.07118	0.127123	0.142681	0.232438	0.336801
a31	0.0257805	0.0184718	0.0427452	0.104362	0.139731	0.26483	0.404079
a88	0.0139408	0.00975394	0.0239924	0.0708554	0.130436	0.286767	0.464254
a31	0.00292898	0.00223747	0.00579487	0.0208433	0.0681253	0.288291	0.61178
a88	0.0021277	0.00185632	0.00485404	0.0209496	0.0803941	0.298669	0.591149
a70	0.00109085	0.000976346	0.00251623	0.00998581	0.0571034	0.286529	0.641798
a13	0.000950222	0.000928919	0.00265296	0.0114779	0.0699292	0.292673	0.621388
a38	0.00416853	0.0042171	0.00880525	0.027338	0.0979345	0.29156	0.565976
a13	0.0208246	0.016776	0.0295257	0.0727713	0.150368	0.271249	0.438486
a99	0.0808821	0.0445967	0.0552887	0.105981	0.151524	0.223124	0.338603
a87	0.17502	0.0755932	0.0663002	0.0981686	0.123297	0.181834	0.279787
a23	0.360363	0.130371	0.0762518	0.0946792	0.095275	0.112508	0.130553
a87	0.228909	0.0757665	0.049196	0.0650634	0.0872356	0.140158	0.353672
</S>	0.0316875	0.0123284	0.0107093	0.023622	0.0615984	0.178767	0.681287
