 	on	brûle	les	herbes	</S>
a23	0.501721	0.231537	0.104231	0.0700627	0.0924482
a38	0.419839	0.188775	0.12442	0.111047	0.15592
a14	0.325417	0.195386	0.13784	0.138078	0.203279
a85	0.51032	0.226289	0.142752	0.0767948	0.0438435
a36	0.426502	0.308142	0.162063	0.0656571	0.0376358
a11	0.376333	0.237814	0.163386	0.110923	0.111544
a83	0.315585	0.255039	0.187781	0.130928	0.110666
a75	0.193198	0.17997	0.207834	0.200835	0.218163
a14	0.18533	0.176593	0.238425	0.205933	0.193719
a85	0.149721	0.112984	0.173786	0.21991	0.343599
a36	0.0989035	0.0801992	0.149965	0.227744	0.443188
a11	0.0712288	0.0473866	0.0887553	0.175191	0.617438
a24	0.0194041	0.0175629	0.0579166	0.176341	0.728775
a9	0.016543	0.0197924	0.0697063	0.212613	0.681346
a10	0.0265643	0.0327138	0.0683239	0.158125	0.714273
a87	0.115682	0.102868	0.127674	0.177829	0.475947
a10	0.242493	0.157202	0.159817	0.165027	0.275461
a87	0.272588	0.122697	0.119083	0.153661	0.331971
a23	0.204955	0.113819	0.136031	0.175584	0.369611
a87	0.216036	0.114173	0.124263	0.164233	0.381295
</S>	0.112222	0.0672358	0.107101	0.192189	0.521253
