 	je	casse	la	pierre	pour	construire	une	maison	</S>
a66	0.270199	0.128479	0.0729326	0.137639	0.127691	0.130972	0.0692538	0.0377501	0.025084
a87	0.371216	0.248419	0.121487	0.0761209	0.0487018	0.0565709	0.03686	0.0234049	0.0172191
a23	0.325599	0.318076	0.147273	0.0872082	0.0357163	0.0392269	0.0209051	0.0143907	0.0116043
a83	0.255308	0.305176	0.129216	0.0674924	0.0420223	0.0631473	0.0502755	0.0464324	0.0409293
a54	0.204418	0.179345	0.107164	0.0842474	0.0712324	0.106398	0.0988389	0.087884	0.0604723
a5	0.174571	0.21638	0.18626	0.141952	0.0714785	0.083782	0.0538666	0.0425836	0.0291261
a12	0.160996	0.280755	0.238892	0.137207	0.0524773	0.0597759	0.0332234	0.022559	0.0141139
a96	0.207757	0.33716	0.214205	0.107416	0.0346584	0.0411998	0.0243102	0.018988	0.0143063
a93	0.196103	0.27746	0.217324	0.130067	0.0439459	0.0495574	0.0328866	0.0287418	0.0239153
a56	0.1647	0.194178	0.221226	0.174986	0.0638228	0.064503	0.0436088	0.0389778	0.0339977
a96	0.183997	0.143051	0.178079	0.185773	0.080654	0.0761416	0.0555746	0.0501936	0.0465355
a75	0.106682	0.0753745	0.119746	0.225747	0.119355	0.121786	0.0897735	0.0755783	0.0659568
a85	0.0422484	0.0266778	0.0467099	0.131432	0.130342	0.159979	0.164954	0.14965	0.148006
a6	0.0172786	0.0112013	0.0243874	0.087028	0.123037	0.153238	0.201066	0.191566	0.191197
a75	0.0109555	0.00699783	0.0191997	0.0952854	0.17995	0.196216	0.201392	0.154496	0.135507
a34	0.00671474	0.00381065	0.010447	0.0529964	0.140103	0.170251	0.236152	0.208981	0.170544
a47	0.00453148	0.00330688	0.00760022	0.027506	0.0920925	0.141979	0.239126	0.267033	0.216825
a88	0.00198623	0.00166201	0.00377358	0.0126529	0.0580082	0.0939171	0.222168	0.30909	0.296742
a56	0.000597206	0.000480999	0.0011879	0.00458916	0.0279213	0.0644254	0.196792	0.3392	0.364806
a92	0.000483741	0.000393604	0.00105188	0.00370724	0.0190422	0.0494908	0.177425	0.347554	0.400852
a37	0.000130825	0.00012074	0.000438599	0.00195241	0.0128645	0.0294096	0.137175	0.346573	0.471335
a61	0.000242522	0.000247132	0.000766791	0.00268182	0.0154915	0.0363685	0.147891	0.329264	0.467047
a88	0.000425097	0.000397054	0.000963498	0.00316915	0.0171907	0.0337638	0.131695	0.301	0.511396
a71	0.000961029	0.000839741	0.00211618	0.00638922	0.0232843	0.0392221	0.1264	0.281522	0.519266
a9	0.00986155	0.00819785	0.0128912	0.0255923	0.0632439	0.0677625	0.150715	0.253257	0.408478
a87	0.0771869	0.0490738	0.0488857	0.0658637	0.0909562	0.087395	0.140914	0.190582	0.249143
a23	0.23535	0.130297	0.0633545	0.0650088	0.070752	0.067975	0.0941307	0.120881	0.152251
a99	0.082382	0.0528746	0.0351631	0.0315329	0.0488359	0.058393	0.125586	0.22809	0.337143
a97	0.0396409	0.0276104	0.0199267	0.0217709	0.047871	0.0643486	0.138907	0.260792	0.379133
</S>	0.0140383	0.011484	0.0122726	0.0226824	0.0523188	0.0673956	0.136198	0.266058	0.417553
