 	dans	la	maison	il	fait	chaud	</S>
a15	0.428558	0.195704	0.1148	0.0969047	0.0820406	0.0447666	0.0372261
a82	0.18288	0.174905	0.246353	0.161264	0.126434	0.0567375	0.0514257
a97	0.39169	0.210263	0.148935	0.0693167	0.0742303	0.0592907	0.0462748
a10	0.443893	0.271601	0.161134	0.0550837	0.0353846	0.0185687	0.0143357
a97	0.461869	0.274657	0.157666	0.0470332	0.02875	0.0161986	0.0138265
a3	0.426424	0.270373	0.176324	0.0595197	0.0355444	0.0179332	0.0138812
a97	0.427074	0.255611	0.170652	0.0648127	0.0405264	0.0228076	0.0185161
a10	0.424027	0.239427	0.166416	0.0682361	0.0483919	0.0303223	0.0231799
a54	0.447421	0.247277	0.17073	0.0653798	0.035027	0.0207175	0.0134469
a56	0.524894	0.240863	0.116206	0.0438986	0.0247774	0.0229319	0.0264295
a96	0.325975	0.29348	0.208783	0.0882247	0.0369476	0.0246899	0.0218997
a70	0.242106	0.27809	0.242534	0.116557	0.0543964	0.0355249	0.0307912
a62	0.16539	0.229697	0.249138	0.148197	0.0858674	0.0636219	0.0580876
a70	0.104767	0.166402	0.23122	0.188795	0.127797	0.0953473	0.0856724
a50	0.0821264	0.128444	0.192438	0.21049	0.158224	0.11239	0.115889
a62	0.0512624	0.0759747	0.126872	0.209623	0.210735	0.163817	0.161716
a75	0.0427696	0.0610146	0.108116	0.20399	0.23463	0.18072	0.16876
a41	0.0398633	0.0548944	0.0877152	0.182331	0.232461	0.20508	0.197654
a12	0.0308421	0.0365941	0.0547572	0.138296	0.223765	0.233945	0.281801
a5	0.00967149	0.0100782	0.0167705	0.0560196	0.17028	0.3342	0.40298
a61	0.0089137	0.00882675	0.0132671	0.039225	0.131399	0.345983	0.452386
a93	0.00264966	0.0025721	0.00404666	0.0130375	0.0631447	0.335909	0.57864
a70	0.00235975	0.00231569	0.00399206	0.0145716	0.0686437	0.322389	0.585728
a96	0.00106361	0.00114851	0.00242341	0.00884857	0.0501525	0.287265	0.649098
a36	0.00103865	0.00109927	0.00221812	0.00755978	0.0420669	0.265941	0.680076
a56	0.00299919	0.00228808	0.00350549	0.0120457	0.052365	0.216439	0.710357
a94	0.00181794	0.00148309	0.00190919	0.00644169	0.0314497	0.211708	0.74519
a37	0.00228768	0.00166173	0.0020477	0.00625838	0.0300139	0.185179	0.772551
a26	0.00391507	0.0026708	0.00313235	0.00906519	0.0353706	0.174875	0.770971
a82	0.0215561	0.0150868	0.0168962	0.0292674	0.0670857	0.191577	0.658531
a9	0.194861	0.116483	0.0895178	0.0719455	0.0910248	0.132535	0.303633
a3	0.234141	0.139301	0.0931712	0.0648992	0.0803922	0.127824	0.260271
a87	0.162089	0.112928	0.0849494	0.0658726	0.101829	0.183584	0.288749
a97	0.137495	0.100077	0.0817599	0.0798822	0.120571	0.189519	0.290696
a10	0.125522	0.0949518	0.0940189	0.0901294	0.132615	0.181173	0.28159
a97	0.146967	0.118177	0.1174	0.0981169	0.124318	0.155814	0.239207
a3	0.11532	0.0996893	0.1088	0.109228	0.141426	0.172858	0.252679
</S>	0.10272	0.0883899	0.0919069	0.0994309	0.132153	0.184345	0.301054
