 	la	grosse	chenille	velue	m'	a	piqué	</S>
a66	0.28149	0.224245	0.137026	0.0724459	0.0712503	0.079087	0.0797345	0.0547215
a82	0.249938	0.16528	0.0847213	0.132723	0.159422	0.126221	0.0608061	0.0208892
a87	0.254094	0.252677	0.204793	0.226411	0.0366048	0.0138274	0.00767578	0.0039172
a23	0.229195	0.238842	0.256806	0.205018	0.0420185	0.0184822	0.00657298	0.00306496
a12	0.191244	0.170442	0.240684	0.329701	0.0457458	0.0134935	0.00467057	0.00401857
a18	0.182634	0.164776	0.267948	0.338942	0.0250931	0.00842322	0.00482639	0.00735693
a75	0.205046	0.158343	0.210104	0.267898	0.0859542	0.0370873	0.0216928	0.0138747
a92	0.162007	0.127122	0.16036	0.344692	0.106372	0.046339	0.0304756	0.0226333
a5	0.114274	0.0969853	0.136897	0.279428	0.165652	0.099886	0.0642179	0.0426591
a21	0.101597	0.0930923	0.117732	0.226356	0.169852	0.123561	0.0999862	0.0678242
a5	0.0904502	0.0929292	0.124357	0.241713	0.187957	0.118422	0.084775	0.0593975
a12	0.106938	0.116086	0.132079	0.204971	0.164505	0.105084	0.089849	0.0804871
a75	0.0725976	0.0851776	0.0959037	0.159773	0.162	0.144515	0.153135	0.126899
a47	0.0252469	0.0266206	0.0216825	0.0392439	0.0841625	0.137709	0.269104	0.39623
a36	0.0126865	0.012479	0.00746379	0.0123427	0.0352338	0.0812503	0.233202	0.605342
a2	0.00814955	0.00744447	0.00457297	0.00718423	0.0119925	0.0386442	0.147688	0.774324
a57	0.029367	0.03413	0.0289733	0.0553461	0.041505	0.09485	0.283111	0.432718
a87	0.0858629	0.0861994	0.0628114	0.147457	0.16198	0.133455	0.144826	0.177409
a23	0.0974222	0.080517	0.0555268	0.127682	0.177461	0.161195	0.142698	0.157498
a99	0.0362623	0.0289686	0.0202188	0.0562784	0.184386	0.225711	0.191754	0.256421
a87	0.00384915	0.00279482	0.00224301	0.0202416	0.0759031	0.136723	0.232765	0.52548
a82	0.0155098	0.011179	0.00784241	0.0342762	0.0837896	0.131309	0.185395	0.530699
</S>	0.0315093	0.0183219	0.0125538	0.0567485	0.141836	0.185109	0.176461	0.377461
