 	tu	veux	bien	que	je	sorte	</S>
a23	0.492741	0.23541	0.110778	0.0586807	0.0344059	0.0300511	0.0379342
a87	0.498032	0.23796	0.142714	0.0693274	0.026262	0.0116551	0.0140491
a23	0.259887	0.221309	0.218073	0.118515	0.067677	0.0499729	0.0645665
a87	0.342112	0.24751	0.14868	0.0657692	0.0406162	0.0477535	0.107559
a23	0.293731	0.219719	0.166753	0.0982991	0.0534453	0.0506834	0.117369
a83	0.311835	0.216394	0.118845	0.0672657	0.0515078	0.0777249	0.156428
a90	0.380115	0.378022	0.168411	0.047638	0.0138263	0.00681035	0.00517773
a13	0.237625	0.333544	0.249032	0.111947	0.0376341	0.016766	0.013452
a11	0.221387	0.319941	0.25769	0.128417	0.0406246	0.0174144	0.014527
a24	0.196488	0.297869	0.265268	0.150686	0.0497109	0.0213153	0.0186637
a43	0.191496	0.286507	0.230582	0.152716	0.0760835	0.0333452	0.0292702
a54	0.142794	0.213083	0.26606	0.202345	0.0956076	0.0421069	0.0380034
a73	0.131364	0.191837	0.269371	0.20022	0.102792	0.0554037	0.0490131
a26	0.124648	0.182433	0.262973	0.201264	0.118949	0.0564427	0.0532903
a76	0.0807893	0.105556	0.187067	0.231644	0.185575	0.0986543	0.110714
a94	0.11926	0.125771	0.138215	0.141998	0.13543	0.139702	0.199624
a32	0.068669	0.0725713	0.0901251	0.124645	0.214675	0.226469	0.202846
a98	0.0758342	0.0721351	0.0618216	0.0884675	0.20103	0.256967	0.243745
a41	0.0572828	0.0476306	0.041916	0.0696476	0.166705	0.287156	0.329663
a40	0.0250575	0.0191871	0.0196433	0.0490642	0.154417	0.348912	0.383719
a41	0.0464115	0.0325555	0.0275189	0.0468283	0.140141	0.335875	0.37067
a94	0.0192093	0.0140569	0.0174891	0.0478236	0.158436	0.378071	0.364915
a24	0.0348027	0.0248368	0.0206679	0.0269832	0.0745376	0.299369	0.518803
a32	0.0163696	0.0104988	0.00892536	0.0161261	0.0680749	0.32003	0.559975
a25	0.0246458	0.0140038	0.0119029	0.0212856	0.0706604	0.301473	0.556028
a10	0.0225889	0.0127118	0.0110754	0.0191055	0.068328	0.284137	0.582053
a11	0.0236544	0.0121863	0.0104028	0.0151842	0.0534305	0.238456	0.646686
a76	0.0359742	0.0189566	0.0158074	0.0182829	0.0502378	0.223136	0.637605
a69	0.0291698	0.017206	0.0109384	0.0145942	0.0466893	0.214379	0.667023
a84	0.0216738	0.0110745	0.0078271	0.0106798	0.0381374	0.206688	0.703919
a87	0.0098114	0.00492941	0.00463065	0.00722342	0.0303367	0.169616	0.773452
</S>	0.0168486	0.0115943	0.0105722	0.016855	0.0604698	0.216291	0.66737
