 	la	viande	de	porc	me	dégoûte	</S>
a66	0.366971	0.241705	0.141055	0.115828	0.0725565	0.0332225	0.0286614
a87	0.538639	0.255548	0.118701	0.0458382	0.0198694	0.00972989	0.0116737
a23	0.442971	0.272407	0.184742	0.0647031	0.0160627	0.00870098	0.0104134
a30	0.320729	0.216435	0.198886	0.137589	0.0545879	0.0344142	0.03736
a44	0.366994	0.262201	0.185119	0.0900767	0.0305966	0.0309028	0.0341092
a34	0.305479	0.317707	0.23778	0.110658	0.0145368	0.00714883	0.00669136
a43	0.244201	0.305692	0.277666	0.133904	0.0236181	0.00834492	0.00657285
a62	0.189124	0.276858	0.280814	0.178857	0.041262	0.0163578	0.016727
a75	0.182737	0.262196	0.285239	0.197109	0.0451204	0.0140077	0.0135906
a98	0.132147	0.241916	0.272186	0.234243	0.0750576	0.0227815	0.0216694
a47	0.12355	0.226664	0.258859	0.21916	0.0900724	0.0401442	0.0415514
a92	0.15029	0.195983	0.213298	0.2274	0.0982382	0.0468009	0.0679909
a44	0.199271	0.213256	0.194836	0.14726	0.0855008	0.0695699	0.0903068
a56	0.150304	0.169214	0.201563	0.200458	0.110495	0.0688056	0.0991599
a90	0.12881	0.131342	0.158371	0.163661	0.143488	0.119381	0.154947
a15	0.0624755	0.0657473	0.102034	0.177338	0.214239	0.174367	0.203799
a69	0.0191055	0.0196301	0.036605	0.137689	0.224164	0.240567	0.32224
a75	0.00566349	0.00467995	0.00696986	0.0297791	0.130502	0.317209	0.505196
a5	0.00461088	0.00477861	0.00860709	0.0369502	0.13854	0.295765	0.510748
a21	0.00329256	0.00259144	0.00303646	0.00839542	0.0644594	0.299086	0.619139
a92	0.00221485	0.00159849	0.00173699	0.00487451	0.0471795	0.29129	0.651105
a75	0.00122336	0.00085782	0.0010008	0.00323246	0.0326877	0.286134	0.674864
a56	0.000311068	0.000270196	0.000473196	0.00277554	0.0367239	0.309359	0.650087
a44	0.00137129	0.000833274	0.00100825	0.00411126	0.050719	0.336192	0.605765
a57	0.00304799	0.00224929	0.00246325	0.00689615	0.0384486	0.268653	0.678242
a3	0.0636569	0.0491342	0.0458599	0.0579513	0.0947328	0.278336	0.410329
a87	0.251239	0.162956	0.134686	0.105137	0.0832292	0.138703	0.124051
a23	0.275788	0.163588	0.12504	0.101933	0.0932996	0.131865	0.108487
a99	0.0452281	0.02251	0.0181027	0.0215989	0.0767495	0.310763	0.505047
</S>	0.025579	0.0145861	0.0143813	0.027407	0.0736505	0.234529	0.609867
