 	nous	sommes	tombés	d'	accord	pour	partir	à	la	pêche	</S>
a66	0.173473	0.111768	0.0741285	0.0826278	0.0866687	0.0865564	0.108046	0.0993226	0.0856241	0.0568362	0.034949
a87	0.199451	0.0921669	0.105713	0.110406	0.113392	0.0998558	0.101077	0.0735785	0.0516166	0.0326947	0.0200478
a23	0.173346	0.121131	0.191436	0.189643	0.148188	0.0947638	0.0482267	0.016181	0.00739123	0.00540414	0.00428891
a99	0.138408	0.0852461	0.243877	0.211059	0.159493	0.0995815	0.0391845	0.0117111	0.00498477	0.00316347	0.00329241
a71	0.22322	0.0794421	0.226595	0.183964	0.119349	0.0792278	0.03429	0.0192272	0.0128941	0.01094	0.0108501
a38	0.170743	0.0763497	0.169171	0.161024	0.121963	0.105322	0.0513617	0.050334	0.0354892	0.0332908	0.0249512
a24	0.1102	0.0834	0.151871	0.159342	0.123591	0.104648	0.0664097	0.0716847	0.0478478	0.0480458	0.0329599
a11	0.105482	0.105673	0.186893	0.197603	0.117389	0.0913366	0.061973	0.055366	0.0311486	0.0272855	0.0198493
a12	0.0543515	0.0654198	0.151662	0.185627	0.134914	0.113082	0.0899989	0.0791792	0.0502821	0.043385	0.0320983
a96	0.0449426	0.0687434	0.13704	0.163083	0.119672	0.107209	0.0957738	0.0828525	0.0667149	0.0609453	0.0530231
a70	0.0368585	0.056998	0.1145	0.143883	0.11767	0.110662	0.105815	0.0895421	0.07736	0.077848	0.0688638
a18	0.0327374	0.0517386	0.104995	0.126554	0.124174	0.120379	0.111121	0.0870643	0.0752567	0.0855188	0.0804613
a50	0.025435	0.0320532	0.0725023	0.0932391	0.122356	0.129418	0.128313	0.103154	0.0892463	0.104077	0.100206
a0	0.0218984	0.0288718	0.0750486	0.0922171	0.119472	0.131859	0.125984	0.0929973	0.0806959	0.102967	0.127988
a24	0.0151964	0.0182557	0.0473401	0.0577743	0.1017	0.128399	0.147078	0.132748	0.106954	0.120852	0.123702
a50	0.00888751	0.00889208	0.0274202	0.0384743	0.0812741	0.111475	0.136137	0.138875	0.126765	0.160111	0.161689
a88	0.00445371	0.00447996	0.0118127	0.0186587	0.0561516	0.0901968	0.126504	0.157468	0.148122	0.189171	0.192982
a62	0.00244161	0.00211541	0.00566193	0.010028	0.0337059	0.0578903	0.0978912	0.144507	0.176574	0.236605	0.23258
a90	0.00215269	0.00195202	0.00523971	0.00880579	0.0236268	0.0395397	0.0735162	0.116527	0.175536	0.284043	0.269062
a96	0.00429521	0.00383338	0.00946796	0.0144896	0.0355977	0.0605233	0.105102	0.152609	0.182924	0.236796	0.194363
a88	0.00161499	0.00131997	0.00348251	0.0055176	0.0159614	0.0292583	0.0614976	0.105252	0.175394	0.301895	0.298806
a71	0.000567888	0.000483125	0.00121706	0.00190188	0.00687076	0.0145691	0.036212	0.0667082	0.134724	0.297665	0.439081
a38	0.00101622	0.000767574	0.00156796	0.00159288	0.00576672	0.0135729	0.0375828	0.0662278	0.143192	0.250036	0.478677
a70	0.00508714	0.00321416	0.00535195	0.00396875	0.0087815	0.0149553	0.0360032	0.0540649	0.13646	0.223079	0.509034
a4	0.00247045	0.00148485	0.00265489	0.00231699	0.00629055	0.0119133	0.032406	0.0566499	0.144788	0.25766	0.481365
a13	0.00187869	0.00116932	0.0022612	0.00215263	0.00572213	0.0107935	0.032101	0.0608607	0.134821	0.255661	0.492579
a57	0.00133496	0.000916162	0.00192344	0.00158569	0.00494579	0.010207	0.0297948	0.0421037	0.110853	0.215725	0.580611
a38	0.00577321	0.00423767	0.00774708	0.00506264	0.00933044	0.01349	0.0285382	0.0350288	0.106737	0.202663	0.581392
a82	0.0205215	0.0142262	0.0220274	0.0135884	0.0154097	0.0169798	0.029044	0.0321438	0.0947634	0.178598	0.562698
a25	0.0744469	0.0622779	0.0800096	0.0451179	0.0384925	0.0313488	0.0384079	0.0362416	0.0838499	0.151356	0.358451
a10	0.148249	0.13769	0.152674	0.0901066	0.0694674	0.0521565	0.0567484	0.0369427	0.0537221	0.0739446	0.128298
a87	0.144352	0.154437	0.158467	0.0868746	0.0875588	0.0721019	0.0792248	0.0428801	0.0471812	0.048994	0.0779294
a23	0.150103	0.158665	0.155653	0.0855213	0.102183	0.0855096	0.0878233	0.0464378	0.0410397	0.0361137	0.0509511
a87	0.124311	0.13735	0.0895607	0.0658054	0.055699	0.0646855	0.0847612	0.0766541	0.077202	0.100004	0.123967
a23	0.130325	0.132442	0.108561	0.0908166	0.0848102	0.087789	0.085517	0.0560973	0.0515721	0.0736071	0.0984628
a87	0.0857598	0.09197	0.0759112	0.0668255	0.0683221	0.0853591	0.112178	0.0977445	0.0903082	0.110046	0.115575
</S>	0.113954	0.112665	0.0945371	0.0724459	0.067855	0.0768583	0.0868403	0.0669882	0.0660174	0.0980472	0.143791
