 	il	construit	un	abri	en	brousse	pour	la	récolte	du	vin	</S>
a23	0.116396	0.0456017	0.0263962	0.0310604	0.0498715	0.0898333	0.086381	0.102951	0.101333	0.140574	0.12406	0.0855409
a87	0.0792351	0.0532887	0.042446	0.0516282	0.063386	0.071096	0.0770595	0.0879949	0.102041	0.0951361	0.131036	0.145652
a23	0.087522	0.0801767	0.0694693	0.0740669	0.0816713	0.0895552	0.0930059	0.0984772	0.0917877	0.0648766	0.083747	0.0856442
a53	0.0561171	0.0604151	0.0620125	0.0714006	0.0803718	0.0840306	0.0799913	0.0753291	0.094637	0.0959799	0.130527	0.109188
a20	0.244586	0.166319	0.119594	0.130863	0.115578	0.0800787	0.0427071	0.0274068	0.0210372	0.0141866	0.0180555	0.0195889
a14	0.275144	0.177961	0.131667	0.108839	0.0980057	0.0796313	0.0487225	0.0350841	0.0220092	0.00946416	0.00759142	0.00588157
a30	0.272846	0.165558	0.117558	0.0997896	0.0898456	0.0843845	0.0593289	0.0479415	0.0319949	0.0134211	0.00982409	0.00750695
a14	0.146278	0.121984	0.107478	0.101508	0.0929091	0.0983466	0.0830589	0.0804528	0.0643884	0.0433427	0.0350895	0.025163
a2	0.11949	0.0899821	0.0844362	0.100278	0.097092	0.117347	0.100642	0.0979392	0.0777236	0.0478458	0.0382368	0.028988
a57	0.0669177	0.0626551	0.0663986	0.0795204	0.0777935	0.101896	0.0980833	0.107774	0.104521	0.0818061	0.0799844	0.0726497
a38	0.0461839	0.0459112	0.0546622	0.0601607	0.0640461	0.082226	0.0830556	0.0920987	0.113409	0.0978716	0.121894	0.138481
a76	0.0855854	0.0778387	0.0799251	0.0857251	0.0810346	0.0981421	0.0923152	0.0949735	0.0971368	0.0703573	0.0705867	0.0663795
a35	0.148476	0.116248	0.10789	0.106859	0.102262	0.106323	0.0949488	0.0864706	0.0633326	0.0334905	0.0193135	0.0143849
a75	0.120906	0.103457	0.101036	0.110529	0.106362	0.110393	0.0944925	0.087107	0.0655685	0.045778	0.0306735	0.0236972
