 	il	ajoute	un	taro	sur	ce	tas	</S>
a20	0.256264	0.216844	0.16356	0.10925	0.0800036	0.0782568	0.0514858	0.0443355
a14	0.129384	0.138505	0.19053	0.204571	0.118437	0.0884834	0.0671848	0.0629049
a35	0.318718	0.299106	0.217858	0.082506	0.0410147	0.0191778	0.0108524	0.0107668
a14	0.381672	0.315172	0.187042	0.0532956	0.0305596	0.015319	0.00886364	0.00807642
a41	0.386717	0.269891	0.170384	0.0749749	0.046521	0.0256872	0.0138874	0.0119375
a96	0.370064	0.234862	0.168787	0.0886822	0.0629754	0.0379513	0.0201774	0.0165005
a24	0.39244	0.222481	0.16204	0.0905024	0.0603382	0.0366751	0.0195633	0.0159593
a41	0.318874	0.205248	0.174187	0.115034	0.0774573	0.0536645	0.0323058	0.02323
a14	0.237945	0.210324	0.212575	0.147146	0.0924031	0.0550319	0.0263724	0.0182029
a32	0.164772	0.167471	0.210601	0.174224	0.126069	0.0844591	0.0426438	0.0297591
a75	0.132842	0.127696	0.168906	0.176395	0.158398	0.12265	0.0661227	0.0469897
a14	0.107987	0.115776	0.143985	0.160866	0.17217	0.141456	0.0894831	0.0682768
a30	0.0797134	0.0838481	0.117746	0.1501	0.179842	0.171024	0.125906	0.091821
a27	0.0378634	0.054424	0.110225	0.151071	0.210369	0.190891	0.139774	0.105382
a24	0.0369298	0.0510615	0.0774234	0.133307	0.186129	0.190773	0.161828	0.162548
a26	0.0349654	0.0370931	0.0677218	0.103126	0.144302	0.17061	0.213948	0.228234
a98	0.0246308	0.0352111	0.059322	0.0929838	0.151803	0.183547	0.220262	0.232239
a66	0.0227516	0.0308021	0.0581279	0.0846003	0.147202	0.183864	0.222465	0.250187
a24	0.0181052	0.0260963	0.0438424	0.0671725	0.114691	0.159814	0.240062	0.330217
a41	0.0151323	0.0215564	0.0426106	0.0639913	0.112338	0.157356	0.237123	0.349893
a34	0.0123152	0.0135706	0.0298833	0.0393129	0.0835392	0.150295	0.272211	0.398873
a93	0.0184685	0.0186986	0.03416	0.0378419	0.0633842	0.126639	0.251736	0.449073
a44	0.0216467	0.0215612	0.0379315	0.0421287	0.0630858	0.122725	0.236622	0.454299
a90	0.0218133	0.0200593	0.031811	0.0363855	0.0527108	0.108821	0.22863	0.499768
a76	0.0366313	0.0320895	0.0491547	0.0469394	0.0611279	0.114712	0.229492	0.429853
a73	0.0293757	0.0262483	0.0454066	0.0559995	0.0655455	0.110765	0.227441	0.439219
a84	0.028103	0.0265956	0.0427645	0.0471389	0.0603538	0.103026	0.234618	0.457399
a57	0.0247388	0.0204076	0.0226635	0.0251732	0.0427069	0.0934087	0.22702	0.543882
a87	0.036551	0.0334959	0.0271487	0.0268794	0.053342	0.137366	0.234646	0.450571
a23	0.0650407	0.0664293	0.0530565	0.0392012	0.0762306	0.160142	0.194191	0.345709
a18	0.0426052	0.0513296	0.0575055	0.0535981	0.0927503	0.205867	0.205444	0.290901
a83	0.0159208	0.0193042	0.0239862	0.0385315	0.105845	0.160056	0.229032	0.407324
a24	0.012076	0.0178069	0.0265136	0.032688	0.099142	0.155063	0.270921	0.38579
a98	0.00407769	0.00771216	0.0147107	0.0185793	0.0642089	0.140299	0.280691	0.469722
a9	0.00224317	0.00436026	0.0105589	0.0146694	0.0422906	0.107645	0.264881	0.553352
a38	0.00649994	0.0136361	0.018577	0.0176941	0.0456928	0.123879	0.24412	0.529902
a54	0.00424441	0.00689903	0.0106939	0.0134226	0.0412387	0.123278	0.252164	0.54806
a73	0.00156318	0.00240485	0.00601475	0.0105762	0.0345408	0.102538	0.260544	0.581818
a94	0.00144488	0.00229898	0.00565205	0.0104491	0.0298916	0.0926736	0.25418	0.60341
a34	0.00285519	0.00471374	0.00897521	0.0113055	0.0264844	0.0747464	0.223945	0.646974
a47	0.00417662	0.00658034	0.0128146	0.0182131	0.0364122	0.0864996	0.241756	0.593548
a98	0.00388013	0.0063616	0.011694	0.0157581	0.032123	0.079931	0.234593	0.61566
a71	0.00449886	0.00729074	0.0139683	0.0186291	0.0374428	0.0860109	0.243793	0.588366
a38	0.0145736	0.019293	0.0220722	0.0199021	0.041442	0.0880541	0.200841	0.593822
a24	0.0123961	0.0163583	0.0187226	0.0193128	0.0442527	0.10707	0.224506	0.557381
a9	0.0171414	0.0260287	0.0290125	0.0235354	0.0440972	0.10141	0.217554	0.541221
a87	0.0160189	0.0211157	0.0206047	0.0168964	0.0394972	0.091681	0.202333	0.591853
</S>	0.039648	0.0435742	0.0326545	0.0301902	0.0595059	0.137733	0.22294	0.433754
