 	je	ferme	la	porte	de	la	maison	</S>
a87	0.327186	0.20718	0.141868	0.12736	0.0802907	0.0519424	0.0384482	0.0257242
a23	0.388994	0.129555	0.0773364	0.0878253	0.114372	0.0831228	0.0680769	0.0507178
a97	0.378184	0.112143	0.0994672	0.0740325	0.0820966	0.0739004	0.0893516	0.0908238
a99	0.456696	0.220742	0.12203	0.0668816	0.0442706	0.0305754	0.0298283	0.0289763
a87	0.498837	0.222435	0.109294	0.0485223	0.0333249	0.0281931	0.0284246	0.0309695
a23	0.483948	0.219016	0.140046	0.0770171	0.033547	0.0191498	0.0147919	0.0124839
a87	0.473248	0.195456	0.154977	0.0877292	0.0377164	0.0221465	0.0156626	0.0130638
a23	0.381962	0.186724	0.167148	0.132371	0.0606774	0.031911	0.0225847	0.0166208
a83	0.467236	0.197111	0.158315	0.0900634	0.0393269	0.0223534	0.0141619	0.0114335
a54	0.17367	0.1376	0.109003	0.0776158	0.127306	0.14704	0.130044	0.097722
a5	0.0789656	0.0959282	0.128429	0.127951	0.170921	0.171003	0.137856	0.0889451
a12	0.097292	0.161457	0.205023	0.20544	0.127634	0.0833224	0.0676082	0.0522239
a62	0.0948921	0.129272	0.211269	0.236933	0.120442	0.0814999	0.0679564	0.0577348
a88	0.0911314	0.099139	0.168731	0.197333	0.114788	0.107728	0.111034	0.110117
a0	0.0768405	0.0612503	0.124482	0.182143	0.126945	0.136794	0.140917	0.150627
a61	0.0478162	0.0337888	0.0564333	0.120571	0.130219	0.169671	0.198058	0.243443
a75	0.0317322	0.0255101	0.0412616	0.0741755	0.115339	0.190342	0.239688	0.281952
a90	0.0379535	0.0276096	0.0356609	0.0511475	0.114489	0.165357	0.214653	0.353129
a9	0.00837009	0.00710576	0.0133829	0.02784	0.0974719	0.199556	0.261576	0.384698
a53	0.00183926	0.00109164	0.00212685	0.0094445	0.0476679	0.164542	0.304804	0.468484
a90	0.00149615	0.000946038	0.00138677	0.00359144	0.0291129	0.126334	0.252381	0.584752
a98	0.00101001	0.000664852	0.000921123	0.0030648	0.0284479	0.113805	0.250986	0.6011
a37	0.00083958	0.00059617	0.00110076	0.00290858	0.0215582	0.089346	0.242428	0.641223
a96	0.000185186	9.61609e-05	0.000135215	0.000508278	0.00903185	0.0580527	0.209015	0.722975
a66	0.000726459	0.000382339	0.000583416	0.00195435	0.0168954	0.074665	0.228089	0.676704
a47	0.0181896	0.00597268	0.00993322	0.0152225	0.0348987	0.107255	0.236323	0.572206
a88	0.0189687	0.00845148	0.0132184	0.0214833	0.0500412	0.13163	0.260313	0.495894
a9	0.00204759	0.000545321	0.000988886	0.00295342	0.0167432	0.0801352	0.231343	0.665243
a87	0.048977	0.0191815	0.02398	0.0256	0.0552008	0.122585	0.232759	0.471716
a23	0.235707	0.154161	0.124074	0.0727644	0.0660404	0.0830274	0.112804	0.151422
a87	0.0661661	0.045925	0.0339206	0.0202599	0.0522507	0.106889	0.216344	0.458244
</S>	0.0123344	0.00484234	0.00319562	0.00350864	0.0288397	0.0893329	0.232695	0.625252
