 	il	a	beaucoup	d'	amour	pour	sa	mère	</S>
a87	0.246846	0.17908	0.114117	0.088955	0.107828	0.0700203	0.0688613	0.0659016	0.0583901
a23	0.220674	0.139941	0.106985	0.0917042	0.0998278	0.0831702	0.0804962	0.0849573	0.0922445
a30	0.126526	0.110258	0.105161	0.0989201	0.106763	0.0889672	0.10089	0.125285	0.137229
a20	0.135149	0.139579	0.123776	0.10713	0.108224	0.0789266	0.0760203	0.103087	0.128107
a30	0.268465	0.211983	0.169874	0.100946	0.101402	0.0586339	0.0347662	0.0282943	0.0256359
a35	0.296233	0.215163	0.169226	0.0929089	0.101117	0.0541534	0.0305259	0.0228599	0.0178126
a66	0.302392	0.196337	0.154937	0.102065	0.104577	0.0606858	0.0328722	0.0249886	0.0211453
a38	0.233941	0.178496	0.139409	0.10298	0.114551	0.0794934	0.0531226	0.0502785	0.0477282
a26	0.190931	0.139011	0.120851	0.113558	0.117433	0.103068	0.0760582	0.0713322	0.0677578
a35	0.221628	0.158053	0.134743	0.110652	0.104998	0.0897435	0.0638514	0.05873	0.0576023
a76	0.209322	0.174181	0.156402	0.135674	0.125483	0.0903389	0.0469799	0.0335319	0.0280877
a90	0.175702	0.159806	0.149969	0.13736	0.139327	0.106459	0.0589206	0.0402605	0.0321963
a38	0.195655	0.149885	0.139226	0.133474	0.140239	0.0965248	0.0552896	0.0460913	0.043615
a26	0.148566	0.127534	0.112132	0.106417	0.125095	0.131814	0.105531	0.0805997	0.0623119
a35	0.100175	0.0966167	0.0912838	0.0926502	0.143083	0.14908	0.13003	0.108728	0.0883514
a83	0.0558896	0.0619887	0.062398	0.0824654	0.115697	0.154319	0.167397	0.16282	0.137025
a75	0.0222753	0.0227113	0.0228206	0.0325059	0.0617274	0.12765	0.201959	0.260088	0.248263
a14	0.0153328	0.0168815	0.0178578	0.0283071	0.0417195	0.105783	0.197539	0.28677	0.28981
a35	0.0128509	0.0140837	0.0156768	0.027275	0.0380696	0.106656	0.202753	0.293508	0.289126
a66	0.00566849	0.00710662	0.0084545	0.0142816	0.0208266	0.0617989	0.178124	0.330422	0.373317
a76	0.00318728	0.00394253	0.00506322	0.00984068	0.0196093	0.0640164	0.167654	0.314065	0.412622
a90	0.00279079	0.00403664	0.00571617	0.0128642	0.0159267	0.0529609	0.15707	0.328356	0.420278
a35	0.0083717	0.00813419	0.0085187	0.0156986	0.0244535	0.0643519	0.16801	0.313939	0.388522
a32	0.00232811	0.00302822	0.00397931	0.00916406	0.0152643	0.0458606	0.144118	0.321472	0.454785
a26	0.00190634	0.0020664	0.00285196	0.00600156	0.0133373	0.0440495	0.142736	0.320925	0.466125
a24	0.00307937	0.00300194	0.00416828	0.00749098	0.0149479	0.0404407	0.130213	0.319155	0.477503
a9	0.0012871	0.00134095	0.00188039	0.003982	0.00902431	0.0329093	0.124966	0.32079	0.503819
a87	0.00532224	0.00486679	0.00610232	0.00868923	0.0146366	0.0409963	0.124086	0.304627	0.490674
a23	0.00348197	0.00303364	0.00378738	0.00673111	0.010543	0.0483254	0.151566	0.322843	0.449689
a87	0.0147364	0.0148728	0.0150974	0.0234042	0.0284103	0.0774827	0.188999	0.30139	0.335608
</S>	0.0177906	0.016055	0.017892	0.0253727	0.0332545	0.0941213	0.17786	0.280869	0.336785
