 	on	a	arrêté	le	travail	à	midi	</S>
a85	0.353654	0.256397	0.123273	0.0730365	0.0564031	0.0497681	0.0471915	0.0402771
a87	0.337246	0.21467	0.130105	0.104261	0.0643368	0.0490537	0.0519422	0.0483856
a23	0.281085	0.217617	0.170682	0.118923	0.0644224	0.0464177	0.0452942	0.0555578
a38	0.267632	0.203077	0.140309	0.0832171	0.0535275	0.0484769	0.0729322	0.130829
a76	0.371846	0.323029	0.149049	0.0664114	0.037258	0.0222361	0.0169086	0.013262
a41	0.200483	0.246775	0.298816	0.17282	0.0591471	0.0124933	0.00535714	0.00410861
a43	0.215439	0.254638	0.284579	0.16516	0.0539047	0.0143199	0.00663892	0.00532004
a26	0.208467	0.202036	0.203818	0.200075	0.101682	0.0416876	0.0221312	0.0201029
a0	0.186521	0.163699	0.158263	0.191837	0.155362	0.0764837	0.0371409	0.0306949
a24	0.156491	0.138564	0.13372	0.178871	0.164852	0.10603	0.0651139	0.0563586
a43	0.149058	0.149605	0.160789	0.182068	0.134232	0.0899869	0.0716325	0.0626279
a11	0.0792669	0.082265	0.110205	0.160632	0.159939	0.138557	0.135901	0.133234
a75	0.0555392	0.0597839	0.0798323	0.130616	0.173745	0.179185	0.167784	0.153515
a41	0.0574668	0.0488334	0.0490221	0.0713921	0.114419	0.216104	0.248536	0.194227
a73	0.0301374	0.0258092	0.0303782	0.0590316	0.136527	0.243382	0.267854	0.206881
a98	0.0300129	0.0209934	0.0176033	0.0248698	0.0713984	0.204426	0.316531	0.314165
a73	0.0213639	0.0131002	0.0101185	0.014039	0.048706	0.170477	0.320267	0.401928
a94	0.0183754	0.0108167	0.0074075	0.00977775	0.0325868	0.136913	0.337885	0.446237
a24	0.00849816	0.00449063	0.00287603	0.00376955	0.0102492	0.0593266	0.268848	0.641942
a32	0.00540889	0.00283736	0.00267609	0.00528097	0.0184177	0.0862242	0.279234	0.599921
a71	0.00461014	0.0024823	0.00262597	0.00496269	0.0181537	0.0806344	0.275151	0.61138
a38	0.0060932	0.00261456	0.00185403	0.00295704	0.0109997	0.0587818	0.239061	0.677639
a24	0.0051189	0.00222117	0.00184808	0.00373223	0.0154076	0.0680136	0.239243	0.664416
a25	0.00260202	0.00117973	0.00130057	0.0030093	0.0129801	0.0662429	0.24948	0.663205
a10	0.00465915	0.00194576	0.00168986	0.00363354	0.0157457	0.0750173	0.254872	0.642437
a87	0.00649545	0.00328851	0.00291089	0.00542542	0.0152117	0.064763	0.225014	0.676891
</S>	0.0106392	0.00724268	0.0070591	0.011395	0.0233979	0.0675969	0.215601	0.657068
