 	les	feuilles	de	manioc	qu'	elle	est	en	train	de	piler	ne	sont	pas	encore	assez	écrasées	</S>
a10	0.084751	0.0433309	0.0252191	0.023354	0.0310137	0.0438353	0.0516651	0.0536445	0.0662924	0.0586442	0.0760913	0.0666678	0.0754291	0.13027	0.0732781	0.0399192	0.0328943	0.0237005
a87	0.0748302	0.0393884	0.0274592	0.030595	0.0376452	0.0474409	0.0587389	0.0603979	0.0603797	0.0462987	0.051051	0.0705328	0.0580484	0.0706947	0.0552569	0.0477388	0.0902725	0.0732309
a10	0.0786538	0.0547412	0.0474143	0.0520612	0.0564502	0.0590274	0.0614514	0.046339	0.0394194	0.0270505	0.0385911	0.0626455	0.068255	0.095037	0.0677499	0.0464128	0.0554022	0.0432983
a82	0.0749	0.0500832	0.0476067	0.0600593	0.0639675	0.0399627	0.0332677	0.0250916	0.0272546	0.01982	0.035112	0.0658895	0.0844642	0.113828	0.0892723	0.0678769	0.0584509	0.0430924
a40	0.0730967	0.0509577	0.0454426	0.053378	0.0478047	0.0293347	0.0229074	0.0181012	0.0202687	0.0153776	0.0232047	0.0498653	0.0760254	0.126698	0.113448	0.0943665	0.0825573	0.0571654
a5	0.182827	0.16173	0.108723	0.0815905	0.0457845	0.0462167	0.0357035	0.0299099	0.030861	0.0232017	0.0246277	0.0356642	0.039667	0.0493206	0.0387842	0.0236826	0.0181642	0.023542
a12	0.193601	0.22163	0.184665	0.121481	0.0628679	0.033678	0.0249266	0.0200849	0.0214928	0.0148139	0.0159605	0.016556	0.0181289	0.0180822	0.0110431	0.00665243	0.00660739	0.00772913
a5	0.177566	0.202257	0.189618	0.132752	0.0743125	0.0394572	0.0285706	0.0243798	0.0261259	0.0176676	0.0189683	0.01576	0.0153924	0.0137673	0.00761852	0.00450079	0.00466818	0.00661828
a6	0.0973642	0.105878	0.126959	0.124221	0.097513	0.0629919	0.0536625	0.0534197	0.0534078	0.0357003	0.0368599	0.0326463	0.032039	0.0272567	0.0154975	0.0112843	0.0136143	0.0196844
a37	0.0603943	0.0590516	0.0747243	0.0948674	0.099144	0.0814456	0.0786925	0.0764182	0.0796474	0.0523426	0.0513712	0.0426578	0.0383927	0.0295744	0.0183475	0.0156146	0.0199181	0.0273961
