 	je	ne	bougerai	pas	d'	ici	</S>
a85	0.495272	0.201726	0.127514	0.0667397	0.0469897	0.03477	0.026989
a87	0.498386	0.196686	0.105199	0.0755494	0.0456242	0.0358367	0.0427183
a23	0.378192	0.249919	0.117501	0.0801996	0.0583549	0.0474961	0.0683372
a83	0.361753	0.304995	0.175157	0.0605903	0.02582	0.0219567	0.0497286
a38	0.436784	0.317289	0.167543	0.055777	0.0130607	0.00563387	0.00391248
a26	0.294468	0.345548	0.247712	0.0821679	0.0174463	0.00696547	0.00569146
a32	0.196726	0.207012	0.20361	0.207752	0.0903579	0.0469601	0.0475824
a26	0.189743	0.209781	0.194055	0.198522	0.0991832	0.0522291	0.0564863
a43	0.219192	0.231854	0.204852	0.167703	0.0752945	0.0463142	0.0547902
a75	0.202728	0.216192	0.207266	0.184857	0.0884074	0.053043	0.047507
a25	0.190993	0.171364	0.150918	0.206963	0.132572	0.0838161	0.0633746
a94	0.161162	0.146989	0.121068	0.208897	0.151776	0.112065	0.0980431
a58	0.0899781	0.0841581	0.0721183	0.16459	0.196308	0.202467	0.19038
a38	0.0292634	0.0287433	0.0313793	0.0869165	0.197563	0.279548	0.346587
a11	0.0286606	0.0207658	0.0254331	0.0804126	0.184837	0.292084	0.367807
a26	0.0176042	0.0150644	0.0232654	0.0516491	0.132048	0.274472	0.485896
a35	0.010479	0.00770683	0.0099827	0.031378	0.10465	0.247391	0.588413
a14	0.00534614	0.00263608	0.00303041	0.00994647	0.0533621	0.235281	0.690398
a30	0.00827614	0.00420963	0.00532999	0.0212069	0.110663	0.309159	0.541155
a40	0.00717962	0.00358794	0.00405724	0.00973931	0.042854	0.216961	0.715621
a85	0.00644473	0.00380242	0.00385299	0.0136087	0.0687118	0.253756	0.649823
a14	0.0100347	0.00689158	0.0065959	0.020374	0.0962622	0.297448	0.562394
a30	0.00893628	0.00487939	0.00564701	0.0227161	0.110669	0.323776	0.523377
a2	0.00672213	0.00445514	0.00722892	0.0192592	0.077989	0.275297	0.609049
a57	0.00253124	0.00165299	0.00226993	0.00709642	0.0320495	0.18536	0.76904
a87	0.00942892	0.00833102	0.00861086	0.0199985	0.0438585	0.166107	0.743665
</S>	0.010657	0.0116349	0.0139736	0.0250365	0.0610588	0.208865	0.668774
