 	ma	mère	est	originaire	de	ngae	</S>
a66	0.400431	0.177209	0.12897	0.100371	0.0930444	0.058713	0.0412618
a87	0.469652	0.218726	0.128639	0.0739931	0.0547132	0.0270222	0.0272545
a97	0.361747	0.237712	0.173727	0.0920095	0.056757	0.0380906	0.0399573
a23	0.319716	0.2161	0.178584	0.117537	0.0654444	0.0518703	0.0507497
a79	0.420342	0.210853	0.139534	0.0806068	0.0554846	0.0419463	0.0512335
a4	0.387802	0.269694	0.186942	0.0664382	0.0386021	0.0256846	0.0248368
a53	0.334973	0.30968	0.188497	0.0784978	0.0415954	0.0225385	0.0242184
a90	0.198385	0.237114	0.174257	0.133345	0.106491	0.064759	0.0856487
a15	0.137158	0.169904	0.1473	0.154284	0.144983	0.101766	0.144605
a79	0.0954853	0.138938	0.150005	0.178167	0.16481	0.12413	0.148465
a94	0.0945352	0.110675	0.130062	0.186883	0.183605	0.139692	0.154547
a98	0.059641	0.0759496	0.103395	0.187159	0.199859	0.179686	0.194311
a79	0.0440935	0.0651942	0.10387	0.206725	0.231682	0.172235	0.1762
a93	0.0359618	0.0568452	0.103858	0.216301	0.247061	0.180043	0.159931
a75	0.029547	0.0439367	0.0797544	0.177557	0.244219	0.227787	0.197199
a92	0.0125	0.019079	0.0437522	0.161489	0.269303	0.272861	0.221016
a79	0.00771993	0.0122441	0.0285067	0.113524	0.233888	0.323652	0.280465
a37	0.00901546	0.015625	0.0392965	0.126619	0.22763	0.288827	0.292987
a54	0.00201283	0.00387678	0.0090154	0.0308684	0.113374	0.322994	0.517859
a85	0.00179907	0.00341455	0.00765367	0.022292	0.0866585	0.313706	0.564476
a5	0.00106152	0.00208082	0.00487981	0.0177319	0.0739223	0.293518	0.606805
a18	0.0020891	0.00326308	0.00525585	0.0119775	0.0467343	0.258369	0.672311
a25	0.00336763	0.00652115	0.0133788	0.0239076	0.0809405	0.336972	0.534912
a3	0.00860795	0.0145305	0.0273925	0.0437989	0.107505	0.300429	0.497736
a87	0.027228	0.0210743	0.0246273	0.0426151	0.121755	0.313547	0.449154
a97	0.0617597	0.0417594	0.0473277	0.0758938	0.16316	0.287984	0.322116
a99	0.0700793	0.0480212	0.0390327	0.0529251	0.1049	0.245583	0.439459
a97	0.0156344	0.0157863	0.0182983	0.0394331	0.107721	0.255066	0.548061
a30	0.0215502	0.0232824	0.0306828	0.0527078	0.102136	0.221404	0.548237
</S>	0.03798	0.0408747	0.0455601	0.0593221	0.0989908	0.203631	0.513642
