 	si	tu	ne	bouges	pas	je	ne	te	ferai	pas	de	mal	</S>
a23	0.188123	0.109385	0.0712179	0.0680398	0.0718601	0.0830677	0.069735	0.0632258	0.056766	0.0505191	0.0534744	0.0582037	0.0563819
a79	0.194068	0.160013	0.111036	0.124671	0.1162	0.0973364	0.0409687	0.0261745	0.0113889	0.0130627	0.0234674	0.0354383	0.0461748
a54	0.343201	0.185878	0.0878406	0.0558483	0.0476748	0.047724	0.0329578	0.0267087	0.0256429	0.0236838	0.0304194	0.0392016	0.0532197
a47	0.541768	0.231212	0.0651966	0.0286472	0.0229614	0.020769	0.0113882	0.00975144	0.00884423	0.00946041	0.0122908	0.0159711	0.0217397
a92	0.337401	0.258433	0.116279	0.0619377	0.0431592	0.0368974	0.0192876	0.0155797	0.0168252	0.0167462	0.0194614	0.0249348	0.0330572
a37	0.236732	0.222368	0.13224	0.0839487	0.0689531	0.072714	0.0457521	0.0319007	0.0265607	0.0170732	0.016961	0.0198175	0.0249792
a75	0.185971	0.207845	0.151117	0.128039	0.0986801	0.0851039	0.0400845	0.0236326	0.018075	0.0110391	0.0118213	0.0159043	0.022688
a37	0.113885	0.1357	0.130837	0.131735	0.107103	0.104264	0.0723017	0.0516941	0.0467142	0.0266316	0.0224207	0.0243509	0.0323629
a0	0.0959966	0.12536	0.144117	0.162184	0.121975	0.110202	0.0708897	0.0503475	0.037609	0.0234088	0.0182449	0.0179898	0.0216763
a61	0.0522009	0.089491	0.137642	0.176242	0.148463	0.13288	0.0773371	0.0542268	0.0386352	0.0251342	0.0210856	0.0217013	0.0249617
a75	0.0365784	0.0641847	0.108493	0.165736	0.143415	0.134701	0.102193	0.0713314	0.0630325	0.0368768	0.0244594	0.0232632	0.0257358
a85	0.0187934	0.0330338	0.0705106	0.11542	0.097688	0.0992375	0.113668	0.0963706	0.110355	0.0858179	0.0564742	0.0479929	0.054638
a6	0.0227721	0.0404245	0.0724368	0.113716	0.0910786	0.0915704	0.0888099	0.0929325	0.108376	0.0907251	0.0642901	0.0570266	0.0658413
a36	0.026607	0.039319	0.082134	0.136972	0.108702	0.105369	0.112334	0.106168	0.0930775	0.0672606	0.0403306	0.0355287	0.0461979
a2	0.0366127	0.0374274	0.0653228	0.110659	0.123405	0.129584	0.143753	0.126911	0.0746604	0.0479749	0.0288792	0.0318143	0.0429967
a75	0.0285924	0.035121	0.0779595	0.132524	0.137876	0.108953	0.118974	0.0843394	0.0532787	0.0349484	0.0288456	0.0524764	0.106112
a85	0.0224997	0.0260452	0.0438257	0.0820665	0.0714509	0.0701315	0.10909	0.0990294	0.101103	0.100732	0.0765213	0.0809877	0.116517
a47	0.0256366	0.0281492	0.0448629	0.0760539	0.0666778	0.065674	0.0871866	0.0888283	0.0961201	0.105787	0.0851624	0.0965744	0.133286
a36	0.0333564	0.0314713	0.0485653	0.0728993	0.0637348	0.0651987	0.0980035	0.108025	0.109651	0.103123	0.0730387	0.0822849	0.110648
a2	0.040984	0.0389347	0.0586859	0.0843877	0.0833474	0.0764432	0.114665	0.101775	0.0710381	0.0619478	0.0486698	0.0766904	0.142431
a57	0.027345	0.0297295	0.0543516	0.109502	0.102099	0.070441	0.0755004	0.0520531	0.0370803	0.0386619	0.04835	0.111	0.243887
a9	0.0219561	0.0191725	0.0344884	0.0807287	0.0874306	0.0694116	0.0738396	0.0705542	0.0591381	0.0632005	0.0680108	0.119372	0.232697
a87	0.0223794	0.0176889	0.0249437	0.0548935	0.0727796	0.0719167	0.0766038	0.0850953	0.0786941	0.0838569	0.0870352	0.125874	0.198239
a83	0.095965	0.0586884	0.0387072	0.0434718	0.0534038	0.0451232	0.0371394	0.0439088	0.0427907	0.0737028	0.104856	0.145143	0.2171
a71	0.0246602	0.0237282	0.0223236	0.0240751	0.0300828	0.0349989	0.0368068	0.0537794	0.0489092	0.0768103	0.138447	0.204979	0.2804
a61	0.0097876	0.0100323	0.0107785	0.015786	0.0246823	0.0355313	0.0612779	0.078237	0.107934	0.147331	0.163559	0.159222	0.175842
a75	0.00458733	0.00505032	0.0091305	0.0140689	0.0177365	0.0198059	0.0329297	0.045243	0.0685814	0.0973899	0.153693	0.226644	0.305139
a37	0.0122479	0.0142801	0.0275956	0.0460159	0.0480911	0.0436326	0.0571709	0.0603427	0.0632084	0.0778361	0.113526	0.180361	0.255692
a26	0.00214144	0.00270401	0.00720909	0.0156207	0.0160053	0.015416	0.0287474	0.0328141	0.0422236	0.0651504	0.132584	0.249109	0.390275
a75	0.00149502	0.00180045	0.00416461	0.0112472	0.0130939	0.0126086	0.0239199	0.0267825	0.0347679	0.058303	0.119314	0.254544	0.437959
a37	0.00539842	0.00696584	0.0136797	0.0269047	0.0264147	0.0233782	0.0404043	0.0429554	0.04751	0.0729066	0.116084	0.216135	0.361263
a92	0.00198486	0.00238241	0.00580342	0.0132197	0.0125419	0.0110817	0.0218475	0.0229101	0.026246	0.0499708	0.117489	0.260113	0.454409
a44	0.0059821	0.00758648	0.0160796	0.0315061	0.0298287	0.0261559	0.0424511	0.0433491	0.0437048	0.0737418	0.131133	0.218082	0.330399
a26	0.00177001	0.00223062	0.00569009	0.0128862	0.0124067	0.0110103	0.0196047	0.0202629	0.0214244	0.0439414	0.111462	0.265178	0.472133
a75	0.00393582	0.00432176	0.00662753	0.0136893	0.0141941	0.0125084	0.0230932	0.0231627	0.0263133	0.0615954	0.119711	0.242387	0.448461
a47	0.00522095	0.00586654	0.0109996	0.0195694	0.0186603	0.017149	0.0310232	0.0332685	0.0337643	0.0665215	0.136629	0.246116	0.375212
a0	0.00603729	0.00702248	0.0137977	0.0258874	0.0188541	0.0138263	0.0235681	0.021628	0.0262633	0.0635117	0.126553	0.237291	0.41576
a75	0.00526154	0.00611384	0.0097411	0.0209306	0.0200857	0.0163866	0.0269817	0.0257604	0.0330351	0.07248	0.119409	0.221542	0.422272
a36	0.00438971	0.00551331	0.0105061	0.0192036	0.0180698	0.0175901	0.0335048	0.0348334	0.0376273	0.0805863	0.147389	0.237764	0.353022
a27	0.00393588	0.00532363	0.01048	0.0267721	0.0212893	0.0153577	0.0237964	0.0193794	0.0254204	0.0576282	0.120663	0.226989	0.442966
a54	0.0392615	0.0392811	0.037901	0.0464618	0.0386312	0.0330078	0.0442025	0.0505961	0.0657378	0.11282	0.122436	0.14997	0.219694
a36	0.014112	0.0163444	0.0215818	0.0395356	0.038417	0.0319259	0.0420346	0.0411658	0.04229	0.0825243	0.122602	0.200062	0.307405
a26	0.00815834	0.009808	0.013249	0.0242096	0.0217652	0.0202328	0.0384605	0.034497	0.0457757	0.0890946	0.13981	0.214318	0.340621
a30	0.0259738	0.0223817	0.0192904	0.0229567	0.0222465	0.0215226	0.0299946	0.0357359	0.0490876	0.101853	0.149025	0.202169	0.297763
a82	0.0313261	0.0283257	0.0244792	0.0342763	0.0359331	0.034766	0.0388073	0.0439307	0.0481509	0.103646	0.135936	0.186661	0.253762
a38	0.0287267	0.0255498	0.0267333	0.0450947	0.0463769	0.0428636	0.0464381	0.0497784	0.0451487	0.0893971	0.12399	0.17859	0.251312
a9	0.0255435	0.0224228	0.0241101	0.0463558	0.044821	0.0436679	0.0516499	0.0489554	0.05016	0.0907959	0.110981	0.178207	0.26233
a3	0.0178349	0.018527	0.0261251	0.0588347	0.0558427	0.0501171	0.0532453	0.0497163	0.0463644	0.0793179	0.104027	0.170427	0.26962
a97	0.0256792	0.0256752	0.0346617	0.0625478	0.0554118	0.0467197	0.0462658	0.048403	0.0433044	0.0724086	0.104078	0.169624	0.265221
</S>	0.044447	0.0429607	0.0502099	0.0725911	0.0675942	0.0569692	0.0486747	0.0519782	0.0460582	0.0610456	0.0835135	0.13889	0.235068
