 	avec	la	manière	dont	il	se	bat	pour	creuser	le	trou	il	n'	ira	pas	loin	</S>
a66	0.11498	0.0744284	0.0474045	0.0507851	0.0939056	0.118002	0.0952029	0.0873561	0.0686664	0.0593699	0.0458144	0.0469199	0.0386813	0.0258739	0.014458	0.0106056	0.00754668
a87	0.204248	0.133737	0.0881895	0.0596414	0.0376797	0.0321316	0.0313024	0.0349331	0.0541926	0.0568503	0.0515944	0.0540772	0.0525883	0.0338962	0.0234657	0.02845	0.0230221
a23	0.253734	0.154258	0.12222	0.0978006	0.0599792	0.0294727	0.023856	0.0230215	0.042559	0.0331049	0.0334862	0.0324594	0.02354	0.0142742	0.0135173	0.019794	0.0229227
a50	0.173991	0.174418	0.201217	0.122362	0.0381405	0.0224944	0.0222893	0.028518	0.045998	0.0406949	0.0350195	0.0263165	0.015941	0.0109508	0.00946119	0.0135684	0.0186186
a43	0.188134	0.166686	0.16307	0.104429	0.0501298	0.0350841	0.0322566	0.0361973	0.0495486	0.0436732	0.0304366	0.0206851	0.0153101	0.0131865	0.0127219	0.0178816	0.0205695
a96	0.18488	0.252279	0.234957	0.138229	0.0490012	0.0239813	0.0179925	0.0187683	0.0228134	0.02052	0.0102486	0.00643541	0.00424857	0.00355959	0.00340301	0.00431236	0.0043708
a4	0.110101	0.215067	0.303138	0.168169	0.0566691	0.02335	0.0179029	0.0172168	0.0209283	0.0201336	0.0140728	0.00948393	0.00560069	0.00406524	0.00413348	0.00491145	0.00505668
a93	0.0840289	0.169253	0.258931	0.185487	0.0941374	0.0388017	0.028841	0.0238231	0.0242265	0.0252081	0.0207068	0.0149952	0.00873422	0.00566439	0.00518295	0.00574333	0.00623551
a35	0.0696181	0.129375	0.227665	0.211486	0.126008	0.048168	0.032944	0.0258023	0.0252149	0.0282707	0.0252317	0.0190227	0.010353	0.00591813	0.00480372	0.00476522	0.00535359
a21	0.0537895	0.100476	0.185066	0.188142	0.136584	0.0621875	0.0417413	0.0328074	0.0321814	0.0400988	0.0358723	0.0258793	0.0169479	0.0106334	0.0108916	0.011869	0.0148326
