 	il	n'	a	pas	cuit	le	boisson	à	la	braise	il	en	a	fait	un	bouillon	</S>
a23	0.117277	0.109594	0.105847	0.129997	0.12011	0.0961423	0.0602937	0.0374993	0.0307843	0.0325541	0.0323814	0.0397522	0.0352793	0.0187872	0.0145928	0.0125124	0.00659627
a30	0.128787	0.0854158	0.0578486	0.0518662	0.033979	0.028332	0.0221424	0.0162748	0.0147203	0.0115268	0.0178698	0.040514	0.0746663	0.102855	0.13803	0.134939	0.0402321
a53	0.0864268	0.076277	0.05976	0.0571253	0.050403	0.041515	0.033899	0.0292361	0.0242199	0.0182232	0.0242929	0.0310956	0.039301	0.0509227	0.109162	0.170713	0.0974271
a20	0.196722	0.155858	0.0903998	0.0629936	0.046666	0.0345591	0.029871	0.0187776	0.0174676	0.0174832	0.0238993	0.0408374	0.0463579	0.0429124	0.0546103	0.0747138	0.0458707
a15	0.23436	0.188307	0.110443	0.0718918	0.0443873	0.0350276	0.0280685	0.014759	0.0119735	0.0105184	0.0113802	0.0151691	0.0171268	0.0209931	0.0389516	0.0758969	0.0707463
a6	0.184393	0.16212	0.107003	0.0770995	0.0563306	0.047068	0.0370728	0.0241454	0.0190705	0.0156887	0.014693	0.0167432	0.0170056	0.0197571	0.030174	0.0724373	0.0991975
a37	0.111723	0.131888	0.110329	0.0920011	0.0733763	0.0672878	0.0545354	0.0423082	0.0321409	0.0234231	0.0200169	0.0206258	0.0164358	0.0174979	0.0237346	0.063907	0.0987689
a75	0.0883273	0.11349	0.117165	0.120192	0.105653	0.104416	0.0763235	0.0520945	0.0338155	0.022943	0.0180706	0.016801	0.0117302	0.0108257	0.0143313	0.0419313	0.0518899
a47	0.0603569	0.074843	0.0807993	0.0835206	0.0824495	0.102054	0.0938334	0.0865838	0.0672079	0.0594857	0.044942	0.0341409	0.0155537	0.0115024	0.0144477	0.038419	0.0498602
a0	0.0829446	0.105712	0.110624	0.111156	0.0863058	0.0910394	0.0761579	0.0664769	0.0538389	0.0491274	0.0361759	0.0275972	0.0149951	0.0103051	0.0105706	0.0252037	0.0417699
a56	0.0609031	0.0770081	0.104483	0.135528	0.116641	0.115457	0.0816854	0.0631374	0.0483489	0.046494	0.0385174	0.0302248	0.0175309	0.0100842	0.00841587	0.018515	0.0270267
a94	0.0408672	0.0504088	0.0689732	0.0924457	0.0997056	0.118478	0.0985441	0.102301	0.0887994	0.0815437	0.0576272	0.0384393	0.0155662	0.00800452	0.00580756	0.0113036	0.0211855
a38	0.0258245	0.0312702	0.0428117	0.0670952	0.0924168	0.10944	0.106137	0.122318	0.111642	0.102827	0.0743548	0.0486982	0.0205664	0.00916502	0.00574263	0.0103879	0.0193029
a83	0.018015	0.0227314	0.0306116	0.049236	0.0743524	0.0935276	0.110836	0.138502	0.129823	0.11797	0.0841407	0.0545008	0.0227773	0.0100979	0.00627525	0.0120468	0.0245561
a90	0.0201944	0.0247192	0.032538	0.0471016	0.0674964	0.0842154	0.098168	0.136414	0.136745	0.131204	0.0949067	0.0585426	0.0215073	0.00860995	0.00521482	0.00990561	0.0225168
a79	0.0222678	0.025374	0.0288332	0.0339866	0.0402724	0.0509462	0.0602928	0.113769	0.147949	0.17705	0.138688	0.08115	0.0284953	0.0111786	0.00575646	0.00919584	0.0247946
a7	0.0316783	0.0347968	0.0386549	0.0440673	0.0446251	0.0498821	0.0497715	0.0978366	0.146727	0.172803	0.131212	0.0776185	0.0304253	0.0121933	0.00569677	0.00872624	0.0232858
a40	0.0128633	0.0146837	0.018573	0.0288	0.0443776	0.0540391	0.065894	0.114582	0.156212	0.184751	0.13626	0.0783679	0.0280019	0.00957485	0.00580154	0.0146744	0.0325435
a75	0.0220784	0.02407	0.0281169	0.0350491	0.0460203	0.0537539	0.0559828	0.105429	0.142085	0.176791	0.139625	0.0818074	0.0294044	0.010935	0.00595515	0.0138727	0.0290236
a47	0.0423324	0.0459844	0.0482652	0.0520494	0.0551826	0.0572653	0.0514786	0.0828593	0.112563	0.141803	0.113773	0.0716688	0.0305156	0.0164195	0.011586	0.0227715	0.0434818
a36	0.034647	0.0385913	0.0411092	0.0508155	0.0590722	0.0642753	0.0664382	0.105564	0.138039	0.147836	0.100307	0.0584558	0.0227313	0.0098438	0.00667198	0.0173345	0.0382669
a2	0.0193838	0.0183782	0.018938	0.0243177	0.0417231	0.0595935	0.0815548	0.10695	0.122814	0.157272	0.12116	0.0797252	0.0299107	0.0116352	0.0100305	0.0365869	0.0600254
a57	0.0392337	0.0331304	0.033162	0.0378257	0.0574512	0.0701509	0.0877586	0.11688	0.113584	0.0994077	0.0766725	0.0514894	0.0217422	0.0166632	0.0226063	0.0632417	0.0590004
a87	0.0322128	0.0188441	0.0162644	0.0180278	0.0247569	0.0283356	0.0367657	0.0580701	0.0632385	0.0578983	0.0541456	0.050278	0.0465482	0.0546865	0.0977343	0.226231	0.115962
a40	0.0261185	0.0134755	0.00960743	0.0114295	0.0128232	0.00992367	0.0144267	0.00963969	0.00860089	0.007451	0.0105826	0.018248	0.0325624	0.0480607	0.132653	0.401623	0.232774
a36	0.0269088	0.0206167	0.0187989	0.0229759	0.0282585	0.0260133	0.0240907	0.0194368	0.0184848	0.0226906	0.0249464	0.0262354	0.0253492	0.027425	0.0810615	0.311857	0.27485
a26	0.00240935	0.00298742	0.0048406	0.010016	0.0273715	0.0427084	0.0619663	0.0723833	0.0666486	0.0808463	0.0676269	0.0475416	0.0304531	0.0306097	0.0453375	0.176615	0.229638
a62	0.00153164	0.00166339	0.00240186	0.00456989	0.0134722	0.0268786	0.0561913	0.0806406	0.0830233	0.089074	0.0788845	0.0631761	0.0390142	0.0349591	0.038453	0.141284	0.244783
a96	0.00293307	0.00304234	0.00395926	0.00625754	0.0153596	0.0302896	0.0551931	0.0861647	0.0995992	0.0993082	0.0876801	0.0758486	0.0439643	0.0401531	0.0402275	0.0982567	0.211763
a83	0.00399449	0.00439188	0.00563767	0.00842205	0.0163178	0.0279255	0.0527894	0.0858684	0.0982025	0.0891441	0.070462	0.0488532	0.0318479	0.0379098	0.0525673	0.124682	0.240984
a75	0.00357129	0.00374888	0.00470479	0.00696652	0.0141472	0.0252898	0.0477431	0.0788032	0.0927295	0.0849337	0.0700876	0.051228	0.0347847	0.0419161	0.0555156	0.132505	0.251325
a21	0.0079124	0.00889957	0.0117089	0.0166104	0.0283446	0.0402707	0.0634822	0.100164	0.12296	0.12064	0.0910992	0.0520981	0.032462	0.027591	0.0337971	0.0863358	0.155623
a12	0.0072263	0.00761648	0.00923265	0.0130582	0.0234076	0.029933	0.044773	0.0738691	0.0956175	0.10005	0.0861455	0.0553618	0.039547	0.0405885	0.0607301	0.133992	0.178851
a75	0.00378295	0.00366285	0.00424445	0.00559159	0.0102169	0.0163881	0.0301284	0.0638516	0.0963855	0.114881	0.0970013	0.0613338	0.0379638	0.0426112	0.0621468	0.146602	0.203207
a6	0.00646623	0.0073626	0.00966856	0.0147939	0.0269658	0.0369249	0.0516285	0.0874607	0.115956	0.114638	0.0857414	0.050352	0.0312471	0.0256138	0.0341169	0.109596	0.191468
a37	0.0022807	0.00255336	0.00355907	0.00563116	0.0135928	0.0241096	0.0429826	0.0886176	0.11864	0.129329	0.0955736	0.0506269	0.0260145	0.0239728	0.0355454	0.12175	0.21522
a38	0.0014811	0.00134085	0.00171647	0.00240432	0.00490424	0.00993929	0.0195719	0.0484126	0.0660944	0.0895291	0.0717697	0.0434424	0.024636	0.0371342	0.0711273	0.24101	0.265486
a9	0.00164417	0.00138567	0.0016358	0.00221717	0.00417951	0.00788653	0.0153103	0.040291	0.0546646	0.0699923	0.0577328	0.0395958	0.0249623	0.0405972	0.0819345	0.271557	0.284413
a10	0.00968029	0.00752182	0.00906356	0.0110998	0.0159948	0.0175218	0.019354	0.0326145	0.0489881	0.0627187	0.0723615	0.0619991	0.0571313	0.0660456	0.116766	0.166647	0.224492
a87	0.018616	0.0105081	0.0109515	0.0131867	0.014886	0.0136368	0.0175549	0.0224228	0.0311965	0.0402349	0.0468238	0.0506697	0.0782846	0.103808	0.156782	0.184753	0.185685
a23	0.0173677	0.00965332	0.0103628	0.0152915	0.0214641	0.0193544	0.0301885	0.0287445	0.02802	0.0329601	0.0441281	0.0569306	0.0934695	0.1031	0.120147	0.182033	0.186784
a87	0.00416791	0.00288619	0.00307037	0.00503064	0.00823203	0.0110085	0.0251874	0.0294832	0.0281615	0.0286527	0.0355668	0.0406594	0.0534862	0.0704754	0.126909	0.242588	0.284434
</S>	0.00237117	0.00163009	0.00184901	0.00314077	0.00455427	0.00563391	0.0112508	0.0153652	0.0135753	0.0151438	0.0159893	0.0194072	0.0286532	0.0499451	0.134281	0.35355	0.32366
