 	on	ne	se	courbe	pas	avec	la	tête	dans	les	genoux	en	montrant	ses	fesses	nues	devant	son	frère	ou	sa	soeur	</S>
a66	0.048068	0.033071	0.0249829	0.0335766	0.0346146	0.0338105	0.037021	0.0530675	0.0538883	0.0871447	0.202803	0.128295	0.093532	0.0513414	0.0337304	0.0196499	0.00766717	0.00588325	0.00418923	0.00375846	0.00325297	0.00322552	0.00342632
a87	0.0541091	0.0320575	0.0247689	0.0351971	0.0459529	0.0562677	0.0567025	0.0543592	0.0551818	0.0677409	0.0782356	0.070869	0.0505564	0.0584304	0.0486544	0.0363843	0.0252499	0.0264063	0.0228469	0.0251031	0.0219168	0.0250212	0.0279881
a23	0.218329	0.128157	0.0786969	0.0359653	0.0239787	0.0235807	0.0363722	0.056172	0.0494681	0.0629825	0.0714727	0.0466843	0.0190076	0.0195377	0.0144226	0.0169734	0.0122289	0.0105618	0.0102471	0.00864599	0.0150422	0.0176005	0.0238727
a87	0.196368	0.114362	0.105591	0.0625747	0.036563	0.0255578	0.0345147	0.058018	0.046509	0.0541716	0.0378569	0.0258762	0.0141679	0.017905	0.0223084	0.0478541	0.0253603	0.0178274	0.0123021	0.008903	0.0093719	0.010147	0.0158909
a23	0.141506	0.0932382	0.089556	0.0562892	0.0305659	0.0205699	0.0280555	0.0502274	0.0406899	0.0481523	0.0363736	0.0286477	0.0224335	0.0331786	0.0400532	0.0661846	0.03958	0.0332462	0.02492	0.0177068	0.0180729	0.0183494	0.0224031
a40	0.117997	0.0665906	0.0508257	0.0271659	0.0163315	0.0118167	0.0156019	0.0255517	0.0227429	0.0380374	0.0366753	0.0454166	0.0492762	0.0489044	0.04627	0.0744177	0.0421707	0.0518926	0.0408575	0.0384242	0.037857	0.040127	0.055049
a41	0.195008	0.12376	0.0507825	0.0274027	0.0224198	0.0175863	0.0206074	0.0294945	0.0274489	0.0436149	0.0748468	0.0772472	0.0666808	0.0350854	0.0236127	0.0256702	0.0111284	0.0125976	0.0114901	0.0159254	0.022835	0.0268394	0.0379159
a66	0.100722	0.0861527	0.0370844	0.062823	0.0505812	0.0340393	0.0315188	0.0381749	0.0355777	0.0412469	0.0609357	0.0726893	0.0695575	0.0376589	0.0303686	0.0320859	0.0206518	0.0216436	0.0170636	0.0219687	0.024196	0.0295931	0.0436659
a62	0.0777774	0.0968449	0.0856421	0.100603	0.0788299	0.0523438	0.0442891	0.0410898	0.0332533	0.0209304	0.018465	0.0227078	0.0298522	0.0275754	0.0342852	0.0354702	0.0361418	0.0361784	0.0276021	0.0239497	0.0210539	0.0222778	0.0328373
a75	0.0627546	0.0862809	0.0906521	0.101251	0.0893205	0.0660593	0.0556608	0.0475118	0.0380393	0.0209609	0.0170793	0.0170717	0.0199834	0.0214654	0.0304758	0.0361899	0.0423869	0.0385283	0.0280459	0.021058	0.0193988	0.0208776	0.028948
a25	0.0412883	0.056884	0.0724041	0.104062	0.0978705	0.0746483	0.0645128	0.0589852	0.0544638	0.0388076	0.0314999	0.0366099	0.0343552	0.0301303	0.0338481	0.038939	0.0355555	0.0263183	0.0169123	0.0129995	0.0104718	0.0121964	0.0162371
a44	0.0525625	0.0759384	0.083195	0.104207	0.104809	0.0866761	0.0733295	0.0626763	0.0554986	0.034867	0.0265304	0.0281228	0.0234834	0.0205656	0.0224114	0.0267913	0.0301086	0.0218238	0.0135927	0.0110297	0.00910997	0.0131365	0.0195336
a57	0.0380203	0.0505019	0.0570039	0.0879414	0.100851	0.0927279	0.0820418	0.0706682	0.0600909	0.0350138	0.0293533	0.0282434	0.0243024	0.0236405	0.0283203	0.0344636	0.0371078	0.0270435	0.0183997	0.015082	0.0140285	0.0177969	0.0273575
a38	0.0284902	0.0382279	0.0446098	0.0741835	0.0938021	0.0989868	0.0883871	0.0730337	0.0618033	0.0344794	0.0271098	0.0251644	0.0205552	0.0216063	0.0259308	0.03109	0.0371705	0.0293027	0.0209684	0.0203439	0.0228664	0.0319908	0.0498969
a75	0.0159257	0.0210693	0.0280856	0.0524215	0.0748222	0.0945789	0.0880827	0.0724326	0.0626246	0.0369323	0.0322033	0.0341222	0.0306865	0.0320209	0.0340787	0.0385965	0.043666	0.0356516	0.0262559	0.0280674	0.0289756	0.0368418	0.0518584
a47	0.0155449	0.0182709	0.0274302	0.0504881	0.0700701	0.0739087	0.0685134	0.0613395	0.0601608	0.0494231	0.0440717	0.042991	0.0437136	0.0494375	0.0531343	0.0539133	0.0558217	0.0443018	0.0322274	0.0232383	0.0158307	0.0198527	0.0263161
a44	0.011173	0.0127289	0.0175049	0.032018	0.0550305	0.0803273	0.0821133	0.0665948	0.0638579	0.0414819	0.0346896	0.0363656	0.0335075	0.0455807	0.048206	0.0479854	0.0645952	0.0506816	0.0315959	0.0248032	0.0215927	0.0371092	0.0604568
a26	0.0108971	0.0127747	0.0164346	0.0305693	0.0569327	0.0917077	0.0937941	0.075537	0.0722397	0.0417653	0.0317381	0.0334023	0.0293756	0.0379845	0.0390122	0.0378825	0.0527853	0.0453286	0.030859	0.0292569	0.026569	0.0404659	0.062688
a75	0.00702565	0.00827923	0.0118047	0.0216596	0.0445119	0.0857614	0.087678	0.0703125	0.0694123	0.0350824	0.0215878	0.0278538	0.0304881	0.0413591	0.0443898	0.0356673	0.0581919	0.0613	0.0427607	0.0381399	0.0354535	0.0509947	0.0702858
a5	0.0080552	0.00891254	0.0106399	0.0148597	0.0278302	0.0494431	0.0519595	0.0398215	0.0414759	0.0283839	0.0224361	0.0284626	0.0337999	0.0569804	0.0617352	0.0510519	0.0800522	0.0769466	0.0558908	0.0554322	0.0398897	0.0624368	0.093504
a37	0.0171741	0.0204349	0.0215906	0.0307689	0.049022	0.0797045	0.0831311	0.0668469	0.0710856	0.0575333	0.0429102	0.0440383	0.0414544	0.0552249	0.0548475	0.0428462	0.0532726	0.0496933	0.0353298	0.0266806	0.0154098	0.0174993	0.0235012
a94	0.00712151	0.00875024	0.0120761	0.019531	0.0363898	0.0644958	0.0674362	0.051391	0.0545419	0.0372111	0.0228747	0.0295867	0.0373944	0.0572277	0.0685493	0.052556	0.0717977	0.0681359	0.0495555	0.0470186	0.0319171	0.0426079	0.0618337
a75	0.00489393	0.00592182	0.00861929	0.0132758	0.0250788	0.0477271	0.051334	0.039426	0.0424174	0.0259375	0.0154398	0.0243088	0.0370567	0.0583645	0.0763451	0.0549255	0.0778077	0.0779178	0.06208	0.0658983	0.0479467	0.0586848	0.0785925
a25	0.00717176	0.00761939	0.00869708	0.00991867	0.0155862	0.0263928	0.0301848	0.0232205	0.0254395	0.0209284	0.0194128	0.0247028	0.0324485	0.0520103	0.0592129	0.0501612	0.0743591	0.0838212	0.0733369	0.08385	0.0664682	0.0890973	0.11596
a90	0.00435492	0.00474914	0.00572844	0.00705285	0.0106781	0.0171839	0.0187936	0.0143381	0.0170348	0.0130943	0.00867122	0.0141517	0.0218417	0.0401139	0.0538051	0.0493862	0.0850063	0.0921484	0.0824579	0.0896906	0.0717807	0.112158	0.16578
