 	il	manque	quelqu'	un	pour	réchauffer	les	restes	d'	hier	</S>
a66	0.067428	0.0830581	0.10136	0.112767	0.191177	0.263923	0.094671	0.0553645	0.0151192	0.008315	0.00681775
a87	0.288551	0.239975	0.101942	0.0783718	0.0885362	0.0804217	0.0418883	0.0313933	0.0149399	0.015255	0.0187259
a23	0.35525	0.219913	0.112611	0.0827634	0.0814393	0.0508007	0.0348752	0.0269241	0.0118867	0.0101934	0.0133439
a30	0.404408	0.268657	0.0983762	0.0477899	0.0411435	0.028728	0.0282476	0.031731	0.017777	0.0134149	0.019726
a13	0.282832	0.246687	0.123457	0.0602045	0.0654482	0.0706635	0.0558288	0.0521133	0.01837	0.0119626	0.0124332
a57	0.243886	0.280066	0.131532	0.0627296	0.0521888	0.054933	0.0536706	0.0664293	0.0250937	0.0159703	0.0135009
a38	0.254444	0.248873	0.118571	0.0664346	0.0504308	0.0419274	0.0447751	0.0645271	0.0404496	0.0376847	0.0318821
a13	0.207416	0.204947	0.113269	0.0675812	0.0532565	0.0416756	0.0491231	0.0755234	0.0582627	0.0646256	0.0643205
a70	0.158572	0.15765	0.102329	0.0634088	0.0494179	0.0381267	0.0496618	0.0881119	0.0799312	0.100766	0.112026
a93	0.213364	0.208756	0.127645	0.0811592	0.0593021	0.036181	0.0387858	0.0573878	0.0485533	0.060716	0.06815
a70	0.205433	0.199142	0.1332	0.0961664	0.0770241	0.0461878	0.0406515	0.0527654	0.0406481	0.0505903	0.0581919
a96	0.149286	0.147407	0.122679	0.0914791	0.0757993	0.043496	0.0396409	0.0636475	0.0595205	0.0901282	0.116916
a98	0.120852	0.128601	0.12615	0.0989521	0.0858959	0.0507141	0.0419012	0.0586882	0.0557033	0.0962855	0.136257
a15	0.0717248	0.0922831	0.104044	0.0905628	0.0874403	0.0750798	0.0636937	0.0776081	0.0677576	0.113207	0.156599
a79	0.0745273	0.101699	0.137964	0.121516	0.128431	0.100863	0.0654262	0.0594561	0.0461762	0.066542	0.0973991
a7	0.0673513	0.0865262	0.12942	0.124883	0.126491	0.104341	0.0710968	0.0632211	0.0518643	0.072548	0.102257
a90	0.0466765	0.0563889	0.0994376	0.120415	0.124173	0.108803	0.0742528	0.0762911	0.0597461	0.0914265	0.142389
a4	0.0543489	0.0684528	0.131861	0.141825	0.147699	0.124966	0.0743067	0.062814	0.0452214	0.0623213	0.0861851
a58	0.0350416	0.044254	0.125898	0.137029	0.154953	0.14004	0.0797123	0.0695556	0.0572703	0.0679462	0.0883002
a53	0.012668	0.0159554	0.0566171	0.091578	0.1067	0.123922	0.117744	0.105089	0.104683	0.114871	0.150173
a93	0.010217	0.0112883	0.0341761	0.06327	0.0869471	0.111554	0.100771	0.105993	0.116126	0.152295	0.207363
a70	0.0113506	0.0130842	0.0413345	0.0628378	0.0880393	0.105996	0.0853442	0.0978224	0.115506	0.168936	0.209749
a83	0.00865078	0.00927175	0.0225369	0.0342643	0.0486905	0.0669761	0.0722627	0.0983966	0.158625	0.22976	0.250565
a71	0.00469722	0.00511158	0.0115665	0.019771	0.0280637	0.0457772	0.066359	0.101252	0.19259	0.258525	0.266287
a75	0.0050765	0.00489319	0.00945378	0.0168055	0.0224684	0.036009	0.0489387	0.0855404	0.195236	0.272777	0.302802
a79	0.00064784	0.000582401	0.00118128	0.0017298	0.0024031	0.00493779	0.0116935	0.0281944	0.107889	0.335049	0.505692
a54	0.000766154	0.000620467	0.00132406	0.00198545	0.00297911	0.00586421	0.0136187	0.0281621	0.0969305	0.316256	0.531494
a47	0.000507713	0.000314226	0.000578755	0.000819318	0.00103925	0.00190807	0.00438366	0.0107657	0.0577124	0.282883	0.639088
a15	0.000553041	0.000331955	0.000620794	0.000858697	0.00113996	0.00206223	0.00477435	0.0122338	0.070876	0.292133	0.614416
a7	0.000577517	0.000331191	0.000454829	0.000622188	0.000776847	0.00133634	0.0038961	0.010901	0.0562332	0.258325	0.666546
a44	0.00122499	0.000631282	0.000687699	0.00100512	0.00103138	0.00161202	0.00523063	0.0149707	0.0724447	0.255075	0.646087
a70	0.00142459	0.00083163	0.000886392	0.00133854	0.00130554	0.00241782	0.00806574	0.0210792	0.112382	0.307435	0.542834
a13	0.00092085	0.000784284	0.00112489	0.0021365	0.00240024	0.00393454	0.0135583	0.0313893	0.144718	0.320648	0.478385
a9	0.00519033	0.00405907	0.005269	0.0104063	0.0125094	0.0220832	0.0361835	0.0498684	0.155866	0.281192	0.417374
a99	0.061847	0.0278314	0.0190932	0.0344365	0.0341013	0.0447302	0.0357804	0.0415023	0.119513	0.235271	0.345894
a97	0.105771	0.0556208	0.0354809	0.0520995	0.069244	0.0728922	0.0518775	0.0509517	0.0912482	0.168995	0.245819
a99	0.133804	0.0766884	0.0503442	0.0734633	0.103957	0.105219	0.0758145	0.0616547	0.0765469	0.104433	0.138073
a87	0.102295	0.0544792	0.038219	0.0538393	0.0760365	0.0753486	0.0682685	0.0631005	0.0868513	0.146594	0.234968
a97	0.0803776	0.0465782	0.0391427	0.060901	0.0974729	0.0979372	0.0787284	0.0730752	0.085357	0.129611	0.210819
a87	0.0826183	0.0493726	0.0483196	0.0729913	0.100251	0.0948352	0.0879043	0.0728462	0.0758896	0.117114	0.197858
a23	0.071063	0.0434206	0.0531279	0.0760792	0.0989733	0.0870359	0.0769032	0.0725774	0.0753794	0.120937	0.224503
