 	la	texe	qu'	on	lui	a	fait	payer	est	excessive	</S>
a15	0.122268	0.146848	0.135368	0.136105	0.166905	0.132934	0.0758089	0.0443801	0.0223846	0.0099752	0.00702233
a66	0.279866	0.243379	0.155359	0.0852895	0.0716396	0.0550628	0.0467849	0.027446	0.0149685	0.0103268	0.00987791
a87	0.457474	0.233512	0.0984814	0.0601564	0.0541684	0.03253	0.0164547	0.00976921	0.00945533	0.0131017	0.0148971
a23	0.330063	0.309042	0.130339	0.0714283	0.0661114	0.0442876	0.0225799	0.00879778	0.00595165	0.00556236	0.00583702
a83	0.374874	0.359769	0.0884214	0.0348044	0.0283367	0.0240626	0.0291908	0.0193483	0.0120366	0.0118979	0.0172587
a93	0.244479	0.295648	0.159175	0.075393	0.0629527	0.0520083	0.0340183	0.0252659	0.0168928	0.0163823	0.0177849
a75	0.281139	0.362913	0.147671	0.0609964	0.0425084	0.0322586	0.0218449	0.0194229	0.0125771	0.0115545	0.00711403
a21	0.190931	0.292048	0.167069	0.0827939	0.0595923	0.0543371	0.0431345	0.0434826	0.0289169	0.025437	0.0122579
a75	0.192928	0.279263	0.137747	0.0719526	0.0524585	0.0456562	0.0497364	0.0487885	0.0472297	0.0460427	0.028198
a56	0.127889	0.188528	0.0991459	0.0643713	0.0528343	0.0603301	0.0833901	0.113399	0.097603	0.0737095	0.0387995
a96	0.160105	0.214219	0.159966	0.0961682	0.070854	0.0589697	0.0482515	0.0416782	0.0471362	0.05604	0.0466111
a70	0.139914	0.181755	0.167228	0.112989	0.0864	0.0776209	0.0673429	0.0474068	0.042365	0.0420595	0.0349196
a56	0.0840235	0.110513	0.174147	0.14047	0.114529	0.106699	0.0902853	0.0563369	0.0450983	0.0415566	0.0363412
a43	0.0792826	0.0919343	0.145729	0.132871	0.116867	0.117239	0.11444	0.0681081	0.050056	0.0422483	0.0412248
a11	0.0478548	0.0498097	0.0912697	0.106094	0.10584	0.122711	0.153973	0.106541	0.0826524	0.0638022	0.0694517
a4	0.0315705	0.0347104	0.0688197	0.102375	0.110093	0.134215	0.164595	0.110609	0.0885119	0.0742811	0.0802194
a98	0.0283156	0.0283549	0.0499264	0.0729747	0.0837413	0.114752	0.165615	0.138262	0.125742	0.0868948	0.105421
a15	0.00975595	0.0105522	0.0221849	0.0367781	0.0493364	0.0603577	0.089125	0.112878	0.179826	0.166861	0.262346
a79	0.0134788	0.0110841	0.0219331	0.0351041	0.0496256	0.0732086	0.10363	0.107637	0.147728	0.130843	0.305728
a90	0.0115788	0.00790112	0.0142791	0.0256579	0.0416209	0.0664725	0.105928	0.120147	0.166154	0.157322	0.282938
a15	0.00722636	0.00506781	0.00784862	0.0148224	0.0263047	0.0486305	0.0892532	0.10933	0.184219	0.188416	0.318881
a47	0.00644231	0.00385974	0.00655831	0.0107706	0.0164946	0.0267818	0.0447567	0.054059	0.10658	0.189441	0.534256
a36	0.00614521	0.00351659	0.00725542	0.0119891	0.0156114	0.0260449	0.0450241	0.0634926	0.145373	0.234806	0.440742
a2	0.00863519	0.00456479	0.00715705	0.00978524	0.0112499	0.0156007	0.0266902	0.049846	0.125726	0.239072	0.501673
a47	0.0202928	0.0118577	0.0134965	0.015576	0.0175071	0.0193679	0.0235488	0.0399592	0.0817311	0.198567	0.558096
a96	0.0529462	0.03605	0.0337197	0.0348027	0.0398985	0.0457225	0.0626464	0.114164	0.125464	0.150245	0.304341
a18	0.00170724	0.000917988	0.00154822	0.00281187	0.00363787	0.00532469	0.00851388	0.0244164	0.0823222	0.21751	0.651289
a61	0.007683	0.00504408	0.00851159	0.0116501	0.0150611	0.019557	0.0210535	0.037775	0.0687975	0.147097	0.65777
a21	0.00127173	0.0008148	0.00194977	0.00286393	0.0030219	0.0046777	0.00859699	0.0226653	0.0607014	0.167183	0.726254
a47	0.00147246	0.00095421	0.00241664	0.0033642	0.00349818	0.00560267	0.0110079	0.0305867	0.0731349	0.161857	0.706105
a96	0.000892401	0.000779547	0.00163398	0.00226473	0.00248861	0.00369948	0.00660122	0.0202901	0.057885	0.189009	0.714456
a88	0.000748804	0.000668513	0.00162823	0.00224159	0.00232	0.00335347	0.0065273	0.0193892	0.0669679	0.199911	0.696244
a9	0.00215251	0.00123568	0.00271056	0.00432614	0.00511955	0.00719026	0.0106985	0.028362	0.0794482	0.200002	0.658754
a99	0.0577159	0.0300574	0.0311211	0.038493	0.0436489	0.0486305	0.0633064	0.0989403	0.125615	0.147729	0.314742
a87	0.0779087	0.0343365	0.0324027	0.0330122	0.03652	0.0441466	0.0625787	0.0956633	0.124107	0.160756	0.298568
a23	0.241403	0.13305	0.0853054	0.0713563	0.0846483	0.078056	0.0669612	0.0604514	0.0581951	0.0508855	0.0696874
a87	0.100432	0.0308099	0.0220475	0.0205028	0.0206898	0.0240277	0.0327916	0.0429499	0.0909095	0.178488	0.436352
</S>	0.0292688	0.0131342	0.00793797	0.00716945	0.0093337	0.00996482	0.0106662	0.0175552	0.0562827	0.196867	0.64182
