 	la	plupart	de	gens	deviennent	fonfarons	lorsqu'	ils	s'	enrichissent	</S>
a66	0.102196	0.0747102	0.127229	0.214104	0.200538	0.199642	0.0474426	0.0193728	0.00751349	0.00360755	0.00364423
a87	0.279864	0.127672	0.0863899	0.0750497	0.107052	0.118295	0.0613652	0.0447214	0.038606	0.0349771	0.0260076
a23	0.166269	0.140569	0.136541	0.114946	0.107308	0.138656	0.081615	0.0545852	0.0410701	0.00975145	0.00869031
a79	0.132606	0.132947	0.108164	0.117362	0.0826211	0.184983	0.115166	0.0473551	0.0390716	0.0209846	0.0187405
a47	0.167644	0.130192	0.109179	0.119685	0.138782	0.242953	0.0517801	0.0205364	0.0122137	0.00357304	0.00346337
a85	0.118083	0.0936474	0.102766	0.120174	0.147601	0.236211	0.0829576	0.0549881	0.0290567	0.00825984	0.00625515
a5	0.157038	0.109549	0.0998593	0.0927757	0.151815	0.172765	0.080928	0.0594905	0.0436097	0.0199774	0.0121923
a56	0.179357	0.161905	0.0995694	0.0813339	0.143671	0.157335	0.076387	0.0484051	0.0295924	0.0132601	0.00918421
a90	0.17368	0.151473	0.0978147	0.0943668	0.144953	0.173939	0.0720993	0.044039	0.0255578	0.0127624	0.00931455
a98	0.150898	0.135039	0.0928088	0.0954517	0.144769	0.174645	0.0823358	0.05428	0.0295668	0.0218717	0.0183349
a85	0.0891539	0.115594	0.0964056	0.106994	0.137949	0.138638	0.121595	0.088627	0.039164	0.0327092	0.0331711
a6	0.0899196	0.112411	0.0897769	0.108069	0.115655	0.108008	0.101964	0.0922811	0.0505371	0.0608517	0.0705261
a36	0.104567	0.120542	0.094377	0.121905	0.103527	0.0956162	0.085818	0.0725674	0.0378639	0.0682456	0.0949706
a61	0.0581444	0.0749549	0.0556991	0.099507	0.070742	0.0715367	0.10342	0.103585	0.0647994	0.112733	0.184879
a18	0.0346968	0.0459987	0.0324255	0.058914	0.0335131	0.029977	0.0728142	0.0980784	0.0935018	0.175152	0.324929
a62	0.0285362	0.0287007	0.0219438	0.0340183	0.0215371	0.0186765	0.0311901	0.0375253	0.057305	0.16634	0.554227
a21	0.020407	0.0200159	0.0125962	0.0165835	0.0096272	0.00891148	0.0263377	0.0458854	0.0893434	0.205523	0.544769
a85	0.00599569	0.00626444	0.00374703	0.00519589	0.00335292	0.00378798	0.0120079	0.021613	0.0539763	0.202455	0.681604
a6	0.00353622	0.00336836	0.0018004	0.00226643	0.0018442	0.00276228	0.0108716	0.0156916	0.0312005	0.173534	0.753125
a5	0.000556158	0.000521993	0.000348904	0.000660725	0.000533555	0.000837564	0.00354337	0.00707283	0.0176296	0.10502	0.863275
a21	0.00155215	0.00144959	0.000789735	0.000923991	0.000711847	0.000864441	0.0044578	0.0122256	0.0276958	0.145903	0.803426
a5	0.00171398	0.00163827	0.00104443	0.00134531	0.00128711	0.00140141	0.00655012	0.0192633	0.0396444	0.169515	0.756596
a43	0.0010047	0.000903511	0.000470154	0.000590965	0.000556832	0.000609371	0.00320894	0.0110325	0.0325302	0.187213	0.76188
a75	0.000534045	0.000379609	0.000221393	0.000222415	0.000285101	0.000238194	0.00102502	0.00491444	0.0204795	0.178625	0.793076
a85	0.000253939	0.000200588	0.000102615	0.000120883	0.000146629	0.000138148	0.00104818	0.00377667	0.0125323	0.129394	0.852286
a47	0.000200957	0.000146423	6.74594e-05	8.46714e-05	0.000105432	8.94841e-05	0.000910986	0.00389557	0.0162258	0.149858	0.828416
a36	0.000413598	0.000312392	0.000155537	0.000201052	0.000306202	0.000215332	0.00228749	0.00878207	0.0359242	0.210007	0.741395
a2	0.0221303	0.0166784	0.0103336	0.0124754	0.0227736	0.0163705	0.0294155	0.0495348	0.0737267	0.156812	0.589749
a57	0.194451	0.117275	0.0663461	0.0428102	0.0448118	0.0265329	0.0300245	0.0519084	0.0961132	0.129912	0.199815
a87	0.264676	0.149838	0.0887905	0.0628942	0.057538	0.0399323	0.0319436	0.0417629	0.0680347	0.0704556	0.124134
a23	0.199239	0.111534	0.0625686	0.0533913	0.0545014	0.0359809	0.0293022	0.0509794	0.0938166	0.106018	0.202668
a99	0.0442913	0.0226	0.0086109	0.0048883	0.00623893	0.00286212	0.0062099	0.0169388	0.056762	0.18613	0.644468
a97	0.0151559	0.00815718	0.00347042	0.00313948	0.00422033	0.0026979	0.00711049	0.0175457	0.0735462	0.240113	0.624843
</S>	0.00438147	0.00297086	0.00149384	0.00145823	0.00159733	0.00104752	0.00298136	0.00844045	0.0459003	0.217139	0.71259
