 	il	lui	est	arrivé	un	grand	malheur	</S>
a23	0.19061	0.122808	0.0951195	0.083219	0.101784	0.133398	0.146251	0.12681
a87	0.321521	0.185379	0.135596	0.0754627	0.063471	0.0679372	0.0685966	0.0820364
a23	0.301268	0.167059	0.115987	0.0828574	0.0762812	0.0831488	0.0823607	0.0910379
a20	0.245821	0.127321	0.0743296	0.0582811	0.0755763	0.109879	0.136476	0.172315
a41	0.405767	0.165522	0.103896	0.0881834	0.0643753	0.048126	0.0602176	0.0639121
a37	0.378815	0.252209	0.16397	0.0824763	0.0471394	0.0290204	0.0254693	0.0209015
a24	0.32852	0.265732	0.184241	0.0853249	0.0468561	0.0323269	0.0290545	0.0279447
a66	0.271855	0.250474	0.20029	0.117211	0.06032	0.0377363	0.0322118	0.0299026
a9	0.21721	0.230551	0.210439	0.137311	0.0766854	0.0486119	0.0391523	0.0400393
a20	0.12823	0.141234	0.15402	0.155567	0.118721	0.100958	0.0910124	0.110258
a30	0.194128	0.214808	0.209517	0.153368	0.0912941	0.0569546	0.0401573	0.0397739
a35	0.184373	0.200813	0.193389	0.159917	0.107286	0.0663245	0.0489998	0.0388973
a66	0.146406	0.178307	0.170018	0.143996	0.120347	0.0941519	0.0789429	0.0678319
a75	0.10003	0.123768	0.142557	0.141236	0.127233	0.115509	0.111411	0.138255
a76	0.0756327	0.100642	0.129677	0.144525	0.148965	0.136298	0.129813	0.134447
a20	0.0595313	0.077493	0.102337	0.135788	0.157356	0.158025	0.153646	0.155824
a69	0.0268392	0.0312121	0.0454214	0.0840202	0.136133	0.186007	0.208119	0.282249
a58	0.0292994	0.0299828	0.0395147	0.063469	0.110193	0.182621	0.220448	0.324473
a82	0.00850367	0.00917061	0.0136249	0.0288767	0.0670508	0.156089	0.246939	0.469745
a87	0.0081826	0.0087722	0.0120313	0.0237723	0.0531625	0.137286	0.23233	0.524463
</S>	0.00587379	0.00681375	0.0115991	0.0272307	0.0634002	0.137135	0.257969	0.489978
