 	le	notable	okoumou	a	envoyé	les	masques	de	kyebé-kyebé	à	ongonza	</S>
a15	0.279984	0.128825	0.0832122	0.0639057	0.0777759	0.0847707	0.103344	0.0696315	0.0434688	0.0252516	0.0207788	0.0190514
a66	0.243854	0.12254	0.0777592	0.0699177	0.0605143	0.0645913	0.083099	0.0707707	0.0611488	0.0502173	0.0483332	0.0472547
a87	0.481799	0.185146	0.125258	0.0465009	0.0237009	0.0202352	0.0158715	0.0123304	0.012065	0.0140784	0.0260262	0.036989
a85	0.336902	0.219236	0.225192	0.0938975	0.0420612	0.0266845	0.0116066	0.00638234	0.00638748	0.0059357	0.00990114	0.0158134
a82	0.267197	0.161845	0.236321	0.116001	0.0492761	0.0324199	0.0245042	0.0192938	0.0192019	0.0162257	0.0236014	0.0341128
a87	0.200424	0.152727	0.250099	0.140491	0.0682768	0.0421043	0.0312947	0.0247799	0.0209799	0.0192811	0.0229065	0.0266361
a23	0.215072	0.149185	0.256184	0.149552	0.0689545	0.0366364	0.0267273	0.0208657	0.0182483	0.0151908	0.0195408	0.0238438
a83	0.214517	0.12103	0.172327	0.0938017	0.0482078	0.0439644	0.0675803	0.0544132	0.0437894	0.0390155	0.0470205	0.0543338
a93	0.262642	0.185021	0.139593	0.080272	0.032001	0.0283899	0.0379957	0.0342106	0.0347531	0.0376618	0.0571894	0.0702702
a44	0.214206	0.18906	0.14327	0.111375	0.0543222	0.0460763	0.0593409	0.0399278	0.0391481	0.0282167	0.0339054	0.0411516
a90	0.121647	0.131629	0.127049	0.118684	0.0817956	0.0646532	0.0829518	0.0602227	0.0559564	0.0415329	0.0502818	0.0635961
a93	0.0918517	0.113547	0.106646	0.113402	0.0962941	0.0776263	0.0978771	0.0734279	0.0618985	0.0442839	0.0538943	0.0692504
a4	0.12153	0.135002	0.117321	0.123792	0.1033	0.0840108	0.0936834	0.0565794	0.0442468	0.030451	0.0392942	0.0507901
a94	0.100389	0.11446	0.121023	0.122092	0.117028	0.0946274	0.103148	0.0557199	0.0420673	0.0312159	0.0424341	0.0557956
a98	0.0876738	0.105465	0.116163	0.117748	0.128367	0.106105	0.110166	0.0559562	0.0378387	0.0300248	0.043785	0.0607077
a79	0.0629778	0.0849569	0.0943995	0.0948126	0.0908068	0.062395	0.0676333	0.0775247	0.0797919	0.0687893	0.093705	0.122207
a56	0.0705522	0.0912847	0.110388	0.107486	0.113479	0.0798474	0.0729448	0.0757752	0.0729945	0.0579388	0.0687346	0.0785751
a96	0.0674089	0.0909627	0.11907	0.122883	0.151314	0.113028	0.0936701	0.0682138	0.0559354	0.0389018	0.0385085	0.0401047
a93	0.0484565	0.067147	0.0910159	0.0944604	0.156202	0.137916	0.112199	0.0798763	0.0629092	0.0463823	0.048944	0.054491
a94	0.043683	0.0588401	0.0753738	0.0773581	0.14681	0.158495	0.142727	0.0925675	0.0666882	0.0453462	0.0445548	0.0475561
a93	0.024534	0.0327406	0.0469747	0.0451844	0.0885759	0.10868	0.11631	0.106618	0.102197	0.0978127	0.109135	0.121237
a90	0.0229478	0.0305197	0.0438687	0.0432828	0.0861251	0.113625	0.131521	0.12057	0.106179	0.0907435	0.0997893	0.110828
a44	0.0103442	0.0151736	0.0227832	0.022181	0.0439143	0.0595873	0.0865655	0.11509	0.14289	0.155328	0.164271	0.161871
a75	0.0104998	0.0137175	0.0206934	0.0173098	0.0327003	0.0451855	0.0717686	0.120765	0.136203	0.165785	0.179495	0.185877
a98	0.00426376	0.00640511	0.0114038	0.00986119	0.0220439	0.0320761	0.0493538	0.0850444	0.115896	0.183084	0.229174	0.251393
a15	0.00532173	0.00845735	0.0124905	0.0107164	0.0234869	0.0346705	0.0559181	0.0798743	0.114039	0.159275	0.220406	0.275345
a73	0.00543889	0.00727108	0.0100294	0.00757854	0.0134571	0.0233394	0.0530401	0.0845497	0.0960286	0.159695	0.229686	0.309886
a25	0.00717985	0.00792516	0.0100734	0.00717363	0.0119023	0.0186122	0.0395702	0.0636114	0.0696127	0.14839	0.24199	0.373959
a56	0.00378221	0.00421995	0.00544079	0.00364845	0.00586405	0.00914322	0.0209173	0.0426336	0.0536458	0.135417	0.264343	0.450945
a90	0.00382021	0.00377806	0.00443162	0.00275879	0.00481634	0.00806557	0.0168379	0.0423858	0.0552791	0.155266	0.283264	0.419296
a98	0.00315715	0.00310148	0.00392292	0.00234932	0.00424082	0.00734286	0.0139957	0.0320254	0.0463811	0.15117	0.297332	0.434981
a47	0.00107641	0.0010972	0.00137859	0.000921611	0.00166055	0.00272939	0.00566678	0.0170786	0.0318891	0.1267	0.310202	0.4996
a36	0.00085267	0.000849648	0.00118098	0.000798304	0.0011309	0.00144926	0.00360402	0.016421	0.0389484	0.139039	0.310496	0.48523
a0	0.00495629	0.0036386	0.00384268	0.00220876	0.00201573	0.00221781	0.0052677	0.020651	0.0449854	0.145668	0.316473	0.448075
a37	0.0226928	0.0132002	0.0108488	0.00639342	0.00505303	0.00600728	0.0164592	0.0432235	0.0730328	0.162467	0.276254	0.364368
a96	0.0262142	0.0153382	0.0116943	0.0073643	0.00650863	0.00896448	0.0272563	0.0576918	0.0803024	0.157445	0.242168	0.359052
a5	0.00918208	0.00702698	0.00577219	0.00415979	0.00487376	0.00820533	0.0258448	0.0581653	0.0776805	0.16572	0.25584	0.377529
a36	0.00242485	0.00213011	0.00179464	0.00131069	0.00176461	0.00309832	0.00955341	0.026633	0.0432668	0.134551	0.286237	0.487235
