 	il	y	a	de	vieilles	pirogues	sur	le	débarcadère	d'	akoo-	akoo	</S>
a87	0.128865	0.0557176	0.0277381	0.0237914	0.0270029	0.0406071	0.0703935	0.0706728	0.0894329	0.116636	0.131504	0.130272	0.0873659
a79	0.201672	0.112686	0.065497	0.0749818	0.0553609	0.0346366	0.0322099	0.034864	0.0356627	0.0517134	0.0528192	0.0945186	0.153377
a15	0.250805	0.172794	0.0913934	0.0669398	0.0442321	0.0264503	0.0211768	0.016072	0.0198083	0.0266013	0.0497332	0.104652	0.109342
a92	0.392852	0.181798	0.0800578	0.0407823	0.0272716	0.0170057	0.0198781	0.01495	0.0230039	0.0277883	0.064559	0.0661777	0.0438756
a37	0.397799	0.276684	0.108339	0.0446862	0.0224727	0.0201261	0.0238662	0.0158955	0.0170557	0.0132967	0.0236109	0.0197346	0.016433
a38	0.303839	0.295062	0.129636	0.0557236	0.0240517	0.0271641	0.0299254	0.0202078	0.0189188	0.0175035	0.0333615	0.0277372	0.0168698
a21	0.277067	0.23658	0.145684	0.081664	0.0418603	0.0465693	0.0404173	0.0258529	0.0214423	0.0182471	0.0278506	0.0218783	0.0148868
a96	0.183748	0.196773	0.175202	0.103474	0.0664473	0.0839012	0.0681133	0.0417405	0.0257588	0.0143199	0.0146406	0.0141215	0.0117588
a61	0.110802	0.135538	0.170695	0.128168	0.1011	0.120113	0.0821066	0.0473575	0.0271746	0.0139483	0.0179585	0.0231453	0.0218933
a0	0.110498	0.132541	0.16834	0.12942	0.107576	0.134768	0.0949962	0.0552831	0.0247359	0.00972247	0.00930061	0.0115947	0.0112232
a21	0.0600001	0.0796587	0.126321	0.145209	0.135174	0.160538	0.114962	0.0791918	0.0400681	0.0155848	0.0136556	0.0152407	0.0143962
a85	0.0881418	0.0880516	0.0876635	0.0924205	0.116476	0.157122	0.119153	0.0777627	0.0525241	0.0233932	0.0247002	0.0352026	0.0373887
a73	0.050842	0.0543556	0.0539143	0.0509535	0.0965602	0.140373	0.113733	0.0915007	0.0764323	0.0413734	0.0531342	0.0829375	0.0938906
a2	0.0392375	0.0389775	0.0525021	0.0579303	0.142584	0.181096	0.132818	0.101406	0.0680837	0.0281385	0.0341142	0.0537576	0.0693557
a53	0.0410296	0.0434141	0.0563104	0.0724931	0.128871	0.213309	0.156774	0.118322	0.0598169	0.0213522	0.0179383	0.027025	0.0433435
a15	0.0277323	0.0297683	0.0375962	0.0475142	0.110457	0.192611	0.150662	0.110416	0.0825955	0.0284011	0.0354156	0.0593637	0.0874675
a73	0.0200988	0.0215085	0.0292032	0.0364634	0.0948595	0.159811	0.113044	0.094565	0.0912925	0.0412863	0.0530822	0.102902	0.141884
a58	0.0323495	0.0338672	0.0472277	0.0614457	0.136911	0.214968	0.151895	0.101263	0.0732168	0.0257844	0.0200095	0.0339978	0.0670645
a84	0.0803397	0.0544997	0.0533226	0.0744337	0.10551	0.127447	0.092684	0.0825219	0.0844387	0.0365014	0.0303821	0.0509011	0.127018
