 	la	foudre	est	tombée	sur	la	maison	de	votre	oncle	</S>
a66	0.436878	0.134168	0.0499008	0.0264186	0.025459	0.0332309	0.0582116	0.0626371	0.0668341	0.04921	0.0570513
a87	0.483535	0.220466	0.0630991	0.0276337	0.0181025	0.0202311	0.0298638	0.0286911	0.0275509	0.0342435	0.0465832
a23	0.441263	0.219359	0.132975	0.0625543	0.0280598	0.020005	0.0211355	0.0173623	0.0123779	0.0173368	0.0275711
a10	0.325444	0.125368	0.0986528	0.0827286	0.0630066	0.0603493	0.0623959	0.0591598	0.0427211	0.0386889	0.041485
a87	0.284339	0.116367	0.120486	0.092763	0.0671966	0.0623184	0.058545	0.0585036	0.0501342	0.0456994	0.0436471
a23	0.43055	0.138082	0.101982	0.0767118	0.0513152	0.0413748	0.0331599	0.033034	0.0251076	0.0314489	0.0372341
a26	0.271638	0.117888	0.13342	0.129031	0.0967776	0.0700581	0.04553	0.0441498	0.0276193	0.0284438	0.0354446
a38	0.224876	0.11192	0.140419	0.147195	0.0989549	0.0665181	0.041468	0.0410362	0.0392131	0.042211	0.0461898
a4	0.276131	0.186601	0.211396	0.137655	0.0664178	0.0374852	0.0208299	0.0186794	0.0160542	0.0122242	0.0165262
a57	0.106765	0.176551	0.324862	0.176853	0.0787423	0.0479085	0.0260463	0.0225358	0.0162669	0.0103297	0.0131395
a13	0.0903617	0.136993	0.316068	0.206352	0.0944498	0.0559593	0.0309579	0.0256062	0.0167482	0.0114943	0.0150098
a58	0.0533319	0.0966032	0.265652	0.204401	0.122151	0.0876635	0.0531503	0.0437534	0.0290761	0.0196376	0.0245799
a57	0.0370055	0.0639118	0.214471	0.226767	0.150513	0.103501	0.0611317	0.0481663	0.0318806	0.0263387	0.0363146
a70	0.0210925	0.0402746	0.12897	0.214404	0.180606	0.130915	0.0778725	0.0590956	0.0390749	0.0411691	0.0665255
a94	0.0162208	0.0293203	0.0870536	0.149075	0.16564	0.161607	0.114725	0.086605	0.0598684	0.0523151	0.0775688
a79	0.0133888	0.022329	0.0598953	0.114442	0.146428	0.162432	0.127544	0.106163	0.0793668	0.0645845	0.103426
a44	0.0159193	0.0302796	0.069309	0.141022	0.16146	0.166976	0.128734	0.109086	0.0734385	0.045846	0.0579298
a26	0.0101359	0.0184958	0.0440808	0.0965174	0.139105	0.163033	0.131746	0.128497	0.102597	0.0696631	0.0961296
a66	0.00614234	0.0103926	0.0196345	0.0541321	0.0830231	0.106934	0.107659	0.131095	0.133721	0.127874	0.219394
a83	0.0040021	0.00623966	0.00980696	0.0291571	0.0488112	0.0748739	0.0983444	0.140926	0.168161	0.171721	0.247956
a71	0.00292874	0.00431082	0.00663776	0.0187264	0.0334716	0.0604935	0.0917642	0.142505	0.18769	0.204092	0.24738
a57	0.00513034	0.00622208	0.0079923	0.0203705	0.0335081	0.0597056	0.0919656	0.144429	0.184402	0.213481	0.232793
a4	0.00545212	0.00573534	0.00629344	0.0140899	0.0234291	0.0410655	0.0611392	0.10753	0.146832	0.258851	0.329583
a13	0.002175	0.00306222	0.00377199	0.0100909	0.017961	0.0306451	0.0434641	0.084388	0.160497	0.27359	0.370355
a9	0.00250818	0.00314977	0.0034466	0.00885617	0.0156326	0.0283164	0.0457284	0.082207	0.129673	0.270083	0.410399
a87	0.00765228	0.00889724	0.00921099	0.020025	0.0283183	0.0342602	0.0406069	0.065706	0.0917568	0.259083	0.434483
</S>	0.215073	0.130832	0.0682015	0.0601056	0.0522687	0.0389438	0.0360527	0.0552982	0.0740541	0.121762	0.14741
