 	beaucoup	de	voleurs	sont	prudents	mais	certain	d'	entre	eux	ne	sont	pas	intelligents	</S>
a66	0.116341	0.106383	0.107477	0.081765	0.115835	0.12712	0.093116	0.0548771	0.0527807	0.0420995	0.0417195	0.035209	0.0140052	0.00600766	0.00526402
a87	0.181226	0.213185	0.224057	0.198111	0.0734185	0.0164195	0.00690467	0.00654153	0.00711638	0.00842399	0.0129233	0.0141456	0.0115544	0.0136578	0.0123154
a23	0.205636	0.180339	0.273823	0.132236	0.0678937	0.0208379	0.0132647	0.0108834	0.0141403	0.0132198	0.0136878	0.0134368	0.0110997	0.0152517	0.0142505
a87	0.266226	0.224626	0.236324	0.115314	0.0513702	0.0184644	0.0201241	0.00929571	0.0109998	0.00827099	0.00790072	0.00670344	0.00560988	0.00776117	0.011009
a23	0.286335	0.229604	0.21987	0.129842	0.0494538	0.0141087	0.0124994	0.00714206	0.00898779	0.0076624	0.00798418	0.00743638	0.00579185	0.00635596	0.0069266
a99	0.276398	0.244693	0.232632	0.116178	0.0447946	0.0135497	0.0132725	0.00646892	0.00803525	0.006819	0.00688039	0.00612522	0.00564779	0.007679	0.0108264
a83	0.262143	0.232289	0.196664	0.130071	0.0861482	0.0173237	0.0144963	0.00637204	0.00696578	0.00564699	0.00636937	0.00590584	0.00647557	0.00993073	0.0131993
a24	0.241569	0.216018	0.161181	0.140238	0.14401	0.0381802	0.0203461	0.00739744	0.00617094	0.00343094	0.00365511	0.00377619	0.00402013	0.00509817	0.00490856
a31	0.249819	0.20454	0.15833	0.119228	0.132786	0.0448214	0.0289331	0.0126073	0.0105527	0.00562677	0.00565741	0.00589325	0.0059363	0.00784655	0.00742256
a24	0.184091	0.163413	0.136563	0.140308	0.177435	0.0602359	0.0376063	0.0186039	0.0170075	0.0104917	0.0106593	0.0110864	0.0110487	0.0112767	0.0101741
a31	0.109202	0.105734	0.0995643	0.136862	0.210097	0.107855	0.068358	0.0335649	0.028138	0.0180065	0.0174043	0.0172668	0.0153982	0.0162886	0.0162609
a32	0.116099	0.112836	0.107289	0.124584	0.187912	0.105952	0.0778812	0.0391396	0.0309434	0.0183319	0.0169744	0.0162343	0.0151061	0.0152145	0.015502
a88	0.0657585	0.075508	0.0775432	0.0937805	0.156931	0.110344	0.10693	0.0644706	0.0519941	0.0365849	0.0292604	0.0287932	0.0275515	0.0371349	0.0374144
a75	0.0434789	0.0627954	0.0845613	0.0821119	0.132739	0.109957	0.11897	0.073836	0.0629873	0.047018	0.0375484	0.036455	0.0323855	0.0390365	0.0361192
a85	0.0325683	0.0429954	0.0645741	0.0600145	0.0864487	0.118934	0.140805	0.097125	0.0833265	0.056668	0.0477522	0.0418496	0.0376214	0.0394711	0.0498457
a6	0.024115	0.0324374	0.0389217	0.0310941	0.0422347	0.078749	0.112051	0.135101	0.113181	0.0882137	0.0658906	0.0517187	0.0412953	0.054626	0.0903708
a36	0.0144733	0.0188914	0.0305017	0.0253538	0.0360075	0.0987347	0.166669	0.146535	0.124693	0.0908004	0.0716196	0.0536278	0.0373206	0.0373513	0.0474222
